Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
Dicomere Azucar Organica 1000g,https://www.mercadolibre.com.ar/dicomere-azucar-organica-1000g/p/MLA20011121?pdp_filters=category:MLA1423#searchVariation=MLA20011121&position=22&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,4.890,GREENANDML,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1301668270,2024-01-25 15:00:31,No disponible
Harina De Almendras Sin Piel - Super Fina Premium X 1kg,https://articulo.mercadolibre.com.ar/MLA-1386888927-harina-de-almendras-sin-piel-super-fina-premium-x-1kg-_JM#position=32&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,7.580,ALMENDRADABUENOSAIRES,Nuevo  |  +1000 vendidos,(185 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1386888927,2024-01-25 15:00:31,No disponible
Caramelos Flynn Paff Sin Tacc X 70u,https://www.mercadolibre.com.ar/caramelos-flynn-paff-sin-tacc-x-70u/p/MLA20013493?pdp_filters=category:MLA1423#searchVariation=MLA20013493&position=15&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,3.500,OPEN25HS ML,Nuevo  |  +5mil vendidos,(270 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1366675915,2024-01-25 15:00:31,No disponible
Azucar Comun Tipo A Marolio 1 Kilo,https://articulo.mercadolibre.com.ar/MLA-1452546392-azucar-comun-tipo-a-marolio-1-kilo-_JM#position=33&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,1.799,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(220 disponibles),Nuevo  |  +500 vendidos,No disponible,#1452546392,2024-01-25 15:00:31,No disponible
Granola Kos Berries 1kg Avena Almendras Nuez Pasas Arandanos,https://www.mercadolibre.com.ar/granola-kos-berries-1kg-avena-almendras-nuez-pasas-arandanos/p/MLA19937389?pdp_filters=category:MLA1423#searchVariation=MLA19937389&position=18&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,5.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(122 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1340180726,2024-01-25 15:00:31,No disponible
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Nueva!!!,https://articulo.mercadolibre.com.ar/MLA-1255392584-azucar-ledesma-seleccion-blanco-1000-sobres-5grs-nueva-_JM#position=34&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,9.999,DISTRIBUIDORA-MAYA,Nuevo  |  +500 vendidos,(19 disponibles),Nuevo  |  +500 vendidos,No disponible,#1255392584,2024-01-25 15:00:31,No disponible
Terrones De Azucar Envueltos X 1 Kg,https://articulo.mercadolibre.com.ar/MLA-688333980-terrones-de-azucar-envueltos-x-1-kg-_JM#position=35&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,4.739,ELHERALDO ALIMENTOS,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#688333980,2024-01-25 15:00:31,No disponible
Edulcorante A Base De Azucar De Caña Hileret Ligth X 500 G,https://articulo.mercadolibre.com.ar/MLA-865034905-edulcorante-a-base-de-azucar-de-cana-hileret-ligth-x-500-g-_JM#position=36&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,2.411,ECOMODICO,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#865034905,2024-01-25 15:00:31,No disponible
Azucar Ledesma Seleccion Rubio Mascabo X 800 Gr,https://articulo.mercadolibre.com.ar/MLA-1137449549-azucar-ledesma-seleccion-rubio-mascabo-x-800-gr-_JM#position=37&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,1.899,GRUPO ELNENE,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1137449549,2024-01-25 15:00:31,No disponible
Gomitas Mogul Rollo Frutas 35 Gr Caja X 12 Unidades,https://www.mercadolibre.com.ar/gomitas-mogul-rollo-frutas-35-gr-caja-x-12-unidades/p/MLA20719183?pdp_filters=category:MLA1423#searchVariation=MLA20719183&position=17&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,3.580,TAP GROCERY,Nuevo  |  +10mil vendidos,(89 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286251173,2024-01-25 15:00:31,No disponible
