Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=22&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,9.200,PUNTONUEZ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=24&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Almendra Y Nuez Integra 41 G X 10 Unidades,https://www.mercadolibre.com.ar/barra-almendra-y-nuez-integra-41-g-x-10-unidades/p/MLA28134679?pdp_filters=category:MLA1423#searchVariation=MLA28134679&position=25&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,8.490,Integra,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1626496624,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arroz Yamaní Pop Yin Yang Orgánico Sin Tacc 80g,https://www.mercadolibre.com.ar/arroz-yamani-pop-yin-yang-organico-sin-tacc-80g/p/MLA26444834?pdp_filters=category:MLA1423#searchVariation=MLA26444834&position=12&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,631,PLANTMARKET,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384788535,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barrita de Cereal Muecas sabor pasas y arandano sin Azucar 45g,https://www.mercadolibre.com.ar/barrita-de-cereal-muecas-sabor-pasas-y-arandano-sin-azucar-45g/p/MLA19735181?pdp_filters=category:MLA1423#searchVariation=MLA19735181&position=27&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,12.800,TIENDAMUECASOFICIAL,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1755830768,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereales Quaker Honey Nut Oats X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-nut-oats-x-190-gr-desayuno-merienda/p/MLA19957869?pdp_filters=category:MLA1423#searchVariation=MLA19957869&position=28&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,4.326,PepsiCo,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282862986,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Fibras Bastón De Salvado Lasfor Bolsa 200 Gr,https://www.mercadolibre.com.ar/fibras-baston-de-salvado-lasfor-bolsa-200-gr/p/MLA26312163?pdp_filters=category:MLA1423#searchVariation=MLA26312163&position=29&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,1.760,BLIP,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1480312880,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletita Con Cereal Integral Clasica Cerealitas 212g,https://www.mercadolibre.com.ar/galletita-con-cereal-integral-clasica-cerealitas-212g/p/MLA29542564?pdp_filters=category:MLA1423#searchVariation=MLA29542564&position=30&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,900,TIENDADELOCOS,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1423849339,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas De Limón X 1kg - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-1kg-s-a-todo-el-pais/p/MLA27047201?pdp_filters=category:MLA1423#searchVariation=MLA27047201&position=31&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,6.312,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388634041,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Flow 24grs Frutos Del Bosque  Pack 20 Barritas,https://www.mercadolibre.com.ar/barra-cereal-flow-24grs-frutos-del-bosque-pack-20-barritas/p/MLA23974459?pdp_filters=category:MLA1423#searchVariation=MLA23974459&position=32&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,8.321,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1446822890,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereales Quaker Honey Graham X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-graham-x-190-gr-desayuno-merienda/p/MLA19957870?pdp_filters=category:MLA1423#searchVariation=MLA19957870&position=35&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,4.326,PepsiCo,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282984391,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas Cereal Pasas Y Arandanos Sin Azucar,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-pasas-y-arandanos-sin-azucar/p/MLA19846786?pdp_filters=category:MLA1423#searchVariation=MLA19846786&position=37&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,13.446,PUNTONUEZ,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403816929,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
