Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite De Alto Oleico Granix,https://articulo.mercadolibre.com.ar/MLA-927145022-aceite-de-alto-oleico-granix-_JM#position=38&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,4.281,01MERCADO,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#927145022,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Cocinero Girasol Botella 900 Ml,https://www.mercadolibre.com.ar/aceite-cocinero-girasol-botella-900-ml/p/MLA19629827?pdp_filters=category:MLA114008#searchVariation=MLA19629827&position=6&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,1.966,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1701849646,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite De Oliva Y Girasol Cocinero Ecobot X 1,5 Lts",https://www.mercadolibre.com.ar/aceite-de-oliva-y-girasol-cocinero-ecobot-x-15-lts/p/MLA23570435?pdp_filters=category:MLA114008#searchVariation=MLA23570435&position=7&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,5.141,Ecomodico,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1730863510,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Botella De 900 Cc,https://articulo.mercadolibre.com.ar/MLA-1119171158-aceite-natura-girasol-botella-de-900-cc-_JM#position=39&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,1.610,Mayorista Masivos,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1119171158,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite De Girasol Premium Green Olive X 4,5 Lts",https://www.mercadolibre.com.ar/aceite-de-girasol-premium-green-olive-x-45-lts/p/MLA36944706?pdp_filters=category:MLA114008#searchVariation=MLA36944706&position=11&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,9.112,GREEN.OLIVE,Nuevo  |  3 vendidos,(+50 disponibles),Nuevo  |  3 vendidos,No disponible,#1776675490,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Cañuelas Girasol Botellon 5 Litros,https://www.mercadolibre.com.ar/aceite-canuelas-girasol-botellon-5-litros/p/MLA19784591?pdp_filters=category:MLA114008#searchVariation=MLA19784591&position=13&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,12.138,MATIASHERNANL,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1272810353,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Naruta 1,5 Lts X 12 Unidades",https://www.mercadolibre.com.ar/aceite-naruta-15-lts-x-12-unidades/p/MLA23633480?pdp_filters=category:MLA114008#searchVariation=MLA23633480&position=15&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,37.026,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1372200189,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://articulo.mercadolibre.com.ar/MLA-928089589-aceite-lira-oliva-y-girasol-15-lt-_JM#position=40&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,6.232,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#928089589,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Campo Claro Organico Certificado 500ml - Dw,https://articulo.mercadolibre.com.ar/MLA-870828178-aceite-girasol-campo-claro-organico-certificado-500ml-dw-_JM#position=41&search_layout=stack&type=item&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,6.308,FITWAYS,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#870828178,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Green Olive - 8 Litros - 1 Unidad,https://www.mercadolibre.com.ar/aceite-de-girasol-green-olive-8-litros-1-unidad/p/MLA19931067?pdp_filters=category:MLA114008#searchVariation=MLA19931067&position=17&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,13.642,GREEN.OLIVE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1291954252,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
