Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=18&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,3.535,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=21&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,5.400,No disponible,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1426585667,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=22&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,12.825,No disponible,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1303638135,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Nestlé Pureza Vital  sin gas   botella  2.25 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-225-l/p/MLA16247025?pdp_filters=category:MLA413907#searchVariation=MLA16247025&position=23&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.069,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1668577428,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Sierra De Los Padres Pack X24  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428018160-agua-sierra-de-los-padres-pack-x24-600-cc-zetta-bebidas-_JM#position=40&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,6.301,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428018160,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Kit Tornillos / Clips Protector  Guardaplast Gol Trend,https://articulo.mercadolibre.com.ar/MLA-1411736299-kit-tornillos-clips-protector-guardaplast-gol-trend-_JM#position=41&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,9.235,No disponible,Nuevo  |  4 vendidos,No disponible,Nuevo  |  4 vendidos,No disponible,#1411736299,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Villavicencio Con Gas X 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-con-gas-x-15-litros/p/MLA19748281?pdp_filters=category:MLA413907#searchVariation=MLA19748281&position=24&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,2.360,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1228321921,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Ko Sin Gas Premium 500ml Reciclable Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1371784969-agua-mineral-ko-sin-gas-premium-500ml-reciclable-sin-tacc-_JM#position=42&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,985,No disponible,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1371784969,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua mineral sin gas Acqua Panna Toscana botella de 250 ml,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-acqua-panna-toscana-botella-de-250-ml/p/MLA17371690?pdp_filters=category:MLA413907#searchVariation=MLA17371690&position=25&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,3.864,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428323875,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Soda Sierra De Los Padres Sifón X  1,75 Litros",https://www.mercadolibre.com.ar/soda-sierra-de-los-padres-sifon-x-175-litros/p/MLA19737990?pdp_filters=category:MLA413907#searchVariation=MLA19737990&position=26&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.525,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397225087,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
