Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Almohaditas Rellenas De Limón X 1kg - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-1kg-s-a-todo-el-pais/p/MLA27047201?pdp_filters=category:MLA1423#searchVariation=MLA27047201&position=22&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,5.996,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388634041,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Granola De Avena Y 4 Nueces X 1kg,https://www.mercadolibre.com.ar/granola-de-avena-y-4-nueces-x-1kg/p/MLA26329385?pdp_filters=category:MLA1423#searchVariation=MLA26329385&position=37&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,4.973,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480313010,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Granola
Cereales Quaker Honey Graham X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-graham-x-190-gr-desayuno-merienda/p/MLA19957870?pdp_filters=category:MLA1423#searchVariation=MLA19957870&position=14&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,4.200,PepsiCo,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282984391,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barrita de Cereal Muecas sabor pasas y arandano sin Azucar 45g,https://www.mercadolibre.com.ar/barrita-de-cereal-muecas-sabor-pasas-y-arandano-sin-azucar-45g/p/MLA19735181?pdp_filters=category:MLA1423#searchVariation=MLA19735181&position=19&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,11.499,DAMETUMANO.TIENDA,Nuevo  |  +10mil vendidos,(+5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1511640634,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=17&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=26&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,11.623,PUNTONUEZ,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403855701,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Fibra Total 4 Fibras Granix Trigo Avena Arroz Maiz,https://www.mercadolibre.com.ar/cereal-fibra-total-4-fibras-granix-trigo-avena-arroz-maiz/p/MLA19943734?pdp_filters=category:MLA1423#searchVariation=MLA19943734&position=27&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,1.697,01MERCADO,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1271750839,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=25&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,1.922,AEH MALL,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1610199118,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos De Maiz 400gr 3 Arroyos X 6 Un,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=S%2Bw3MgxghMll9j7Aw4lRdjlFhSuU62ykK5xClQyspR88KF66z%2FSMddjDeL2WMbY%2Bf2iYdLULABQuIN1LfxuVgX1k3bq4xIrUI%2F6ND%2BveCgXNIuUeflV0ixHOmlTgCR51NW4uOERAeRL1gcdFsMCYf4kt1EjDBNlt6paBWNsdSJtDk0g1PY9ODaj3PwANS6FQQJxo6L%2BsaxnRwC4qz8xzBFdA7NmUHbI53ncpP%2BkcWwaM1i2FOswQJq4Zfz9TPGm%2FKFk2SRpQ4OxSZk5hK2x%2FpeLfmYf%2BbP5gvwt6m3ryhevf2NMdY9f%2Bl1Mos%2BIbcLLiEl3zTo3qWsmfR5eXUQTlgpKZPKXjws0CWZh413uwn%2FTXgHscg7aC8QT2sdE1PQ4KMBqINhJfE%2FtGMSDxdmJdjALRg%2FBKGAFoZCtUMhpGXOyjJskXagn2nNNSBclVG%2FmjwAW%2BKc1%2BRvRC3GE6HxIzH0BjVWaVm8F0IKkCkUlMtZkxHkHfwNzusHzC6pu%2Bt77Pyv8t9cefCXVlWjv59v69DpOINWW1adyQI%2BEbyaKKW1o6gyObUsOypgpMZMikg3keLifkLlFZSwPg4u3LYrUqaOaLSF%2BYf0yZkaEhGH4KRQ7akjyNC6LqEAcgopBL%2B5VAd5FymRrw%2B9pu%2BDIz4ziC6Z4XOcG5Kjks%2FAtXp8s8Y%2FD1kKK06zEmuVyW6675vWrw%2BRo%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,8.100,PUERTOGOURMETSRL,Nuevo  |  +5 vendidos,(+20 disponibles),Nuevo  |  +5 vendidos,No disponible,#1381202801,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arroz Yamani Premium X 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=wQw4Ftt2TYAfib5BMmMeq99q1HXRUghvEcw9B1DlgpQEGZsqritXWOeMtEZ0YvMVjLAgHXC957FkSDF7FFmpqYbeefAsIGXOEQEVRTLzeLl6qEkwHpko%2FLZy8GJyhfyw7Be7wccnPZt%2FELN7PmIHs2yCzxzu6BP967liMwEybOM1cbyG287rpApu4ksIX2gyX2VZ2osIkncyTotYpLadjT5R%2BptDNeORQsy33a572my7ed3vnAEOpxHN0u7ZO7Qh1u%2B3ddBowdyNTYRpbIdVqVkSI%2Fm1WK7tguaptUsFOtAoJIGQy3arUHAZu61Mxn5x5N5LRa1zTvjlrTK909JE58ZIpSXK86R0QTJglWFjvn0F0uMFXjhMVX0SVXQEnGgJPkjof9cEXUXsLJtuCk4elTw73OtzrlDR0bTfRUyjzPZCgVYAhGd9Dr%2B%2BpttMdZU25CxwsdCpW27Z5leGsVqTsEedQaaPYfYpSVMYCfMYlgCVysA17kcwL75nHgA3CJov%2FHvzT2ChZ0ssbMK0vTOG9FRdv76OYSjkonJuPcPFlFQ4XT8fgWQGfiAXvvFkYWbDDrrifFtFNnPH327%2Bn2E4OVEPrZcjhhUUhpl%2BAoeiaNLT0pncjkYQz62FmA2VQinePkpxh%2BDXy%2FCbJXNQWEBkT5W7LFYjVrArphnG%2Bd9AuiLY%2FpLdIhmh&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,3.779,BELVEDERETIENDA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#870658642,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bagley Galletitas De Salvado Original 3 Paquetes 507 Grs,https://www.mercadolibre.com.ar/bagley-galletitas-de-salvado-original-3-paquetes-507-grs/p/MLA20002762?pdp_filters=category:MLA1423#searchVariation=MLA20002762&position=33&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,2.079,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384214111,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas De Frutilla Lasfor 200 Gr Lasfor Almohaditas Rellenas - Frutilla - 200 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-frutilla-lasfor-200-gr-lasfor-almohaditas-rellenas-frutilla-200-g-unidad-1-bolsa/p/MLA21960343?pdp_filters=category:MLA1423#searchVariation=MLA21960343&position=28&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,1.999,BLIP,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1391723986,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Almendra Y Nuez Integra 41 G X 10 Unidades,https://www.mercadolibre.com.ar/barra-almendra-y-nuez-integra-41-g-x-10-unidades/p/MLA28134679?pdp_filters=category:MLA1423#searchVariation=MLA28134679&position=32&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,8.490,Integra,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1626496624,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos de maíz 3kg Granix,https://www.mercadolibre.com.ar/copos-de-maiz-3kg-granix/p/MLA20723711?pdp_filters=category:MLA1423#searchVariation=MLA20723711&position=34&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,10.431,POSITIVA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1448007652,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Caju Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-caju-y-arandanos-integra-x-10-unidades/p/MLA34021088?pdp_filters=category:MLA1423#searchVariation=MLA34021088&position=35&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,8.490,Integra,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1332893241,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=51&search_layout=stack&type=item&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,623,VÍVET MARKET,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1141531811,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bocaditos Integra De Chocolate Con Arandanos 20u X 26g,https://www.mercadolibre.com.ar/bocaditos-integra-de-chocolate-con-arandanos-20u-x-26g/p/MLA21724370?pdp_filters=category:MLA1423#searchVariation=MLA21724370&position=36&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,13.690,VENTA STOREWEB,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1547551350,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Con Miel X 1kg - A Todo El País,https://www.mercadolibre.com.ar/aritos-con-miel-x-1kg-a-todo-el-pais/p/MLA27047199?pdp_filters=category:MLA1423#searchVariation=MLA27047199&position=38&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,3.990,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399276653,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Germen De Trigo Yin Yang X 500 Gr,https://www.mercadolibre.com.ar/germen-de-trigo-yin-yang-x-500-gr/p/MLA21262845?pdp_filters=category:MLA1423#searchVariation=MLA21262845&position=39&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,1.700,NEWGARDEN,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1392308264,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display  Vegana Laddubar Coco 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddubar-coco-30-g-x-12-u/p/MLA19735179?pdp_filters=category:MLA1423#searchVariation=MLA19735179&position=40&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376540609,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=41&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
