Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
Yerba Mate Adelga Mate C/hierbas Nat. Dulce De 500 Grs,https://www.mercadolibre.com.ar/yerba-mate-adelga-mate-chierbas-nat-dulce-de-500-grs/p/MLA19991737?pdp_filters=category:MLA409408#searchVariation=MLA19991737&position=41&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.665,CAPSULANDIA,Nuevo  |  +500 vendidos,(103 disponibles),Nuevo  |  +500 vendidos,No disponible,#1630754014,2024-01-25 15:19:01,No disponible
Yerba Mate Con Hierbas Paquete 500 Gr Playadito,https://www.mercadolibre.com.ar/yerba-mate-con-hierbas-paquete-500-gr-playadito/p/MLA21409606?pdp_filters=category:MLA409408#searchVariation=MLA21409606&position=42&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.899,TGWSTORE,Nuevo  |  +500 vendidos,(143 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1573750334,2024-01-25 15:19:01,No disponible
Yerba Mate Picada Vieja Barbacuá - 500gr,https://www.mercadolibre.com.ar/yerba-mate-picada-vieja-barbacua-500gr/p/MLA21778509?pdp_filters=category:MLA409408#searchVariation=MLA21778509&position=43&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.061,SEMILLA VIVA,Nuevo  |  +1000 vendidos,(47 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1446936008,2024-01-25 15:19:01,No disponible
Yerba Mate Despalada Molienda Fina Estilo Uruguaya Matesur,https://articulo.mercadolibre.com.ar/MLA-1153850451-yerba-mate-despalada-molienda-fina-estilo-uruguaya-matesur-_JM#position=51&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.699,MATESUR,Nuevo  |  +500 vendidos,(461 disponibles),Nuevo  |  +500 vendidos,No disponible,#1153850451,2024-01-25 15:19:01,No disponible
Yerba Matesur Despalada Molienda Fina Estilo Uruguaya X 6u,https://articulo.mercadolibre.com.ar/MLA-1154176281-yerba-matesur-despalada-molienda-fina-estilo-uruguaya-x-6u-_JM#position=52&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,14.999,MATESUR,Nuevo  |  +500 vendidos,(80 disponibles),Nuevo  |  +500 vendidos,No disponible,#1154176281,2024-01-25 15:19:01,No disponible
Yerba Mate Indumar X1kg,https://www.mercadolibre.com.ar/yerba-mate-indumar-x1kg/p/MLA24335846?pdp_filters=category:MLA409408#searchVariation=MLA24335846&position=44&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.387,DISTRIBUIDORAMATECITO,Nuevo  |  +100 vendidos,(21 disponibles),Nuevo  |  +100 vendidos,No disponible,#1446490422,2024-01-25 15:19:01,No disponible
Yerba Mate Buenas y Santas Mediana 1/2 Kg,https://www.mercadolibre.com.ar/yerba-mate-buenas-y-santas-mediana-12-kg/p/MLA24405125?pdp_filters=category:MLA409408#searchVariation=MLA24405125&position=45&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.899,TAP GROCERY,Nuevo  |  +100 vendidos,(25 disponibles),Nuevo  |  +100 vendidos,No disponible,#1538589888,2024-01-25 15:19:01,No disponible
Yerba Mate Aguantadora 1/2 Kg. - Sin Palo - Tipo Canarias,https://articulo.mercadolibre.com.ar/MLA-1391015161-yerba-mate-aguantadora-12-kg-sin-palo-tipo-canarias-_JM#position=53&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.295,TIENDA.ANDALHUE,Nuevo  |  +100 vendidos,(44 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391015161,2024-01-25 15:19:01,No disponible
Yerba Un Mate - 500 Grs,https://articulo.mercadolibre.com.ar/MLA-1530293412-yerba-un-mate-500-grs-_JM#position=54&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.500,Un Mate,Nuevo  |  +100 vendidos,(8573 disponibles),Nuevo  |  +100 vendidos,No disponible,#1530293412,2024-01-25 15:19:01,No disponible
Yerba Mate Playadito Suave 500grs.,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-500grs/p/MLA19991741?pdp_filters=category:MLA409408#searchVariation=MLA19991741&position=46&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.199,DISTRI_LAZARO,Nuevo  |  +10mil vendidos,(499 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1400947909,2024-01-25 15:19:01,No disponible
Yerba Mate Kalena Despalada X 500g X6 Uni | Suave | Sin Tacc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=HkG%2F%2BKFXYyRRkbbquJHdZEnuDv0txMkWkD9EIZEtUO6OOU0AIpEAQ0pU3YGREg686B0utR3HWa4ONUy97OM3m1IwCQmA8yvJStizBNwjmnAqXANQp84vZS%2BTk2t1DI0nHhrwSpivNeT2XvRzPd4zNmSwxGkiwcGt5nHtA2%2BY%2FYgmzcQJYXzkrXhJPVYib%2F3DjQOvw%2BeL0iIZWm%2B0JjzBuB8aojidQGZwBT2gUepi140iQqYk1iyQbrBtYszcC4Tlldwkiuc0FLUrwMb04Ggmtj9lWFtRR%2BiR1OAzfGsHMzUB2FsjtLlmPaSFNyXm93H0ejH8TTPSfiqFiVV3SYsj0O7X%2FvBXWZ8QVd4bJgjWK%2F8W0r8yO%2BJ4WjOt2Z3Pqjyf3xiIEkWtWt5tG2eGiKM4mfG98OMxxAMLwfkUj%2FU2qNPizdO4Xvq3Q%2Fl9D39jHFTtNNl217XWnRAW5PVEcxGpD1zl7ghOqbK5S2AThIg2L8yE%2FE5BWaTTlWzZ8s6kXwpLT5pWiSwIYc7RqRse8zx5DfHYo8oB0QSVH6g%2FO858CbB4i5NzJG1UG0tI3AXZwHcAFpMddbjTXHb1%2BTYcUNJfAkbUtqapmWxScZRLHen4YVYpFZ61DQ7GGvwBGkI7BaNAwb%2FfVH%2FYYq9rwr%2Ff0N%2BrLmZzCDVpTDUvIJS8qyJgtmiQJqJCfZJ4aUeoZ5aAxtGNSNx6%2Br4NU7kvNn2ZAaEnzasjIjVe&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,21.562,POSITIVA.ARG,Nuevo  |  +100 vendidos,(32 disponibles),Nuevo  |  +100 vendidos,No disponible,#1337399358,2024-01-25 15:19:43,No disponible
Yerba Mate Orgánica La Obereña Pack 3 X 1 Kilo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Tb8GcUPz86OHJ%2FefXyQruxsDvAoYOe0vZ55iu2P%2BXFuXrJnPK7johKaq%2FuULqzdwia0FRFNNZ0brb5dPDyeyT%2B6ssIeGi3VvVioLPGfae%2F4TrLB1FB9rhbUCA8cXdPzfS0YonkWm32OAdbKwcbGrxfRsMcvcwxz2xjDJLuNVsFkPmNmTB5wcre%2B4QeWOWsZw4rh3l21yHZDarIkGWfH8%2B%2Bwqn1p9LBtfQbI4pF%2Bw5%2FPaCbJq6slwwTsnT7eETCGWH9oD6x8bDoukudXH%2FTFJ8srGVN8tcKMYCG4v%2B5btt5VXvC%2Fx%2BlC%2F4pYCmqsovhZkyJ8LpM7cM%2Bt3v6N%2FbNo%2ByESnScOef3qqsiu4YngERRg4WWcJiq4UcZO%2BTGWyvflTax%2BNAYqVsggKbxn4u1Ao2KuXJLykJqDMrRTZf1NK6YqQc9ohseP4g7zAVBEBQLypaMtxr%2FTCFqRMpCZDcvHNDY%2FQZ88UBuGp16ONDNq11TdQr7RNM2Jieq3sVKcBBtj1TNxJS9YliI6imDRGPD3PCqN%2BD3rhKMDaiosl6iU7MN%2BNliqKKX36ErucvysMhuE16F0qqcZxWx2HKq5p8VCREU9ltwyOID09f86CMjSFq9oNiGh36IYTWZoCAyA4E3kSqb0pJ9yi1HA%2F0yF83KcfHBAMMIh1%2BRgCKooM3fgbA24MsuevMHZuw%2BOyD1iJzpar8QUvlTqYR%2BOknQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,20.347,SEMILLA VIVA,Nuevo  |  +100 vendidos,(14 disponibles),Nuevo  |  +100 vendidos,No disponible,#814838992,2024-01-25 15:19:43,No disponible
Yerba Mate Verdeflor Mix De Sabores Pack X 14 Unidades 500g,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BdkrRH%2FSG9xwdcFirlEdld%2BomWR0F3oZvAeA8nWQ7GN%2B1ex8%2B%2Bc3sF0CrxaGPIAHgNiK33q0aI6x7At637xDNb2F%2FsZNragXsqA2RmYyPsv%2BeKjLm9H4lwVmLR%2BtsyG0viB7RIy1m03Od16VB19Ft6oEdA3beIsGSupS0Ji9ZjxyircvZjMptW9zTmXQT66mZpI8yjte0QQLHjclZqP8Js2xI8XkdIrTYh0RyP3hmqEIExSdVr9UBdhO%2FPAS0B9ECiTLeJJFWMJCM9QYfiYc0P8VjDxZ3b4kZJtU5lYcrlx8l2x4gn3q9z5EtEDJGiQcbUd%2Fe8KQwftyR7QNw2G3YpqieCM2vVVms8bxQDDYhKuzRgq7okoPvpm9TzC9Vuu%2FNug4Jhq3%2FCupq7HRJVXFqnimAJmmDPe4kdc0AEkgI5AzlpZpY4zrRDBwqzPSGB%2FoJPoce%2B65J7vaQ9FHDiTRZgAGOVmYbD%2BN%2FBG5NvmJZIwvXYMMt%2BSke9NYbHmpv8F6wESjDyBFSZtzzQU491CwQDpiWsCXSf%2FnWMbdL%2B%2FL60SvhUxrdGXKPRPtpH2cI2OE18faLDjZoZfx6FDAd5fZM%2FVi2Tsh6PAcGxsuLZQ%2FAZ4CV%2BpBCigBc4ol9A90ZvjOUNPgwCRpGLC7imH2knvj0O9CbvhN3two9ZUYf%2BYJgtmMV4fZkWMrYIZdnophiPnK1uLUO8GlTr90cnkFwhFhOqN7a9rGEc30lA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,19.677,YERBA VERDEFLOR,Nuevo  |  +50 vendidos,(40 disponibles),Nuevo  |  +50 vendidos,No disponible,#1329525019,2024-01-25 15:19:43,No disponible
"Yerba Mate Grapia Milenaria, El Inmigrante Y Orembaé Pack X3",https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-el-inmigrante-y-orembae-pack-x3/p/MLA27876175?pdp_filters=category:MLA409408#searchVariation=MLA27876175&position=5&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,13.775,Alma Nativa,Nuevo  |  +100 vendidos,(52 disponibles),Nuevo  |  +100 vendidos,No disponible,#1551745698,2024-01-25 15:19:43,No disponible
Yerba Cbse Guarana 500 Gramos,https://www.mercadolibre.com.ar/yerba-cbse-guarana-500-gramos/p/MLA19973276?pdp_filters=category:MLA409408#searchVariation=MLA19973276&position=6&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280697611,2024-01-25 15:19:43,No disponible
Yerba Mate Don Bosco 1kg,https://www.mercadolibre.com.ar/yerba-mate-don-bosco-1kg/p/MLA21834137?pdp_filters=category:MLA409408#searchVariation=MLA21834137&position=7&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,3.800,BARBACUÁ YERBAS,Nuevo  |  +500 vendidos,(46 disponibles),Nuevo  |  +500 vendidos,No disponible,#1366047577,2024-01-25 15:19:43,No disponible
Yerba Mate Grapia Milenaria 20 Paquetes X 1/2 Kg,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-20-paquetes-x-12-kg/p/MLA26595196?pdp_filters=category:MLA409408#searchVariation=MLA26595196&position=8&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,47.500,Alma Nativa,Nuevo  |  +100 vendidos,(24 disponibles),Nuevo  |  +100 vendidos,No disponible,#1484037632,2024-01-25 15:19:43,No disponible
Yerba Mate Barbacuá Picada Vieja 10 X 500 Gr,https://articulo.mercadolibre.com.ar/MLA-913600387-yerba-mate-barbacua-picada-vieja-10-x-500-gr-_JM#position=30&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,19.142,SEMILLA VIVA,Nuevo  |  +500 vendidos,(5 disponibles),Nuevo  |  +500 vendidos,No disponible,#913600387,2024-01-25 15:19:43,No disponible
Yerba Mate Orgánica La Obereña 3 X 500grs,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=mQFHYGCbpwKJonPJ8rc5X6sQ6Br5rOY2OuVfGfEQrC9wv%2BRJuZTT2XR3fzcCjhN%2BRT%2FfGT7RcaIGXt%2FckGUlIAS5dLZ5A87Z5yBqvEjWN%2F2XNYzVTOb8USZ4QkNSpvfT2OOJEgeWSltNdKfTD1kXlqITNJ%2FIVqcWUHZLDCrG1fTNG99futuNWPOR1dOS03JAYKULZuP%2BEg4RS7AOPwpKCGsTULTOSLsLQTK%2B1Hgkk23IGZJ%2B85LB5VHxuQqHh6MP62RrkeEH5X4MNWjrBHoAnlp0miVW2T%2FZgXvNYtPIzIMKyBXA3U5VRH94IgbJVvBj%2BNPzbHAic9nDIR4ToUKPjSgzjflZ2zP%2B9LDdhIXBDuvbaDBOOOc7DfMo4ZZCpUzYU2a%2F7u2%2FWrI5kP38iBjpGIqpFLhpR4M1QeaxEqCwLVmkVXNdhBWpFsHRkxBFz583SBdBfbsbXfPajcT9%2FiTR8uBijxzy1tJYnS9%2F%2FiRde1LIBVcrVV6JsMXMhe3cSJNVTaWbzax6vtPGNaqmQzHI9PruQ%2FiW%2BsLmBl0KH8c84zaXyx7Iu031j7LFYsi19GaYaVPQTaNzJmAbQ2jS2GHqnRs%2BXQpRI2YthFlXDEZDlibTge%2BDJ3NSEiWUh0H0oumTmRO87BDqt3G8XIaTi6AnI2ljRRAnUuuulLyjzMXGMW%2FwIKvhZaVipTsdSMHwTLEgHHPsTg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,10.459,SEMILLA VIVA,Nuevo  |  +25 vendidos,(17 disponibles),Nuevo  |  +25 vendidos,No disponible,#911023146,2024-01-25 15:19:43,No disponible
Yerba Sabor Tradicional 10x500 Gr Canarias,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=s3OMmn5EA3Bd%2FbpLcabiooZkE1Wollh%2F4m5MNRdyD9lVYxIIpHAnD9lvzOGQcK6oJvU05%2BiqhwYLyZ7aIOm%2FP0Qet%2BzjJZgdB6PnHqWz8NFrDxZwK6MMhZ3qlLU%2FH5Z6Pe%2FB8C0YUHcXzPqSPxc40cG15MfAkV%2Bpd3BIQ66JJbHc0zid8QyoC%2Fi39oL7xIXZrx2woR%2FIELcOawDJDbPaYt%2F10HY3KBwZkNxOgDp7CSsYoEoI31Ohkom16R488Pfl40fG1VKt0GnDf%2Fbci7sdkojBmNbljbL6S5%2Fqk8LxZ0A%2FkMgJYmNY97cHVyfWvIEe66i7L2r1JLZMsttnCoIEPpCaOvkImNvcDodbQcb9g2QWXIy%2F%2FWKADkxBAzyaUf5VgK29uBlF9RLVVq9L%2BgYsqN0KsBWoFha6vBxQQaWpWOErH1Q%2Fy%2Fl1nZUsBUZqzgTqdPn1HD734LmshVOUj4je%2Bl1KoZF2Idd4PcUEtH9JjvOLo%2FQupYSWMmxqCqym7Za9SDkyrP0EH2IZyd5H9sRDyprRfe%2FEiy%2FsKwscOhVikutDn9QaT0q4WGJEFHfTblTXdcLrhMQOyE%2ByovAWvkAVmH0FJRXe6MBUq0c2vQ7yxooxY%2Fo0xG5tYMfJlShLvDPIqTVjAhL47jFlha4Mn9RWu%2F0bgXgEMV3apVU8AKy8KIHndappeLZ36zVY0I%2BLMIjYvN8ltyNPb3Pc&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,39.589,PRIMOR MAYORISTA,Nuevo  |  +500 vendidos,(77 disponibles),Nuevo  |  +500 vendidos,No disponible,#1116012921,2024-01-25 15:19:43,No disponible
Yerba Mate Seleccion Especial  Mathienzo 500g,https://articulo.mercadolibre.com.ar/MLA-1177798300-yerba-mate-seleccion-especial-mathienzo-500g-_JM#position=31&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.359,GREENANDML,Nuevo  |  +100 vendidos,(64 disponibles),Nuevo  |  +100 vendidos,No disponible,#1177798300,2024-01-25 15:19:43,No disponible
Yerba Mate Romance Con Palo X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-romance-con-palo-x-1-kg/p/MLA19957007?pdp_filters=category:MLA409408#searchVariation=MLA19957007&position=11&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,3.840,Mayorista Masivos,Nuevo  |  +1000 vendidos,(57 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286077216,2024-01-25 15:19:43,No disponible
Oferta! Yerba Mate Cbse Hierbas Serranas 1kg Sin Tacc,https://www.mercadolibre.com.ar/oferta-yerba-mate-cbse-hierbas-serranas-1kg-sin-tacc/p/MLA20109309?pdp_filters=category:MLA409408#searchVariation=MLA20109309&position=12&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.999,DISTRI_LAZARO,Nuevo  |  +1000 vendidos,(315 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1613169738,2024-01-25 15:19:43,No disponible
Yerba Mate La Tranquera Suave Seleccion Especial 1kg S/ Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-suave-seleccion-especial-1kg-s-tacc/p/MLA26540592?pdp_filters=category:MLA409408#searchVariation=MLA26540592&position=13&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,3.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(46 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856536,2024-01-25 15:19:43,No disponible
Yerba Cachamate Rosa Con Hierbas Digestivas 1kg Rinde mas mates,https://www.mercadolibre.com.ar/yerba-cachamate-rosa-con-hierbas-digestivas-1kg-rinde-mas-mates/p/MLA19991742?pdp_filters=category:MLA409408#searchVariation=MLA19991742&position=14&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,4.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(56 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280865260,2024-01-25 15:19:43,No disponible
Yerba Mate Tradicional Tucanguá 5kg. Suave Y Natural. ,https://articulo.mercadolibre.com.ar/MLA-1445168440-yerba-mate-tradicional-tucangua-5kg-suave-y-natural-_JM#position=32&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,15.600,TIENDA.ANDALHUE,Nuevo  |  +25 vendidos,(69 disponibles),Nuevo  |  +25 vendidos,No disponible,#1445168440,2024-01-25 15:19:43,No disponible
Yerba Mate Taragui 4flex Sin Palo X 500g X 2 Unidades,https://articulo.mercadolibre.com.ar/MLA-1589681116-yerba-mate-taragui-4flex-sin-palo-x-500g-x-2-unidades-_JM#position=33&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,5.349,TAP GROCERY,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1589681116,2024-01-25 15:19:43,No disponible
Yerba Mate Hierbas Serranas Verdeflor Cedron Menta Pack 500g,https://www.mercadolibre.com.ar/yerba-mate-hierbas-serranas-verdeflor-cedron-menta-pack-500g/p/MLA20008647?pdp_filters=category:MLA409408#searchVariation=MLA20008647&position=15&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,1.449,YERBA VERDEFLOR,Nuevo  |  +5mil vendidos,(10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1330708945,2024-01-25 15:19:43,No disponible
Yerba Mate La Tranquera Liviana 1 Kg Suave Premium Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-liviana-1-kg-suave-premium-sin-tacc/p/MLA23602865?pdp_filters=category:MLA409408#searchVariation=MLA23602865&position=16&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,3.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(44 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428208104,2024-01-25 15:19:43,No disponible
Oferta! Yerba Mate Andresito Con Palo 1kg Premium Misiones,https://articulo.mercadolibre.com.ar/MLA-1436007476-oferta-yerba-mate-andresito-con-palo-1kg-premium-misiones-_JM#position=34&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,4.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#1436007476,2024-01-25 15:19:43,No disponible
Oferta! Yerba Mate Cbse Hierbas Serranas 500g Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1123850283-oferta-yerba-mate-cbse-hierbas-serranas-500g-sin-tacc-_JM#position=35&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.199,CAPSULANDIA,Nuevo  |  +5mil vendidos,(54 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1123850283,2024-01-25 15:19:43,No disponible
Yerba Mate Silueta Naranja Cbsé 1 unidad 500gr sin acidez,https://www.mercadolibre.com.ar/yerba-mate-silueta-naranja-cbse-1-unidad-500gr-sin-acidez/p/MLA24112318?pdp_filters=category:MLA409408#searchVariation=MLA24112318&position=17&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(41 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1496892548,2024-01-25 15:19:43,No disponible
Yerba Orgánica Certificada Roapipo X 1 Kg. Suave Con Palo.,https://www.mercadolibre.com.ar/yerba-organica-certificada-roapipo-x-1-kg-suave-con-palo/p/MLA20008479?pdp_filters=category:MLA409408#searchVariation=MLA20008479&position=18&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,6.277,NEWGARDEN.COM.AR,Nuevo  |  +500 vendidos,(76 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381638595,2024-01-25 15:19:43,No disponible
Yerba Cruz De Malta Suave Y Duradera X 1kg,https://articulo.mercadolibre.com.ar/MLA-1146997448-yerba-cruz-de-malta-suave-y-duradera-x-1kg-_JM#position=36&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.969,TAP GROCERY,Nuevo  |  +100 vendidos,(14 disponibles),Nuevo  |  +100 vendidos,No disponible,#1146997448,2024-01-25 15:19:43,No disponible
Oferta! Yerba Mate Verdeflor Menta Y Poleo 500g Menos Acidez,https://articulo.mercadolibre.com.ar/MLA-1123905871-oferta-yerba-mate-verdeflor-menta-y-poleo-500g-menos-acidez-_JM#position=37&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.099,CAPSULANDIA,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1123905871,2024-01-25 15:19:43,No disponible
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=19&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,2.924,TAP GROCERY,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280860321,2024-01-25 15:19:43,No disponible
Yerba mate Arapeguá orgánica 500g,https://www.mercadolibre.com.ar/yerba-mate-arapegua-organica-500g/p/MLA21017194?pdp_filters=category:MLA409408#searchVariation=MLA21017194&position=20&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,5.807,MANGIACHETIFABENE M,Nuevo  |  +1000 vendidos,(10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1380150892,2024-01-25 15:19:43,No disponible
Yerba Mate Ajedrez Canchada premium seleccion organica 10kg,https://www.mercadolibre.com.ar/yerba-mate-ajedrez-canchada-premium-seleccion-organica-10kg/p/MLA21706411?pdp_filters=category:MLA409408#searchVariation=MLA21706411&position=21&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,41.625,DISTRIMASSALUD,Nuevo  |  +500 vendidos,(28 disponibles),Nuevo  |  +500 vendidos,No disponible,#1564399414,2024-01-25 15:19:43,No disponible
Yerba Mate Sol Y Lluvia 10 Kg (en Paquetes De 2 Kg) Floresta,https://articulo.mercadolibre.com.ar/MLA-926504559-yerba-mate-sol-y-lluvia-10-kg-en-paquetes-de-2-kg-floresta-_JM#position=38&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,49.950,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +100 vendidos,(8 disponibles),Nuevo  |  +100 vendidos,No disponible,#926504559,2024-01-25 15:19:43,No disponible
Yerba Mate La Tranquera Selección Especial X 1 Kg ,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-seleccion-especial-x-1-kg/p/MLA20008346?pdp_filters=category:MLA409408#searchVariation=MLA20008346&position=22&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,3.999,CAPSULANDIA,Nuevo  |  +5mil vendidos,(46 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1428464932,2024-01-25 15:19:43,No disponible
Yerba Matesur Despalada Molienda Fina Estilo Uruguaya X 3u,https://articulo.mercadolibre.com.ar/MLA-1329514372-yerba-matesur-despalada-molienda-fina-estilo-uruguaya-x-3u-_JM#position=39&search_layout=stack&type=item&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,7.799,MATESUR,Nuevo  |  +100 vendidos,(153 disponibles),Nuevo  |  +100 vendidos,No disponible,#1329514372,2024-01-25 15:19:43,No disponible
Yerba Mate La Merced De Monte 500g Pack por 6 unidades,https://www.mercadolibre.com.ar/yerba-mate-la-merced-de-monte-500g-pack-por-6-unidades/p/MLA23075854?pdp_filters=category:MLA409408#searchVariation=MLA23075854&position=23&search_layout=stack&type=product&tracking_id=f2b28656-b449-4b48-b83b-1ed3217f13d1,22.695,TAP GROCERY,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1425616384,2024-01-25 15:19:43,No disponible
