Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
 Yerba Mate Orgánica Roapipó Tradicional 6 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=f%2BEW6DFjRxJOkEwUOEe9yf4IAY%2BwXyc9xjfwuX1%2BvXkrfvTY04dAge%2BM5oqxdRd3GtR0Q8CBwRvSXMZZHiyB65w%2Fccp0CzeN1SVgD64WVp46D%2B8gXB12w8UiixQDtt1kC%2FIKrF2PPiN6uoM%2BZIWPm9fO97dGRATIesIhzgFjmYfkFTaoTacWkC42qLslNkGUqnvren62ZsehznrAHbKSD0GB5Kq5MtuWE08VECkorNIjck6WfcxZzMhZIQOMNjfyaMaHah4bJYx1QS7G2T0V5M162uM09S8OJYKJzY%2BQFJHox5aqCRqfsUp4K2YS8H90Q6EwkaLoUS1WeTgLvtxMhIQ%2FFRuyybI94cjO%2F%2FAykcXObxEOgxGDLSi6vsbCFd55mR3vwEGplWb%2FVBpG8DdiNY1hltA9Gw3Umpo%2FFIO96uvy0uEbCzVBL3grEeiU7UhM3xWS%2FHbc5TOnFIy49zooIuLavamBRc9HV99SBn62QqqHwBgErD1IPXknByjKNqO%2BDzPHaMW%2BiWlromVxDTefRYDK1dO%2BW1rLUR9vTKymMyTuGmRkSE72vXWawebwE6DhkaOVYw1oo7yvCcz0Wsw1NWloYB92BBvvDq%2FCs0HPWcArRXQk%2FvonpoZ3ilUNLfEcTOwif9dg7pa8VYZGWB%2FkY7lrvzHlIqinOnCorULTtbKxTx9zoRn%2BC5Dog02yjqNZgAmI835wyeswSEkdY3w%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,20.874,SEMILLA VIVA,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#910960464,2024-01-25 15:19:01,No disponible
Yerba Mate Verdeflor Menta Y Jengibre  500g Pack X12 Unid,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=KtFse6HscrCMoAJj%2BFnCs4moOX9ja4jzD8klkGSSpuA0a34B2yXFl0U%2FxD2voG7pzpHMaWqiAxP7noB6ULr9HQAoQd2KfWczcSWrUKYhfQyYW2AB9eOMIvNyXAzco8mFWeRXsRY6uE%2BXyLdcS1nRPyBvqY5kW8QNToXGeYeMNdia%2Fo3h3q6SFuL39PEvJPUZRjJtlneLzedZybupBe2Exiik%2F3uay28LA3iGNZ72gkWJt5VZaWz58Je%2BiKl9ZhEJdb1ve%2BKwuH%2Bn8%2FP63FJDruUXdIS5D%2F1ngt4j%2FqEokUiHcTfY%2B8ybB%2BppwSOPDyUc%2FsEyxpUlBIPBykwktppTeagQrBhKBrjYPP768p1XMjcRQ8Gei9Y2RpZ17EkT%2BLfgfpYK5opW2ZY%2FguO%2BJTmgnRfDuH392BQR0M84XimpyCOPZncbotJSn5GTSVYPfPktQGQkVwiQQxsEQnDFVmSqAc%2BdvXJKw3WvcVhg8asUYFkL8luNa06rja4bR3bdzcyNdJ4MbgwMkX4RisQOdJks5%2BJHc2T2rXSeggqjZmRZ3JduaOsqCNRjtQZz2P8ia5JRG7abN0aLL8lX%2Fk8EX09RSz0zfYKQODpa53rhwhWEiTBckz9hShRrVzUQ6WkWDHyujur0IvtlP%2Fb0mmGErBMLcdNZ6a9stMesdsk4OYiLvVrHGIuAGZimcaCV%2BtTjr7hQLWPBSgnMrj099EzRgh3fVOQj%2BsSl&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.866,YERBA VERDEFLOR,Nuevo  |  1 vendido,(9 disponibles),Nuevo  |  1 vendido,No disponible,#1402994593,2024-01-25 15:19:01,No disponible
Yerba Mate Tradicional Misionera Aguantadora 1 Kg. Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-tradicional-misionera-aguantadora-1-kg-sin-tacc/p/MLA20040361?pdp_filters=category:MLA409408#searchVariation=MLA20040361&position=21&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.613,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(62 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292461340,2024-01-25 15:19:01,No disponible
Yerba Baldo Uruguaya 1 Kg,https://www.mercadolibre.com.ar/yerba-baldo-uruguaya-1-kg/p/MLA20008483?pdp_filters=category:MLA409408#searchVariation=MLA20008483&position=16&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,12.699,CAFE8041730,Nuevo  |  +1000 vendidos,(10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297843204,2024-01-25 15:19:01,No disponible
Yerba Mate Arapeguá Canchada Orgánica 500gr,https://www.mercadolibre.com.ar/yerba-mate-arapegua-canchada-organica-500gr/p/MLA20008474?pdp_filters=category:MLA409408#searchVariation=MLA20008474&position=24&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.600,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(56 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381184061,2024-01-25 15:19:01,No disponible
Yerba Mate Organica Porongo,https://www.mercadolibre.com.ar/yerba-mate-organica-porongo/p/MLA19991738?pdp_filters=category:MLA409408#searchVariation=MLA19991738&position=18&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,3.992,TAP GROCERY,Nuevo  |  +5mil vendidos,(110 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1283552817,2024-01-25 15:19:01,No disponible
Yerba Mate Taragui 4flex Sin Palo X 1kg,https://www.mercadolibre.com.ar/yerba-mate-taragui-4flex-sin-palo-x-1kg/p/MLA22252900?pdp_filters=category:MLA409408#searchVariation=MLA22252900&position=22&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,5.746,TAP GROCERY,Nuevo  |  +1000 vendidos,(46 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1428907448,2024-01-25 15:19:01,No disponible
Yerba mate Canarias Serena compuesta con hierbas 500g,https://www.mercadolibre.com.ar/yerba-mate-canarias-serena-compuesta-con-hierbas-500g/p/MLA20729891?pdp_filters=category:MLA409408#searchVariation=MLA20729891&position=23&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.200,OPEN25HS ML,Nuevo  |  +1000 vendidos,(1487 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362363472,2024-01-25 15:19:01,No disponible
Yerba Mate Grapia Milenaria 1/2 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-grapia-milenaria-12-kg-estacionamiento-natural/p/MLA21361702?pdp_filters=category:MLA409408#searchVariation=MLA21361702&position=25&search_layout=stack&type=product&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,2.375,Alma Nativa,Nuevo  |  +1000 vendidos,(619 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1324725367,2024-01-25 15:19:01,No disponible
Yerba Mate Canarias Edición Especial X 500g,https://articulo.mercadolibre.com.ar/MLA-1583139928-yerba-mate-canarias-edicion-especial-x-500g-_JM#position=49&search_layout=stack&type=item&tracking_id=ed122a5f-cdd1-4e01-aa05-34f37a99f0e3,4.800,OPEN25HS ML,Nuevo  |  +100 vendidos,(34 disponibles),Nuevo  |  +100 vendidos,No disponible,#1583139928,2024-01-25 15:19:01,No disponible
