Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Arlistán Suave - Frasco - Unidad - 1 - 50 g,https://www.mercadolibre.com.ar/arlistan-suave-frasco-unidad-1-50-g/p/MLA16112991#searchVariation=MLA16112991&position=23&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,1.430,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1417810707,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887#searchVariation=MLA20025887&position=14&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,7.499,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1373157568,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Espresso por 16 Unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-por-16-unidades/p/MLA24215212#searchVariation=MLA24215212&position=25&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,12.815,CAPSULANDIA,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1392265708,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208#searchVariation=MLA22609208&position=26&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,38.315,BARINSU,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Nescafé Dolce Gusto espresso intenso 16 unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-intenso-16-unidades/p/MLA19737045#searchVariation=MLA19737045&position=27&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,11.845,Ecomodico,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1216977699,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Venta Mayorista: Café Super Cabrales Molido Tostado 6 X 500g,https://www.mercadolibre.com.ar/venta-mayorista-cafe-super-cabrales-molido-tostado-6-x-500g/p/MLA21234656#searchVariation=MLA21234656&position=28&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,82.675,AVFX1,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1698172198,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-170-gr/p/MLA25685697#searchVariation=MLA25685697&position=29&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,7.237,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1415400439,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Cabrales Prestige Tostado Molido 250gr,https://www.mercadolibre.com.ar/cafe-cabrales-prestige-tostado-molido-250gr/p/MLA26699467#searchVariation=MLA26699467&position=30&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,7.195,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1686045326,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Sutil N5 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-sutil-n5-10-capsulas/p/MLA16167697#searchVariation=MLA16167697&position=31&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,4.954,LUIS MICHELUCCI,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1398602685,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728#searchVariation=MLA21766728&position=34&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
