Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café molido tostado intenso 1933 Cafe Martinez con azúcar torrado 260g,https://www.mercadolibre.com.ar/cafe-molido-tostado-intenso-1933-cafe-martinez-con-azucar-torrado-260g/p/MLA22022621#searchVariation=MLA22022621&position=16&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,6.897,Cafe Martinez,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1382867810,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Sutil N5 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-sutil-n5-10-capsulas/p/MLA16167697#searchVariation=MLA16167697&position=14&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.954,LUIS MICHELUCCI,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1398602685,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Molido Lavazza Crema E Gusto Classico 250 G.  ,https://www.mercadolibre.com.ar/cafe-molido-lavazza-crema-e-gusto-classico-250-g/p/MLA19979579#searchVariation=MLA19979579&position=19&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,15.000,TIENDAPEPINO,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1281984821,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instataneo Morenita Intenso Frasco Sin Tacc X 170 Gr,https://www.mercadolibre.com.ar/cafe-instataneo-morenita-intenso-frasco-sin-tacc-x-170-gr/p/MLA25822976#searchVariation=MLA25822976&position=17&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.634,Ecomodico,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381829339,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219#searchVariation=MLA20026219&position=20&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,10.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Molinillo De Granos De Café Electrico Especias Semilla Muele Color Gris,https://www.mercadolibre.com.ar/molinillo-de-granos-de-cafe-electrico-especias-semilla-muele-color-gris/p/MLA29649378#searchVariation=MLA29649378&position=22&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,27.540,BELMOTEC,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1403644947,2024-04-10 12:17:10,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales
Starbucks - Café Tostado Y Molido - House Blend X 250gr,https://www.mercadolibre.com.ar/starbucks-cafe-tostado-y-molido-house-blend-x-250gr/p/MLA19979564#searchVariation=MLA19979564&position=21&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,19.591,Nestlé,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581885306,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nuevo! Cafe Nescafe Gold Instantaneo 100g Sin Azucar S/ Tacc,https://articulo.mercadolibre.com.ar/MLA-1663776054-nuevo-cafe-nescafe-gold-instantaneo-100g-sin-azucar-s-tacc-_JM#position=52&search_layout=stack&type=item&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,11.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1663776054,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado moka frutado 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-500g/p/MLA20025965#searchVariation=MLA20025965&position=18&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492794,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks House Blend Lungo Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-house-blend-lungo-oficial-by-nespresso-10-unidades/p/MLA19731860#searchVariation=MLA19731860&position=25&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,10.981,Nestlé,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581922792,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido 250g Combo Brasil Colombia Moka Select Italiano,https://www.mercadolibre.com.ar/cafe-molido-250g-combo-brasil-colombia-moka-select-italiano/p/MLA26539673#searchVariation=MLA26539673&position=23&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,50.815,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1482882680,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Illy Grano Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-grano-espresso-tostado-clasico-blend-100-arabica/p/MLA19937594#searchVariation=MLA19937594&position=24&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,22.075,GABY FRAD,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1370240005,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Kalma Espuma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-kalma-espuma-frasco-x-170-gr/p/MLA24737455#searchVariation=MLA24737455&position=33&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,6.711,SUPLEMENTOSNORT,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1415348479,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Metabolic Max Reduce Grasa Corporal X 60 Caps. Blandas,https://www.mercadolibre.com.ar/metabolic-max-reduce-grasa-corporal-x-60-caps-blandas/p/MLA19700947#searchVariation=MLA19700947&position=26&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,11.920,FARMACIA SANTA-ANA,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1245912124,2024-04-10 12:17:10,Salud y Equipamiento Médico,Suplementos Alimenticios,nan,nan,nan
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553#searchVariation=MLA19979553&position=27&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,12.609,MAM_CBA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1401728205,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Lavazza Crema E Aroma En Granos X 1kg-italia-env Azul,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-en-granos-x-1kg-italia-env-azul/p/MLA24343070#searchVariation=MLA24343070&position=28&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,52.475,GABY FRAD,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1446327872,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Cabrales Clásico En Saquitos 5 Gr X 18 Saquitos,https://www.mercadolibre.com.ar/cafe-cabrales-clasico-en-saquitos-5-gr-x-18-saquitos/p/MLA20018554#searchVariation=MLA20018554&position=29&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.136,TAP GROCERY,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1322226105,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595#searchVariation=MLA19937595&position=30&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.850,XPALLET.COM.AR,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1401596528,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Taza Cafe Rigolleau Amanecer 370ml X 6,https://www.mercadolibre.com.ar/taza-cafe-rigolleau-amanecer-370ml-x-6/p/MLA24297036#searchVariation=MLA24297036&position=31&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,6.819,PARA TU CASA shop,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1446302812,2024-04-10 12:17:10,"Hogar, Muebles y Jardín",Bazar y Cocina,Vajilla y Artículos de Servir,Vajilla,Tazas
Café Super Cabrales Tostado Molido 125g Argentina !,https://www.mercadolibre.com.ar/cafe-super-cabrales-tostado-molido-125g-argentina-/p/MLA20728552#searchVariation=MLA20728552&position=32&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.410,BON MARCHE,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1681030754,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Moka frutado 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-250g/p/MLA20026232#searchVariation=MLA20026232&position=34&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,8.692,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339318226,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Suave Doypack X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-suave-doypack-x-170-gr/p/MLA20720536#searchVariation=MLA20720536&position=36&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,4.595,Ecomodico,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1285412518,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido La Virginia Torrado Equilibrado X 500 Gr,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-500-gr/p/MLA19958440#searchVariation=MLA19958440&position=38&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,6.792,TUPIXIE,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1406602493,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Sensaciones Torrado Intenso 250 Gr,https://www.mercadolibre.com.ar/cafe-bonafide-sensaciones-torrado-intenso-250-gr/p/MLA19958431#searchVariation=MLA19958431&position=40&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,2.767,BLIP,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1367476612,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Dolca® - Doypack X 170gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-doypack-x-170gr/p/MLA29151080#searchVariation=MLA29151080&position=42&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,7.987,Nestlé,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1399818161,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Batidor Eléctrico Usb Espumadora Café Leche Inalámbrico,https://articulo.mercadolibre.com.ar/MLA-1513312762-batidor-electrico-usb-espumadora-cafe-leche-inalambrico-_JM#position=53&search_layout=stack&type=item&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,8.035,LAHUELLA IMPORT,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1513312762,2024-04-10 12:17:10,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Batidoras
Luggiani cafe en grano tostado italiano rosso 1 Kg,https://www.mercadolibre.com.ar/luggiani-cafe-en-grano-tostado-italiano-rosso-1-kg/p/MLA24443058#searchVariation=MLA24443058&position=47&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,22.999,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1705218054,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Peru Cabrales 250g,https://www.mercadolibre.com.ar/cafe-molido-peru-cabrales-250g/p/MLA20026311#searchVariation=MLA20026311&position=35&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,9.195,AVFX1,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1689267058,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cappuccino Instantaneo Light Dp Sin Tacc 100 Grs,https://www.mercadolibre.com.ar/la-virginia-cappuccino-instantaneo-light-dp-sin-tacc-100-grs/p/MLA20018573#searchVariation=MLA20018573&position=39&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,2.611,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281953271,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Molido Colombia  250grs.,https://www.mercadolibre.com.ar/cafe-molido-colombia-250grs/p/MLA20026271#searchVariation=MLA20026271&position=41&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,14.630,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1293239410,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas De Café Combo X80 Compatible Con Máquina Nespresso,https://www.mercadolibre.com.ar/capsulas-de-cafe-combo-x80-compatible-con-maquina-nespresso/p/MLA27457096#searchVariation=MLA27457096&position=45&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,75.240,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1528890146,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Montibello Colombia Natural en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-colombia-natural-en-grano-tostado-1kg/p/MLA28879404#searchVariation=MLA28879404&position=37&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,51.029,INSUMOSCENTERONLINE,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1399399609,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Grano Extra Strong X 1kg Ideal Para El Desayuno,https://www.mercadolibre.com.ar/cafe-en-grano-extra-strong-x-1kg-ideal-para-el-desayuno/p/MLA24825137#searchVariation=MLA24825137&position=43&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,40.500,SISI20240219135755,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1676408764,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe En Saquitos Cappuccino Tradicional X 10 Un,https://www.mercadolibre.com.ar/la-virginia-cafe-en-saquitos-cappuccino-tradicional-x-10-un/p/MLA28295140#searchVariation=MLA28295140&position=51&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,3.582,Ecomodico,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1396952729,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Capsulas Nescafé Dolce Gusto espresso intenso 16 unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-intenso-16-unidades/p/MLA19737045#searchVariation=MLA19737045&position=46&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,11.845,Ecomodico,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1216977699,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café En Granos Los 5 Hispanos Tostado Paquete 500 Gr,https://articulo.mercadolibre.com.ar/MLA-1389221811-cafe-en-granos-los-5-hispanos-tostado-paquete-500-gr-_JM#position=54&search_layout=stack&type=item&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,22.839,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1389221811,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado selecto 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-500g-sin-azucar-agregada/p/MLA20993659#searchVariation=MLA20993659&position=44&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,20.330,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1301675015,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo CEBADA Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=48&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafetera Hudson Émbolo F-228-1000 manual plateada y negra prensa francesa,https://www.mercadolibre.com.ar/cafetera-hudson-embolo-f-228-1000-manual-plateada-y-negra-prensa-francesa/p/MLA18263270#searchVariation=MLA18263270&position=49&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,25.080,AUDIOMANIADECIUDADELA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1133210111,2024-04-10 12:17:10,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Cafe En Grano Lavazza Crema E Aroma 1 Kg.,https://www.mercadolibre.com.ar/cafe-en-grano-lavazza-crema-e-aroma-1-kg/p/MLA19937596#searchVariation=MLA19937596&position=50&search_layout=stack&type=product&tracking_id=a002422a-5c3e-48c2-ab6f-303b3b1f0437,53.000,GABY FRAD,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1361108747,2024-04-10 12:17:10,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
