Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887#searchVariation=MLA20025887&position=16&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,7.499,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1373157568,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Soluble Tradición 100% Cafe Nescafe X 1 Kg,https://www.mercadolibre.com.ar/cafe-soluble-tradicion-100-cafe-nescafe-x-1-kg/p/MLA19791745#searchVariation=MLA19791745&position=12&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,33.638,MATAMARKET,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1414853019,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019#searchVariation=MLA20026019&position=14&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Moulinex Café City Perfecta FG3205 Negro 220V,https://www.mercadolibre.com.ar/moulinex-cafe-city-perfecta-fg3205-negro-220v/p/MLA15236175#searchVariation=MLA15236175&position=15&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,37.995,ARGENSHOP BSAS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1142432706,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Cafe Nescafé Gold Tostado Molido Intenso 250g,https://www.mercadolibre.com.ar/cafe-nescafe-gold-tostado-molido-intenso-250g/p/MLA24047577#searchVariation=MLA24047577&position=27&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,11.982,Nestlé,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581910040,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Luggiani cafe en grano tostado italiano rosso 1kg,https://www.mercadolibre.com.ar/luggiani-cafe-en-grano-tostado-italiano-rosso-1kg/p/MLA24443058#searchVariation=MLA24443058&position=33&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,22.999,CENTRAL DECAFE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1422572205,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959#searchVariation=MLA16112959&position=22&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,15.432,CORIFOODML,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1406066135,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571#searchVariation=MLA19979571&position=23&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://articulo.mercadolibre.com.ar/MLA-1395841479-difusor-saphirus-con-varillas-aromatizador-de-ambiente-_JM#position=54&search_layout=stack&type=item&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,3.204,FRAGANCIAS LALINDA,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1395841479,2024-04-30 19:35:44,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,nan
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553#searchVariation=MLA19979553&position=28&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,11.383,SUPLEMENTOS NORTE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1693700680,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
