Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
La Virginia Cappuccino Instantaneo Light Dp Sin Tacc 100 Grs,https://www.mercadolibre.com.ar/la-virginia-cappuccino-instantaneo-light-dp-sin-tacc-100-grs/p/MLA20018573#searchVariation=MLA20018573&position=14&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,2.611,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281953271,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Bonafide Sensacion Intensa 500 Gramos.,https://www.mercadolibre.com.ar/cafe-bonafide-sensacion-intensa-500-gramos/p/MLA19944516#searchVariation=MLA19944516&position=15&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,3.275,Tienda Rodelu,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1542005418,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Embolo Prensa Francesa De 800 Ml De Gran Calidad,https://www.mercadolibre.com.ar/cafetera-embolo-prensa-francesa-de-800-ml-de-gran-calidad/p/MLA24394459#searchVariation=MLA24394459&position=16&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,15.999,FOR HOME,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1446392826,2024-04-30 19:36:37,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Cafe Molido 250g Combo Brasil Colombia Moka Select Italiano,https://www.mercadolibre.com.ar/cafe-molido-250g-combo-brasil-colombia-moka-select-italiano/p/MLA26539673#searchVariation=MLA26539673&position=17&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,50.815,Cafe Martinez,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1482882680,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo CEBADA Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=18&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
3 Corações tradicional café torrado molido bolsa 500g,https://www.mercadolibre.com.ar/3-coracoes-tradicional-cafe-torrado-molido-bolsa-500g/p/MLA24753269#searchVariation=MLA24753269&position=19&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,9.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1700708472,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Zego Foodie ZC1050 semi automática blanca expreso 220V - 240V,https://www.mercadolibre.com.ar/cafetera-zego-foodie-zc1050-semi-automatica-blanca-expreso-220v-240v/p/MLA33783236#searchVariation=MLA33783236&position=20&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,199.990,DIGIIMAG,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1411102303,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Café molido tostado intenso 1933 Cafe Martinez con azúcar torrado 260g,https://www.mercadolibre.com.ar/cafe-molido-tostado-intenso-1933-cafe-martinez-con-azucar-torrado-260g/p/MLA22022621#searchVariation=MLA22022621&position=21&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,6.897,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1382867810,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas De Café Combo X80 Compatible Con Máquina Nespresso,https://www.mercadolibre.com.ar/capsulas-de-cafe-combo-x80-compatible-con-maquina-nespresso/p/MLA27457096#searchVariation=MLA27457096&position=22&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,75.240,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1528890146,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Combo Café Molido Tostado Suave 1933 260gr X4,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-suave-1933-260gr-x4/p/MLA28576569#searchVariation=MLA28576569&position=23&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,27.588,Cafe Martinez,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1397615721,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Clasico Espuma Sin Tacc X 100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-clasico-espuma-sin-tacc-x-100gr/p/MLA19738168#searchVariation=MLA19738168&position=24&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,3.348,Ecomodico,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1216625414,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Lavazza - Crema E Aroma Italia En Grano X 1 Kg,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-italia-en-grano-x-1-kg/p/MLA20026299#searchVariation=MLA20026299&position=25&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,52.300,GOGO20240327112448,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1731409670,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido Intenso Sensaciones Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-sensaciones-bonafide-x-1-kg/p/MLA19979528#searchVariation=MLA19979528&position=26&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,14.360,BLIP,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1419468980,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mochila Matera T-go Yerbero Bolso Matero Correa Porta Termo Color Azul,https://www.mercadolibre.com.ar/mochila-matera-t-go-yerbero-bolso-matero-correa-porta-termo-color-azul/p/MLA29614943#searchVariation=MLA29614943&position=27&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,31.835,T-GO,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,OFERTA DEL DÍA,#1631934982,2024-04-30 19:36:37,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Cafe Martinez molido tostado Moka frutado 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-250g/p/MLA20026232#searchVariation=MLA20026232&position=28&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,8.692,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339318226,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Molinillo De Cafe Oster Mh23 Color Gris,https://www.mercadolibre.com.ar/molinillo-de-cafe-oster-mh23-color-gris/p/MLA20008386#searchVariation=MLA20008386&position=29&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,99.999,Oster,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1376674893,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Starbucks - Café Tostado Y Molido - House Blend X 250gr,https://www.mercadolibre.com.ar/starbucks-cafe-tostado-y-molido-house-blend-x-250gr/p/MLA19979564#searchVariation=MLA19979564&position=30&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,15.672,Nestlé,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581885306,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe En Saquitos Cappuccino Tradicional X 10 Un,https://www.mercadolibre.com.ar/la-virginia-cafe-en-saquitos-cappuccino-tradicional-x-10-un/p/MLA28295140#searchVariation=MLA28295140&position=31&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,3.582,Ecomodico,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1396952729,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Combo Cafe Molido Tostado Brasil 500g Sin Azúcar Agregada X2,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-brasil-500g-sin-azucar-agregada-x2/p/MLA28565002#searchVariation=MLA28565002&position=32&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,31.920,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1584480062,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Nescafé Dolce Gusto espresso intenso 16 unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-intenso-16-unidades/p/MLA19737045#searchVariation=MLA19737045&position=33&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,11.999,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1365503703,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Molido Colombia  250grs.,https://www.mercadolibre.com.ar/cafe-molido-colombia-250grs/p/MLA20026271#searchVariation=MLA20026271&position=34&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,14.630,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1293239410,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Montibello Moka en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-moka-en-grano-tostado-1kg/p/MLA28257259#searchVariation=MLA28257259&position=35&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,36.355,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1577030580,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo Cebada MALTAS El Pocillo Clasico doypack 115 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-maltas-el-pocillo-clasico-doypack-115g/p/MLA35716944#searchVariation=MLA35716944&position=36&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,2.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1737764356,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafetera Philips Daily Collection HD7461 semi automática silk beige de filtro 220V - 240V,https://www.mercadolibre.com.ar/cafetera-philips-daily-collection-hd7461-semi-automatica-silk-beige-de-filtro-220v-240v/p/MLA19580516#searchVariation=MLA19580516&position=37&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,74.990,NETFULL OK,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1176941852,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Cafe Molido La Virginia Torrado Equilibrado X 500 Gr,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-500-gr/p/MLA19958440#searchVariation=MLA19958440&position=38&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,6.351,TUPIXIE,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1406602493,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks  Pike Place Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-pike-place-oficial-by-nespresso-10-unidades/p/MLA19606446#searchVariation=MLA19606446&position=39&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,8.784,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581910050,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Santos Crema Granos 5 Hispanos Espresso X 1 Kilo,https://www.mercadolibre.com.ar/cafe-santos-crema-granos-5-hispanos-espresso-x-1-kilo/p/MLA21618937#searchVariation=MLA21618937&position=40&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,34.899,DISTRIBUIDORAGLOBALJC,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1347343743,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Café pelé extra fuerte tostado y molido al vacío, paquete de 500 g",https://www.mercadolibre.com.ar/cafe-pele-extra-fuerte-tostado-y-molido-al-vacio-paquete-de-500-g/p/MLA18396099#searchVariation=MLA18396099&position=41&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,9.999,CAPSULANDIA,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1424166795,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Dolca Torrados 170gr Nestlé Oficial,https://www.mercadolibre.com.ar/nescafe-dolca-torrados-170gr-nestle-oficial/p/MLA24207287#searchVariation=MLA24207287&position=42&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,3.500,VIRGONAMARIAEUGENIA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1423448159,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cápsulas Nescafé Dolce Gusto Espresso por 16 Unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-por-16-unidades/p/MLA24215212#searchVariation=MLA24215212&position=43&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,10.592,COMBOX SA,Nuevo  |  +50mil vendidos,(+5 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1417110047,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907#searchVariation=MLA20025907&position=44&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,10.000,VIRGONAMARIAEUGENIA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1750059940,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Grano Lavazza Crema E Aroma 1 Kg.,https://www.mercadolibre.com.ar/cafe-en-grano-lavazza-crema-e-aroma-1-kg/p/MLA19937596#searchVariation=MLA19937596&position=45&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,51.239,GOGO20240327112448,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1731407988,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Molinillo De Cafe Ultracomb Mo8100a 120w Acero Inoxidable Color Gris,https://www.mercadolibre.com.ar/molinillo-de-cafe-ultracomb-mo8100a-120w-acero-inoxidable-color-gris/p/MLA20008383#searchVariation=MLA20008383&position=46&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,32.300,TIBOX ONLINE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1527050090,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Café Melitta 500g. Tradicional. Extraforte. Fazenda. Brasil.,https://www.mercadolibre.com.ar/cafe-melitta-500g-tradicional-extraforte-fazenda-brasil/p/MLA20026239#searchVariation=MLA20026239&position=47&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,11.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412711381,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Suave Doypack X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-suave-doypack-x-170-gr/p/MLA20720536#searchVariation=MLA20720536&position=48&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,4.595,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1285412518,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Grano Cabrales Colombia 1kg Tostado,https://www.mercadolibre.com.ar/cafe-grano-cabrales-colombia-1kg-tostado/p/MLA20026278#searchVariation=MLA20026278&position=49&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,57.275,AVFX1,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1664905940,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Jarra Pava Electrica Spica Sp-930 Acero Inoxidable Mate Cafe Color Negro,https://www.mercadolibre.com.ar/jarra-pava-electrica-spica-sp-930-acero-inoxidable-mate-cafe-color-negro/p/MLA19446089#searchVariation=MLA19446089&position=50&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,18.899,LIBERCAM,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1147113207,2024-04-30 19:36:37,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Jarras Eléctricas,nan
Montibello Colombia Natural en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-colombia-natural-en-grano-tostado-1kg/p/MLA28879404#searchVariation=MLA28879404&position=51&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,48.477,INSUMOSCENTERONLINE,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1399399609,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Prensa Francesa Manual Plateada 600 Ml,https://www.mercadolibre.com.ar/cafetera-prensa-francesa-manual-plateada-600-ml/p/MLA25912421#searchVariation=MLA25912421&position=52&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,8.449,PATAGONIA HOME,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1478576826,2024-04-30 19:36:37,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898#searchVariation=MLA20903898&position=53&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,10.000,VIRGONAMARIAEUGENIA,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1749969330,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Arlistán Suave - Frasco - Unidad - 1 - 50 g,https://www.mercadolibre.com.ar/arlistan-suave-frasco-unidad-1-50-g/p/MLA16112991#searchVariation=MLA16112991&position=4&search_layout=stack&type=product&tracking_id=c6362648-cbfe-41ea-8e33-fd42c733277e,1.430,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1417810707,2024-04-30 19:36:37,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
