Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875#searchVariation=MLA20025875&position=1&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,10.838,LUIS MICHELUCCI,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1664899496,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959#searchVariation=MLA16112959&position=4&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,14.770,TUPIXIE,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1388091661,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571#searchVariation=MLA19979571&position=5&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=52&search_layout=stack&type=item&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.365,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Cappuccino Oficial,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-cappuccino-oficial/p/MLA16167625#searchVariation=MLA16167625&position=7&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,11.999,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#921695731,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664#searchVariation=MLA20718664&position=8&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,21.431,NUTRISERVICESRL,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1616754490,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Cabrales Prestige Tostado Molido 250gr,https://www.mercadolibre.com.ar/cafe-cabrales-prestige-tostado-molido-250gr/p/MLA26699467#searchVariation=MLA26699467&position=12&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,7.195,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1686045326,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208#searchVariation=MLA22609208&position=14&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,38.315,BARINSU,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=17&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,33.000,SILMAR BAZAR,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1402975247,2024-04-09 10:44:38,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728#searchVariation=MLA21766728&position=21&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
