Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
03 Corações Tradicional Molido café Torrado Bolsa Unidad 500g,https://www.mercadolibre.com.ar/03-coracoes-tradicional-molido-cafe-torrado-bolsa-unidad-500g/p/MLA24753269#searchVariation=MLA24753269&position=8&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,9.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1700708472,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café Molido Tostado Suave 1933 260gr X4,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-suave-1933-260gr-x4/p/MLA28576569#searchVariation=MLA28576569&position=15&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,27.588,Cafe Martinez,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1397615721,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks House Blend Lungo Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-house-blend-lungo-oficial-by-nespresso-10-unidades/p/MLA19731860#searchVariation=MLA19731860&position=22&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,10.981,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581922792,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Grano Tostado  Super Cabrales Espresso 1kg ,https://www.mercadolibre.com.ar/cafe-grano-tostado-super-cabrales-espresso-1kg/p/MLA19996869#searchVariation=MLA19996869&position=23&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,38.506,CASAMAYOGROUP SRL,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1734009590,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Cabrales Clásico En Saquitos 5 Gr X 18 Saquitos,https://www.mercadolibre.com.ar/cafe-cabrales-clasico-en-saquitos-5-gr-x-18-saquitos/p/MLA20018554#searchVariation=MLA20018554&position=24&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,4.136,TAP GROCERY,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1322226105,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Montibello Moka en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-moka-en-grano-tostado-1kg/p/MLA28257259#searchVariation=MLA28257259&position=25&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,31.309,INSUMOSCENTERONLINE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1577030580,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Super Cabrales Senseo ,https://www.mercadolibre.com.ar/capsulas-super-cabrales-senseo/p/MLA21356761#searchVariation=MLA21356761&position=26&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,7.026,MERCADOMIXAR,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1390302689,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café molido tostado intenso 1933 Cafe Martinez con azúcar torrado 260g,https://www.mercadolibre.com.ar/cafe-molido-tostado-intenso-1933-cafe-martinez-con-azucar-torrado-260g/p/MLA22022621#searchVariation=MLA22022621&position=13&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,6.897,Cafe Martinez,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1382867810,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Kalma Espuma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-kalma-espuma-frasco-x-170-gr/p/MLA24737455#searchVariation=MLA24737455&position=16&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,6.711,SUPLEMENTOSNORT,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1415348479,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219#searchVariation=MLA20026219&position=18&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,10.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Taza Cafe Vidrio Amanecer 370 Ml Tazon Mug Rigolleau X6 Unidades,https://www.mercadolibre.com.ar/taza-cafe-vidrio-amanecer-370-ml-tazon-mug-rigolleau-x6-unidades/p/MLA24297036#searchVariation=MLA24297036&position=14&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,6.819,PARA TU CASA shop,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1446302812,2024-04-09 10:46:12,"Hogar, Muebles y Jardín",Bazar y Cocina,Vajilla y Artículos de Servir,Vajilla,Tazas
Café Molido Lavazza Crema E Gusto Classico 250 G.  ,https://www.mercadolibre.com.ar/cafe-molido-lavazza-crema-e-gusto-classico-250-g/p/MLA19979579#searchVariation=MLA19979579&position=21&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,15.000,TIENDAPEPINO,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1281984821,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
! Cafe Instantaneo Segafredo Preferito 100g Sin Azucar,https://www.mercadolibre.com.ar/-cafe-instantaneo-segafredo-preferito-100g-sin-azucar/p/MLA20713491#searchVariation=MLA20713491&position=43&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,9.940,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1365581849,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado moka frutado 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-500g/p/MLA20025965#searchVariation=MLA20025965&position=44&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492794,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas De Café Combo X80 Compatible Con Máquina Nespresso,https://www.mercadolibre.com.ar/capsulas-de-cafe-combo-x80-compatible-con-maquina-nespresso/p/MLA27457096#searchVariation=MLA27457096&position=46&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,75.240,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1528890146,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Nescafé Gold Tostado Molido Equilibrado 250gr,https://www.mercadolibre.com.ar/nescafe-gold-tostado-molido-equilibrado-250gr/p/MLA20026486#searchVariation=MLA20026486&position=50&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,15.000,IGNACIOJOAQUINBOUE,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1417681779,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido 250g Combo Brasil Colombia Moka Select Italiano,https://www.mercadolibre.com.ar/cafe-molido-250g-combo-brasil-colombia-moka-select-italiano/p/MLA26539673#searchVariation=MLA26539673&position=19&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,50.815,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1482882680,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Suave Doypack X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-suave-doypack-x-170-gr/p/MLA20720536#searchVariation=MLA20720536&position=38&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,4.595,Ecomodico,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1285412518,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Batidor Eléctrico Usb Espumadora Café Leche Inalámbrico,https://articulo.mercadolibre.com.ar/MLA-1513312762-batidor-electrico-usb-espumadora-cafe-leche-inalambrico-_JM#position=55&search_layout=stack&type=item&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,8.035,LAHUELLA IMPORT,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1513312762,2024-04-09 10:46:12,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Preparación de Alimentos,Batidoras
Café Illy Grano Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-grano-espresso-tostado-clasico-blend-100-arabica/p/MLA19937594#searchVariation=MLA19937594&position=36&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,22.075,GABY FRAD,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1370240005,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Lavazza Crema E Aroma En Granos X 1kg-italia-env Azul,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-en-granos-x-1kg-italia-env-azul/p/MLA24343070#searchVariation=MLA24343070&position=20&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,52.475,MERCADOGOURMET ONLINE,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1496866658,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Juan Valdez Instantáneo Liofilizado  X 95g - Colombiano,https://www.mercadolibre.com.ar/cafe-juan-valdez-instantaneo-liofilizado-x-95g-colombiano/p/MLA20018595#searchVariation=MLA20018595&position=28&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,19.999,MORECOFFEE,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1468931454,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Super Cabrales Tostado Molido 125g Argentina !,https://www.mercadolibre.com.ar/cafe-super-cabrales-tostado-molido-125g-argentina-/p/MLA20728552#searchVariation=MLA20728552&position=29&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,4.410,BON MARCHE,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1681030754,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Café Cortado En Capsulas La Virginia (10 Caps X 6,25g)",https://www.mercadolibre.com.ar/cafe-cortado-en-capsulas-la-virginia-10-caps-x-625g/p/MLA19590059#searchVariation=MLA19590059&position=30&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,7.300,LUIS MICHELUCCI,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400723499,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Cabrales La Planta Torrado Paquete De 500 Grs ,https://www.mercadolibre.com.ar/cafe-cabrales-la-planta-torrado-paquete-de-500-grs/p/MLA19944513#searchVariation=MLA19944513&position=33&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,8.455,COMPRAR MARKET,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1371601339,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido La Virginia Torrado Equilibrado X 500 Gr,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-500-gr/p/MLA19958440#searchVariation=MLA19958440&position=34&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,6.792,TUPIXIE,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1406602493,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Dolca® - Doypack X 170gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-doypack-x-170gr/p/MLA29151080#searchVariation=MLA29151080&position=35&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,7.987,Nestlé,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1399818161,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafetera Embolo Prensa Francesa De 800 Ml De Gran Calidad,https://www.mercadolibre.com.ar/cafetera-embolo-prensa-francesa-de-800-ml-de-gran-calidad/p/MLA24394459#searchVariation=MLA24394459&position=27&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,14.811,PETTISH BAZAR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376666717,2024-04-09 10:46:12,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Cafe Molido Melitta Tradicional 500g Importado De Brasil,https://www.mercadolibre.com.ar/cafe-molido-melitta-tradicional-500g-importado-de-brasil/p/MLA20025945#searchVariation=MLA20025945&position=31&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,11.500,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1412702051,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Moka frutado 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-250g/p/MLA20026232#searchVariation=MLA20026232&position=32&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,8.692,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339318226,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cappuccino Instantaneo Light Dp Sin Tacc 100 Grs,https://www.mercadolibre.com.ar/la-virginia-cappuccino-instantaneo-light-dp-sin-tacc-100-grs/p/MLA20018573#searchVariation=MLA20018573&position=51&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,2.611,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281953271,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafetera Hudson Émbolo F-228-1000 manual plateada y negra prensa francesa,https://www.mercadolibre.com.ar/cafetera-hudson-embolo-f-228-1000-manual-plateada-y-negra-prensa-francesa/p/MLA18263270#searchVariation=MLA18263270&position=37&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,25.080,AUDIOMANIADECIUDADELA,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1133210111,2024-04-09 10:46:12,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Cafe Molido Peru Cabrales 250g,https://www.mercadolibre.com.ar/cafe-molido-peru-cabrales-250g/p/MLA20026311#searchVariation=MLA20026311&position=39&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,9.195,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1689267058,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Molido Colombia  250grs.,https://www.mercadolibre.com.ar/cafe-molido-colombia-250grs/p/MLA20026271#searchVariation=MLA20026271&position=40&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,14.630,Cafe Martinez,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1293239410,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Luggiani cafe en grano tostado italiano rosso 1 Kg,https://www.mercadolibre.com.ar/luggiani-cafe-en-grano-tostado-italiano-rosso-1-kg/p/MLA24443058#searchVariation=MLA24443058&position=41&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,22.999,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1705218054,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo Cebada Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=45&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafetera Prensa Francesa Manual Plateada 600 Ml,https://www.mercadolibre.com.ar/cafetera-prensa-francesa-manual-plateada-600-ml/p/MLA25912421#searchVariation=MLA25912421&position=52&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,8.449,PATAGONIA HOME,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1478576826,2024-04-09 10:46:12,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Morenita Cafe Tostado En Grano Colombia 500 G Sin Tacc,https://www.mercadolibre.com.ar/morenita-cafe-tostado-en-grano-colombia-500-g-sin-tacc/p/MLA22254466#searchVariation=MLA22254466&position=48&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,13.490,AVFX1,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1417749649,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Grano Extra Strong X 1kg Ideal Para El Desayuno,https://www.mercadolibre.com.ar/cafe-en-grano-extra-strong-x-1kg-ideal-para-el-desayuno/p/MLA24825137#searchVariation=MLA24825137&position=47&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,40.500,SISI20240219135755,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1676408764,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Dolca Torrados 170gr Nestlé Oficial,https://www.mercadolibre.com.ar/nescafe-dolca-torrados-170gr-nestle-oficial/p/MLA24207287#searchVariation=MLA24207287&position=49&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,5.984,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376803865,2024-04-09 10:46:12,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafetera Esmaltada Hudson Gris Estilo Italiana 6 Tazas,https://www.mercadolibre.com.ar/cafetera-esmaltada-hudson-gris-estilo-italiana-6-tazas/p/MLA24434698#searchVariation=MLA24434698&position=42&search_layout=stack&type=product&tracking_id=5ea027de-23d0-49da-903f-aef5bd669925,35.372,Kitchen Tools,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390916053,2024-04-09 10:46:12,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
