Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Galletitas Pitusas Mousse De Chocolate Mini Galletas Dulces,https://www.mercadolibre.com.ar/galletitas-pitusas-mousse-de-chocolate-mini-galletas-dulces/p/MLA26280673?pdp_filters=category:MLA1423#searchVariation=MLA26280673&position=22&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,701,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384208013,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Pretzels Autenta Foods Horneados X 150 Grs.,https://www.mercadolibre.com.ar/pretzels-autenta-foods-horneados-x-150-grs/p/MLA19943874?pdp_filters=category:MLA1423#searchVariation=MLA19943874&position=23&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,3.999,CORIFOODML,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1663763688,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,
Galletitas Trio Variette Galletas Dulces Mix - Mejor Precio,https://www.mercadolibre.com.ar/galletitas-trio-variette-galletas-dulces-mix-mejor-precio/p/MLA19892708?pdp_filters=category:MLA1423#searchVariation=MLA19892708&position=24&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.261,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281028839,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Pitusas Chocolate Mini Galletas Dulces Rellenas,https://www.mercadolibre.com.ar/galletitas-pitusas-chocolate-mini-galletas-dulces-rellenas/p/MLA25871962?pdp_filters=category:MLA1423#searchVariation=MLA25871962&position=25&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,711,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1469931860,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas Frutigran Avena Chia Lino Granix,https://www.mercadolibre.com.ar/galletitas-frutigran-avena-chia-lino-granix/p/MLA19849723?pdp_filters=category:MLA1423#searchVariation=MLA19849723&position=26&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.270,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1262698589,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Pimienta Limon Badia X 184.3 Gr,https://www.mercadolibre.com.ar/pimienta-limon-badia-x-1843-gr/p/MLA21362422?pdp_filters=category:MLA1423#searchVariation=MLA21362422&position=27&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,9.799,OLIVOSYVIÑEDOS,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1438760144,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Salsas y Condimentos,Especias,
Galletas Redondas C/sal De Arroz Integral Sin Tacc X1u 100g,https://www.mercadolibre.com.ar/galletas-redondas-csal-de-arroz-integral-sin-tacc-x1u-100g/p/MLA28863428?pdp_filters=category:MLA1423#searchVariation=MLA28863428&position=28&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.040,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600427732,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas Amor X108gr,https://www.mercadolibre.com.ar/galletas-amor-x108gr/p/MLA28645140?pdp_filters=category:MLA1423#searchVariation=MLA28645140&position=29&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,949,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1410855907,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletas De Arroz Macrobiotica Dulces 102g Kosher Sin Tacc,https://www.mercadolibre.com.ar/galletas-de-arroz-macrobiotica-dulces-102g-kosher-sin-tacc/p/MLA20002798?pdp_filters=category:MLA1423#searchVariation=MLA20002798&position=30&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.125,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278536821,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
Galletitas De Arroz Integral Dulces Risky Dit Sin Tacc,https://www.mercadolibre.com.ar/galletitas-de-arroz-integral-dulces-risky-dit-sin-tacc/p/MLA21777719?pdp_filters=category:MLA1423#searchVariation=MLA21777719&position=31&search_layout=stack&type=product&tracking_id=29dad59a-ef35-4503-886a-7cf1f7c52508,1.449,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383522804,2024-05-18 15:17:22,Alimentos y Bebidas,Almacén,Galletitas,nan,
