Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://www.mercadolibre.com.ar/aceite-lira-oliva-y-girasol-15-lt/p/MLA23689710?pdp_filters=category:MLA114008#searchVariation=MLA23689710&position=15&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,6.232,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372848003,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Alto Oleico Granix,https://articulo.mercadolibre.com.ar/MLA-927145022-aceite-de-alto-oleico-granix-_JM#position=37&search_layout=stack&type=item&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,4.281,01MERCADO,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#927145022,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Cocinero Girasol Botella 900 Ml,https://www.mercadolibre.com.ar/aceite-cocinero-girasol-botella-900-ml/p/MLA19629827?pdp_filters=category:MLA114008#searchVariation=MLA19629827&position=16&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,1.966,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1701849646,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Cañuelas Girasol Botellon 5 Litros,https://www.mercadolibre.com.ar/aceite-canuelas-girasol-botellon-5-litros/p/MLA19784591?pdp_filters=category:MLA114008#searchVariation=MLA19784591&position=31&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,15.620,POSTA LOCALES,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1249051306,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Botella De 900 Cc,https://articulo.mercadolibre.com.ar/MLA-1119171158-aceite-natura-girasol-botella-de-900-cc-_JM#position=38&search_layout=stack&type=item&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,1.610,Mayorista Masivos,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1119171158,2024-05-20 09:54:54,nan,nan,nan,nan
Aceite Girasol Natura Spray  120gr,https://www.mercadolibre.com.ar/aceite-girasol-natura-spray-120gr/p/MLA24559457?pdp_filters=category:MLA114008#searchVariation=MLA24559457&position=21&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,3.900,JUMBALAY,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1531019626,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Legítimo X 1.5 Lt,https://www.mercadolibre.com.ar/aceite-de-girasol-legitimo-x-15-lt/p/MLA23790432?pdp_filters=category:MLA114008#searchVariation=MLA23790432&position=12&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,3.770,BELGROUP,Nuevo  |  +10mil vendidos,(+5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1424091783,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://articulo.mercadolibre.com.ar/MLA-928089589-aceite-lira-oliva-y-girasol-15-lt-_JM#position=39&search_layout=stack&type=item&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,6.232,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#928089589,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Naruta 1,5 Lts X 12 Unidades",https://www.mercadolibre.com.ar/aceite-naruta-15-lts-x-12-unidades/p/MLA23633480?pdp_filters=category:MLA114008#searchVariation=MLA23633480&position=24&search_layout=stack&type=product&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,37.026,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1372200189,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Campo Claro Organico Certificado 500ml - Dw,https://articulo.mercadolibre.com.ar/MLA-870828178-aceite-girasol-campo-claro-organico-certificado-500ml-dw-_JM#position=40&search_layout=stack&type=item&tracking_id=7c795b01-6e0a-4432-bea1-182756e1bf23,6.470,FITWAYS,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#870828178,2024-05-20 09:54:54,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
