Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
"Agua Villavicencio Con Gas X 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-con-gas-x-15-litros/p/MLA19748281?pdp_filters=category:MLA413907#searchVariation=MLA19748281&position=22&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.749,TAP GROCERY,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1228321921,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón 1,75 Litros X6",https://articulo.mercadolibre.com.ar/MLA-1533912096-soda-sierra-de-los-padres-sifon-175-litros-x6-_JM#position=38&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,5.591,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1533912096,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Eco De Los Andes Sin Gas 500ml Pack X12 - Perez Tienda ,https://articulo.mercadolibre.com.ar/MLA-932197162-agua-eco-de-los-andes-sin-gas-500ml-pack-x12-perez-tienda-_JM#position=39&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,7.536,PEREZ TIENDA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#932197162,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=23&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,6.548,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=24&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,5.625,FULL 7X24,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1368027825,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Glaciar 1,5l X6 Unidades - Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1120207733-agua-mineral-glaciar-15l-x6-unidades-zetta-bebidas-_JM#position=40&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,5.364,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1120207733,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://articulo.mercadolibre.com.ar/MLA-1494921946-agua-mineral-villavicencio-500ml-con-gas-la-barra-pack-x12-_JM#position=41&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,12.909,LA BARRA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 2 L Sin Gas Pack X6 La Barra ,https://articulo.mercadolibre.com.ar/MLA-1742326134-agua-mineral-villavicencio-2-l-sin-gas-pack-x6-la-barra-_JM#position=42&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,5.098,LA BARRA,Nuevo  |  +5 vendidos,(+20 disponibles),Nuevo  |  +5 vendidos,No disponible,#1742326134,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Natural Sierra De Los Padres Pack 6,5 Lt X 2 Un",https://www.mercadolibre.com.ar/agua-mineral-natural-sierra-de-los-padres-pack-65-lt-x-2-un/p/MLA19754709?pdp_filters=category:MLA413907#searchVariation=MLA19754709&position=25&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,6.493,QUIRINO BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1750234418,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón X  1,75 Litros",https://www.mercadolibre.com.ar/soda-sierra-de-los-padres-sifon-x-175-litros/p/MLA19737990?pdp_filters=category:MLA413907#searchVariation=MLA19737990&position=26&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.731,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397225087,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
