Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Agua Smart Water Sin Gas Pack X24 U 591ml Zetta Bebidas ,https://articulo.mercadolibre.com.ar/MLA-1363190682-agua-smart-water-sin-gas-pack-x24-u-591ml-zetta-bebidas-_JM#position=37&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,21.000,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1363190682,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Con Gas Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1182269646-agua-con-gas-cellier-2lt-_JM#position=38&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.162,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1182269646,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Con Gas
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=16&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.129,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223027468,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Eco De Los Andes Con Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1400209827-agua-mineral-eco-de-los-andes-con-gas-pack-12-x-500-ml-_JM#position=39&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,9.163,No disponible,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#1400209827,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=17&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.535,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Glaciar  sin gas   botella  2 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-2-l/p/MLA16168863?pdp_filters=category:MLA413907#searchVariation=MLA16168863&position=18&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,2.765,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1430691953,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Mineral Glaciar 1,5l X6 Unidades - Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1120207733-agua-mineral-glaciar-15l-x6-unidades-zetta-bebidas-_JM#position=40&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,5.482,No disponible,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1120207733,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=21&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,12.825,No disponible,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1303638135,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Nestlé Pureza Vital  sin gas   botella  2.25 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-225-l/p/MLA16247025?pdp_filters=category:MLA413907#searchVariation=MLA16247025&position=22&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.069,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1668577428,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Kit Tornillos / Clips Protector  Guardaplast Gol Trend,https://articulo.mercadolibre.com.ar/MLA-1411736299-kit-tornillos-clips-protector-guardaplast-gol-trend-_JM#position=41&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,9.235,No disponible,Nuevo  |  4 vendidos,No disponible,Nuevo  |  4 vendidos,No disponible,#1411736299,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral sin gas Acqua Panna Toscana botella de 250 ml,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-acqua-panna-toscana-botella-de-250-ml/p/MLA17371690?pdp_filters=category:MLA413907#searchVariation=MLA17371690&position=23&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.864,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428323875,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Sierra De Los Padres Pack X24  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428018160-agua-sierra-de-los-padres-pack-x24-600-cc-zetta-bebidas-_JM#position=42&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,6.301,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428018160,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Saborizada Sierra de los Padres
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=24&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,5.354,No disponible,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1426585667,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=25&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.535,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1219480018,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Ko Sin Gas Premium 500ml Reciclable Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1371784969-agua-mineral-ko-sin-gas-premium-500ml-reciclable-sin-tacc-_JM#position=43&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,985,No disponible,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1371784969,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua mineral Glaciar  con gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-con-gas-botella-15-l/p/MLA16168876?pdp_filters=category:MLA413907#searchVariation=MLA16168876&position=26&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.247,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1414368557,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=27&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.067,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1720394768,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Tapón Cebador Stanley 1 L, 1,4 L, Flying Eagle Con Pico",https://articulo.mercadolibre.com.ar/MLA-902896924-tapon-cebador-stanley-1-l-14-l-flying-eagle-con-pico-_JM#position=44&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.549,No disponible,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#902896924,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
