Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
"Cafetera Atma Semi Automática De Filtro Ca2180n 0,6 Lts Color Blanco",https://www.mercadolibre.com.ar/cafetera-atma-semi-automatica-de-filtro-ca2180n-06-lts-color-blanco/p/MLA16119959#searchVariation=MLA16119959&position=18&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,27.299,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#885606918,2024-06-04 17:08:19,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
Cafe Molido 250g Combo Brasil Colombia Moka Select Italiano,https://www.mercadolibre.com.ar/cafe-molido-250g-combo-brasil-colombia-moka-select-italiano/p/MLA26539673#searchVariation=MLA26539673&position=19&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,54.823,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1482882680,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Hudson Moka 6 Pocillos Expresso,https://www.mercadolibre.com.ar/hudson-moka-6-pocillos-expresso/p/MLA24434698#searchVariation=MLA24434698&position=5&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,35.686,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1463450648,2024-06-04 17:08:19,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan,nan
Pack De Café 4 Variedades X 250gr- Brasil - Colombia Xrl,https://articulo.mercadolibre.com.ar/MLA-1550312474-pack-de-cafe-4-variedades-x-250gr-brasil-colombia-xrl-_JM#position=47&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,39.700,No disponible,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1550312474,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe 5 Hispanos
Cafe Cabrales Tostado En Grano Espresso X 500g Premium ,https://www.mercadolibre.com.ar/cafe-cabrales-tostado-en-grano-espresso-x-500g-premium/p/MLA19979577#searchVariation=MLA19979577&position=13&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,16.031,No disponible,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1290977325,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Capsulas Recargables Caffettino x 4Uni Compatibles Nespresso,https://www.mercadolibre.com.ar/capsulas-recargables-caffettino-x-4uni-compatibles-nespresso/p/MLA23532308#searchVariation=MLA23532308&position=11&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,12.300,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1372409771,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
Cafe Cabrales 500gr Super Molido Tostado Oferta,https://articulo.mercadolibre.com.ar/MLA-1711363774-cafe-cabrales-500gr-super-molido-tostado-oferta-_JM#position=48&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,10.899,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1711363774,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe Cabrales
Nescafé Tradición Instantaneo Clasico 100% Puro Doypack 150g,https://www.mercadolibre.com.ar/nescafe-tradicion-instantaneo-clasico-100-puro-doypack-150g/p/MLA19783086#searchVariation=MLA19783086&position=14&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,5.858,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1383451655,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Molido Lavazza Qualita Oro Italia 250 Gr.,https://www.mercadolibre.com.ar/cafe-molido-lavazza-qualita-oro-italia-250-gr/p/MLA20026349#searchVariation=MLA20026349&position=8&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,17.307,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1781320482,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Pantalla Filtro De Cafe Acero Inoxidable Puck Screen Express,https://articulo.mercadolibre.com.ar/MLA-1394206965-pantalla-filtro-de-cafe-acero-inoxidable-puck-screen-express-_JM#position=49&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,18.500,No disponible,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394206965,2024-06-04 17:08:19,...,Pequeños Electrodomésticos,Para Cocina,Repuestos y Accesorios,Para Cafeteras,Filtros
La Virginia Cafe En Granos Tostado Puro Aroma 500 G,https://www.mercadolibre.com.ar/la-virginia-cafe-en-granos-tostado-puro-aroma-500-g/p/MLA19979567#searchVariation=MLA19979567&position=37&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,8.787,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1742912690,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Oferta Café Franja Blanca  X 1kg - Bonafide Oficial,https://articulo.mercadolibre.com.ar/MLA-790955570-oferta-cafe-franja-blanca-x-1kg-bonafide-oficial-_JM#position=50&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,27.997,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#790955570,2024-06-04 17:08:19,...,...,Infusiones,Café,Café en Granos y Molido,Cafe Bonafide Franja Blanca
Equipo Matero Sumate Termo Mate Bombilla Yerbera Azucarera,https://articulo.mercadolibre.com.ar/MLA-926923099-equipo-matero-sumate-termo-mate-bombilla-yerbera-azucarera-_JM#position=51&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,33.599,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#926923099,2024-06-04 17:08:19,...,Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Juegos de Mate,Equipo Matero
Cafe Bonafide Sensaciones Torrado Intenso 250 Gr,https://www.mercadolibre.com.ar/cafe-bonafide-sensaciones-torrado-intenso-250-gr/p/MLA19958431#searchVariation=MLA19958431&position=27&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,3.355,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1367476612,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe En Saquitos La Virginia X 20 Saquitos,https://www.mercadolibre.com.ar/cafe-en-saquitos-la-virginia-x-20-saquitos/p/MLA20018568#searchVariation=MLA20018568&position=34&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,3.057,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1763273104,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Combo Cafe Molido Italiano Y Brasil 500g S/azucar Agregada,https://www.mercadolibre.com.ar/combo-cafe-molido-italiano-y-brasil-500g-sazucar-agregada/p/MLA27998803#searchVariation=MLA27998803&position=21&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,35.507,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1394850335,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe En Capsulas La Virginia Espresso Sutil N5 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-sutil-n5-10-capsulas/p/MLA16167697#searchVariation=MLA16167697&position=24&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,4.591,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1130132430,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
Café molido tostado intenso 1933 Cafe Martinez con azúcar torrado 260g,https://www.mercadolibre.com.ar/cafe-molido-tostado-intenso-1933-cafe-martinez-con-azucar-torrado-260g/p/MLA22022621#searchVariation=MLA22022621&position=22&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,7.426,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1382867810,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Filtro Cafe Papel Doble #4 X40u Papel Filtrado Rapido,https://www.mercadolibre.com.ar/filtro-cafe-papel-doble-4-x40u-papel-filtrado-rapido/p/MLA29463465#searchVariation=MLA29463465&position=23&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,4.550,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1619324688,2024-06-04 17:08:19,...,Pequeños Electrodomésticos,Para Cocina,Repuestos y Accesorios,Para Cafeteras,Filtros
Cafe En Grano Tostado Bonafide Blanco  Expresso 1 Kg ,https://www.mercadolibre.com.ar/cafe-en-grano-tostado-bonafide-blanco-expresso-1-kg/p/MLA19979586#searchVariation=MLA19979586&position=20&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,30.000,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1552166068,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Molinillo De Café Manual Acero Inoxidable Linea Hudson,https://www.mercadolibre.com.ar/molinillo-de-cafe-manual-acero-inoxidable-linea-hudson/p/MLA36016279#searchVariation=MLA36016279&position=29&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,13.553,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1429496905,2024-06-04 17:08:19,"Hogar, Muebles y Jardín",Bazar y Cocina,Utensilios de Preparación,Máquinas Manuales,Molinillos de Granos Manuales,nan
Café Grano Tostado  Super Cabrales Espresso 1kg ,https://www.mercadolibre.com.ar/cafe-grano-tostado-super-cabrales-espresso-1kg/p/MLA19996869#searchVariation=MLA19996869&position=31&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,39.660,No disponible,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1656313420,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664#searchVariation=MLA20718664&position=35&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,29.499,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1688454620,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Cabrales Prestige Tostado Molido 250gr,https://www.mercadolibre.com.ar/cafe-cabrales-prestige-tostado-molido-250gr/p/MLA26699467#searchVariation=MLA26699467&position=38&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,7.950,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1686045326,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Capsulas Dolce Gusto Americano X 16 Cafe Largo Nescafe,https://www.mercadolibre.com.ar/capsulas-dolce-gusto-americano-x-16-cafe-largo-nescafe/p/MLA22788797#searchVariation=MLA22788797&position=40&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,12.999,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1436048648,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
Montibello moka en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-moka-en-grano-tostado-1kg/p/MLA28257259#searchVariation=MLA28257259&position=26&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,38.269,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1577030580,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafe Instantaneo La Virginia Clasico Espuma Sin Tacc X 100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-clasico-espuma-sin-tacc-x-100gr/p/MLA19738168#searchVariation=MLA19738168&position=32&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,3.720,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1216625414,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Molido Tostado Super Cabrales 250g ,https://www.mercadolibre.com.ar/cafe-molido-tostado-super-cabrales-250g/p/MLA23073681#searchVariation=MLA23073681&position=28&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,6.290,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411618091,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Molinillo De Cafe Y Semillas Peabody Pe-mc9100 Inox 220w P1 Color Gris,https://www.mercadolibre.com.ar/molinillo-de-cafe-y-semillas-peabody-pe-mc9100-inox-220w-p1-color-gris/p/MLA20008375#searchVariation=MLA20008375&position=33&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,47.999,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376838883,2024-06-04 17:08:19,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
Cafe Bonafide Tostado Pack 3 Kilos,https://articulo.mercadolibre.com.ar/MLA-1100935922-cafe-bonafide-tostado-pack-3-kilos-_JM#position=52&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,80.000,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe Bonafide
Equipo Matero Termo Mate Uruguayo Bombilla Latas Y Canasta,https://articulo.mercadolibre.com.ar/MLA-1256831983-equipo-matero-termo-mate-uruguayo-bombilla-latas-y-canasta-_JM#position=53&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,43.574,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1256831983,2024-06-04 17:08:19,...,Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Juegos de Mate,Equipo Matero
! Cafe Bonini Molido Gran Crema - Tostado Natural 250g,https://www.mercadolibre.com.ar/-cafe-bonini-molido-gran-crema-tostado-natural-250g/p/MLA28808312#searchVariation=MLA28808312&position=30&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,7.499,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1698218356,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Café Espresso Molido Volcán Juan Valdez Premium 250gr,https://www.mercadolibre.com.ar/cafe-espresso-molido-volcan-juan-valdez-premium-250gr/p/MLA19937586#searchVariation=MLA19937586&position=36&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,22.679,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1345892302,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cápsulas De Café Compatibles C/ Máquinas Nespresso X100 Unid,https://articulo.mercadolibre.com.ar/MLA-783944074-capsulas-de-cafe-compatibles-c-maquinas-nespresso-x100-unid-_JM#position=54&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,39.000,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#783944074,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,Capsulas Cafe,nan
Cafe Molido Peru Cabrales 250g,https://www.mercadolibre.com.ar/cafe-molido-peru-cabrales-250g/p/MLA20026311#searchVariation=MLA20026311&position=44&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,8.190,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1689267058,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Arlistán Suave - Frasco - Unidad - 1 - 50 g,https://www.mercadolibre.com.ar/arlistan-suave-frasco-unidad-1-50-g/p/MLA16112991#searchVariation=MLA16112991&position=43&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,1.502,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1143394075,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Combo Cafe Molido Tipo Italiano 500g Sin Azúcar Agregada X2,https://www.mercadolibre.com.ar/combo-cafe-molido-tipo-italiano-500g-sin-azucar-agregada-x2/p/MLA28640401#searchVariation=MLA28640401&position=42&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,36.642,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1591968410,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Café Tostado En Granos Gimoka Italia Armonioso 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-granos-gimoka-italia-armonioso-1-kg/p/MLA23612914#searchVariation=MLA23612914&position=39&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,39.300,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1387626221,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
 Oster BVSTEM5501B  Negro Espresso,https://www.mercadolibre.com.ar/oster-bvstem5501b-negro-espresso/p/MLA23909880#searchVariation=MLA23909880&position=41&search_layout=stack&type=product&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,249.749,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1618140144,2024-06-04 17:08:19,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
Cafe En Grano Tostado Sin Azucar Fundador 1kg,https://articulo.mercadolibre.com.ar/MLA-1149022869-cafe-en-grano-tostado-sin-azucar-fundador-1kg-_JM#position=55&search_layout=stack&type=item&tracking_id=b343f9cf-0398-4e03-82da-ef46942d805c,22.999,No disponible,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1149022869,2024-06-04 17:08:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe en Grano
