Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232#searchVariation=MLA22834232&position=26&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,32.500,No disponible,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1795184138,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=30&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,16.632,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1308505910,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Nescafé Gold Tostado Molido Equilibrado 250gr,https://www.mercadolibre.com.ar/nescafe-gold-tostado-molido-equilibrado-250gr/p/MLA20026486#searchVariation=MLA20026486&position=23&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,12.731,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581846370,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Daihatsu  cafe expresso  CM5403DE  Negro  220V  Expreso con Capsula Nespresso,https://www.mercadolibre.com.ar/daihatsu-cafe-expresso-cm5403de-negro-220v-expreso-con-capsula-nespresso/p/MLA28533636#searchVariation=MLA28533636&position=24&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,169.990,No disponible,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1775615652,2024-06-04 17:07:30,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019#searchVariation=MLA20026019&position=28&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,18.321,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Mochila Matera Austral Bolso Porta Termo Hasta 1.9lts Madu Color Negro,https://www.mercadolibre.com.ar/mochila-matera-austral-bolso-porta-termo-hasta-19lts-madu-color-negro/p/MLA29472219#searchVariation=MLA29472219&position=32&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,19.278,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1620307424,2024-06-04 17:07:30,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,nan
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887#searchVariation=MLA20025887&position=15&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,7.499,No disponible,Nuevo  |  +10mil vendidos,(3 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1565585372,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
! Cafe Instantaneo Segafredo Preferito 100g Sin Azucar,https://www.mercadolibre.com.ar/-cafe-instantaneo-segafredo-preferito-100g-sin-azucar/p/MLA20713491#searchVariation=MLA20713491&position=25&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,9.940,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1365581849,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728#searchVariation=MLA21766728&position=29&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,9.207,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Capsulas Dolce Gusto Recargables Ecologicas X4 Caffettino,https://www.mercadolibre.com.ar/capsulas-dolce-gusto-recargables-ecologicas-x4-caffettino/p/MLA22226652#searchVariation=MLA22226652&position=33&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,10.925,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1363919577,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,nan
