Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=11&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,2.650,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Pastas,nan
Provoleta Santa Rosa En Horma Entera Envasada Al Vacío,https://articulo.mercadolibre.com.ar/MLA-1114487431-provoleta-santa-rosa-en-horma-entera-envasada-al-vacio-_JM#position=37&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,66.850,FRANCESCODISTRIBUIDORA,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1114487431,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Queso Sin Tacc Danbo Barra Cotahua Raggio Di Sole 3 Kg Aprox,https://articulo.mercadolibre.com.ar/MLA-1500682386-queso-sin-tacc-danbo-barra-cotahua-raggio-di-sole-3-kg-aprox-_JM#position=38&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,26.800,LATIENDA RAMOSGENERALES,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1500682386,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Vino Tinto Malbec Bodega La Azul 750ml - Caja X 6,https://www.mercadolibre.com.ar/vino-tinto-malbec-bodega-la-azul-750ml-caja-x-6/p/MLA22128338?pdp_filters=category:MLA1403#searchVariation=MLA22128338&position=18&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,32.979,JOHNNY CLUB,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1373568121,2024-04-08 15:12:05,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos
Queso Azul Toro Azul X 1kg,https://articulo.mercadolibre.com.ar/MLA-1379329621-queso-azul-toro-azul-x-1kg-_JM#position=39&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,18.100,ENPICADA.,Nuevo  |  +5 vendidos,(2 disponibles),Nuevo  |  +5 vendidos,No disponible,#1379329621,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Galletitas Kesitas Queso Caja 125g Bagley,https://www.mercadolibre.com.ar/galletitas-kesitas-queso-caja-125g-bagley/p/MLA19531318?pdp_filters=category:MLA1403#searchVariation=MLA19531318&position=23&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,1.499,CAPSULANDIA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1158290216,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,Galletitas,nan
Queso Blanco S/sal Blister X120uni. Abedul,https://articulo.mercadolibre.com.ar/MLA-1111316917-queso-blanco-ssal-blister-x120uni-abedul-_JM#position=40&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,26.000,LENTEI,Nuevo  |  +50 vendidos,(5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1111316917,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
Saint Felicien vino Malbec de Catena Zapata 750ml,https://www.mercadolibre.com.ar/saint-felicien-vino-malbec-de-catena-zapata-750ml/p/MLA21708843?pdp_filters=category:MLA1403#searchVariation=MLA21708843&position=12&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,6.399,FACILITAR SHOP,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1400679533,2024-04-08 15:12:05,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos
Vino Nicasia Red Blend Malbec 750ml,https://www.mercadolibre.com.ar/vino-nicasia-red-blend-malbec-750ml/p/MLA21837284?pdp_filters=category:MLA1403#searchVariation=MLA21837284&position=24&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,5.300,CERODOSONCE,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1414707181,2024-04-08 15:12:05,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos
Queso Rawmesan Crudencio,https://www.mercadolibre.com.ar/queso-rawmesan-crudencio/p/MLA19939851?pdp_filters=category:MLA1403#searchVariation=MLA19939851&position=16&search_layout=stack&type=product&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,2.509,VÍVET MARKET,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1288628237,2024-04-08 15:12:05,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Semillas
"Queso Artesanal Reggianito Horma Completa 2,5 Kg Aprox",https://articulo.mercadolibre.com.ar/MLA-1393603347-queso-artesanal-reggianito-horma-completa-25-kg-aprox-_JM#position=41&search_layout=stack&type=item&tracking_id=c770fe72-78c7-4511-bfdf-4a66647f1529,40.500,MAYORISTA MISIÓN,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1393603347,2024-04-08 15:12:05,Alimentos y Bebidas,Frescos,Lácteos,Quesos
