Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-15-l/p/MLA16247029?pdp_filters=category:MLA413907#searchVariation=MLA16247029&position=17&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,742,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1668422918,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=18&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,2.159,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1223027468,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Pintura Aerosol Retoque Automotriz Color + Laca + Primer Kit,https://articulo.mercadolibre.com.ar/MLA-1347395906-pintura-aerosol-retoque-automotriz-color-laca-primer-kit-_JM#position=37&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,35.100,MENDELLASANMIGUEL,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1347395906,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1611400900-agua-mineral-eco-de-los-andes-sin-gas-pack-12-x-500-ml-_JM#position=38&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,8.611,Cervecería y Maltería Quilmes,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1611400900,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=21&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,20.868,DISTRIBUIDORA BARI,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Sin Gas La Barra Pack X12,https://articulo.mercadolibre.com.ar/MLA-1386397529-agua-mineral-villavicencio-500ml-sin-gas-la-barra-pack-x12-_JM#position=39&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,6.454,LA BARRA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386397529,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón 1,75 Litros X6",https://articulo.mercadolibre.com.ar/MLA-1533912096-soda-sierra-de-los-padres-sifon-175-litros-x6-_JM#position=40&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,6.676,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1533912096,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Con Gas X 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-con-gas-x-15-litros/p/MLA19748281?pdp_filters=category:MLA413907#searchVariation=MLA19748281&position=22&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.749,TAP GROCERY,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1228321921,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Glaciar 1,5l X6 Unidades - Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-1120207733-agua-mineral-glaciar-15l-x6-unidades-zetta-bebidas-_JM#position=41&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,5.364,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1120207733,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Eco De Los Andes Sin Gas 500ml Pack X12 - Perez Tienda ,https://articulo.mercadolibre.com.ar/MLA-932197162-agua-eco-de-los-andes-sin-gas-500ml-pack-x12-perez-tienda-_JM#position=42&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,7.536,PEREZ TIENDA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#932197162,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
