Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Almohaditas Rellenas Avellana Snuks Sin Tacc 240 Gr ,https://articulo.mercadolibre.com.ar/MLA-1268638737-almohaditas-rellenas-avellana-snuks-sin-tacc-240-gr-_JM#position=46&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,3.207,BLIP,Nuevo  |  +500 vendidos,(76 disponibles),Nuevo  |  +500 vendidos,No disponible,#1268638737,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Semillas Y Chocolate 27gr C/u Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-semillas-y-chocolate-27gr-cu-dw/p/MLA20731298?pdp_filters=category:MLA1423#searchVariation=MLA20731298&position=30&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,7.472,PUNTONUEZ,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1337707880,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=28&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(26 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barritas Veganas Coco & Choco S/tacc S/azucar Laddubar Dw,https://www.mercadolibre.com.ar/12-barritas-veganas-coco-choco-stacc-sazucar-laddubar-dw/p/MLA20027444?pdp_filters=category:MLA1423#searchVariation=MLA20027444&position=23&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,5.128,DIETETICANUEVAVIDA,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1284717250,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos Naturales Sin Tacc-sin Azucar / Copos De Maiz X 2.5kg ,https://articulo.mercadolibre.com.ar/MLA-1268086824-copos-naturales-sin-tacc-sin-azucar-copos-de-maiz-x-25kg-_JM#position=47&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.616,IMPORTADORANACCATO,Nuevo  |  +100 vendidos,(35 disponibles),Nuevo  |  +100 vendidos,No disponible,#1268086824,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Pack X 14 Barras Proteicas Post Workout Bigual - A Elección,https://articulo.mercadolibre.com.ar/MLA-1412833102-pack-x-14-barras-proteicas-post-workout-bigual-a-eleccion-_JM#position=48&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,17.058,SOMOS BUHA,Nuevo  |  +100 vendidos,(94 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412833102,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Aritos Con Miel Granix Bajo En Sodio Y En Grasas,https://www.mercadolibre.com.ar/cereal-aritos-con-miel-granix-bajo-en-sodio-y-en-grasas/p/MLA20959200?pdp_filters=category:MLA1423#searchVariation=MLA20959200&position=33&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.891,01MERCADO,Nuevo  |  +500 vendidos,(34 disponibles),Nuevo  |  +500 vendidos,No disponible,#1300059047,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barras de cereal light Georgalos Flow Cereal sabor manzana en caja de 20 unidades 21gr,https://www.mercadolibre.com.ar/barras-de-cereal-light-georgalos-flow-cereal-sabor-manzana-en-caja-de-20-unidades-21gr/p/MLA19939775?pdp_filters=category:MLA1423#searchVariation=MLA19939775&position=32&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.400,OPEN25HS!,Nuevo  |  +100 vendidos,(38 disponibles),Nuevo  |  +100 vendidos,No disponible,#1373700733,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Mousse De Limón Lasfor 200 Gr ,https://articulo.mercadolibre.com.ar/MLA-1268101245-almohaditas-rellenas-de-mousse-de-limon-lasfor-200-gr-_JM#position=49&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.999,BLIP,Nuevo  |  +100 vendidos,(18 disponibles),Nuevo  |  +100 vendidos,No disponible,#1268101245,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Flow Almendras Enteras Caja X 20un,https://www.mercadolibre.com.ar/barra-cereal-flow-almendras-enteras-caja-x-20un/p/MLA29423266?pdp_filters=category:MLA1423#searchVariation=MLA29423266&position=20&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,11.043,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(78 disponibles),Nuevo  |  +500 vendidos,No disponible,#1618200680,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bastoncitos De Salvado Y Fibra - 1 Kg,https://articulo.mercadolibre.com.ar/MLA-789906815-bastoncitos-de-salvado-y-fibra-1-kg-_JM#position=50&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,4.622,DIETETICA CALLLAO,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#789906815,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Pasas De Uva Y Almendras,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-pasas-de-uva-y-almendras/p/MLA21266471?pdp_filters=category:MLA1423#searchVariation=MLA21266471&position=24&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,9.200,TÍAS MÍAS,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1319751971,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas De Avena Y Trigo X 2 Kgs.,https://www.mercadolibre.com.ar/almohaditas-de-avena-y-trigo-x-2-kgs/p/MLA21857126?pdp_filters=category:MLA1423#searchVariation=MLA21857126&position=27&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,10.182,NEWGARDEN,Nuevo  |  +100 vendidos,(9 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381650700,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
cereales Copos De Maíz Azucarados 3 Arroyos X 4 Kg,https://www.mercadolibre.com.ar/cereales-copos-de-maiz-azucarados-3-arroyos-x-4-kg/p/MLA28863363?pdp_filters=category:MLA1423#searchVariation=MLA28863363&position=29&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,11.957,ALIMENTOS FUENTES,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1602851766,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Frutosrojos De Dátiles Arándanos Cacao Laddubar 30g12u,https://articulo.mercadolibre.com.ar/MLA-1187433797-barra-frutosrojos-de-datiles-arandanos-cacao-laddubar-30g12u-_JM#position=51&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,8.735,GREENANDML,Nuevo  |  +500 vendidos,(22 disponibles),Nuevo  |  +500 vendidos,No disponible,#1187433797,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
"Almohaditas Rellenas De Mani X 2,5kg - Marca Lasfor",https://articulo.mercadolibre.com.ar/MLA-1169054697-almohaditas-rellenas-de-mani-x-25kg-marca-lasfor-_JM#position=52&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,16.159,POSITIVA,Nuevo  |  1 vendido,(2 disponibles),Nuevo  |  1 vendido,No disponible,#1169054697,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas Redondas C/sal De Arroz Integral Sin Tacc X1u 100g,https://www.mercadolibre.com.ar/galletas-redondas-csal-de-arroz-integral-sin-tacc-x1u-100g/p/MLA28863428?pdp_filters=category:MLA1423#searchVariation=MLA28863428&position=34&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,935,PURAVIDA STORE,Nuevo  |  +1000 vendidos,(300 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1600427732,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Galletitas,nan
Bolitas Nutri Chok Fortificados Nutri Foods - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1394384877-bolitas-nutri-chok-fortificados-nutri-foods-mejor-precio-_JM#position=53&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.666,MEJORPRECIO.COM.AR,Nuevo  |  +25 vendidos,(7 disponibles),Nuevo  |  +25 vendidos,No disponible,#1394384877,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Arrocitas Con Sal Sesamo Lino 101g S/ Tacc Kosher,https://www.mercadolibre.com.ar/galletitas-arrocitas-con-sal-sesamo-lino-101g-s-tacc-kosher/p/MLA19849730?pdp_filters=category:MLA1423#searchVariation=MLA19849730&position=22&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(196 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1261564752,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Galletitas,nan
Trigo Pelado Candeal X 1kg,https://articulo.mercadolibre.com.ar/MLA-900543124-trigo-pelado-candeal-x-1kg-_JM#position=54&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,3.650,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#900543124,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Cereal Integra Base Chocolate Y Arándanos Por 10 U.,https://www.mercadolibre.com.ar/barra-de-cereal-integra-base-chocolate-y-arandanos-por-10-u/p/MLA22128280?pdp_filters=category:MLA1423#searchVariation=MLA22128280&position=25&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,9.399,PUNTONUEZ,Nuevo  |  +1000 vendidos,(10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1373076072,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Avena Arrollada Instan X 1 Kg,https://articulo.mercadolibre.com.ar/MLA-873084084-avena-arrollada-instan-x-1-kg-_JM#position=55&search_layout=stack&type=item&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,2.859,BELVEDERETIENDA,Nuevo  |  +500 vendidos,(42 disponibles),Nuevo  |  +500 vendidos,No disponible,#873084084,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Salvado De Trigo X 1kg,https://www.mercadolibre.com.ar/salvado-de-trigo-x-1kg/p/MLA24731934?pdp_filters=category:MLA1423#searchVariation=MLA24731934&position=31&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.420,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(1758 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381141175,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Harina,nan
Bocaditos Cereal Granix Avena Y Trigo Relleno Crema Avellana,https://www.mercadolibre.com.ar/bocaditos-cereal-granix-avena-y-trigo-relleno-crema-avellana/p/MLA19977257?pdp_filters=category:MLA1423#searchVariation=MLA19977257&position=26&search_layout=stack&type=product&tracking_id=2f7d0ae9-3f67-43c3-ac8a-f7fb3a454c34,1.899,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280111027,2024-03-04 11:05:35,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
