Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Azúcar En Terrones Ideal Cocteleria Mendez,https://www.mercadolibre.com.ar/azucar-en-terrones-ideal-cocteleria-mendez/p/MLA20011126?pdp_filters=category:MLA1423#searchVariation=MLA20011126&position=22&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,4.300,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1284798614,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar Individual Chango De 1000 Sobres,https://www.mercadolibre.com.ar/azucar-individual-chango-de-1000-sobres/p/MLA21049595?pdp_filters=category:MLA1423#searchVariation=MLA21049595&position=23&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,17.575,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1306027200,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azúcar Ledesma Light 50% Menos Calorias  Paquete 500 Gr,https://www.mercadolibre.com.ar/azucar-ledesma-light-50-menos-calorias-paquete-500-gr/p/MLA19957257?pdp_filters=category:MLA1423#searchVariation=MLA19957257&position=33&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.602,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1281951006,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Harina de fuerza especial para masa madre Chacabuco 1kg,https://www.mercadolibre.com.ar/harina-de-fuerza-especial-para-masa-madre-chacabuco-1kg/p/MLA20724129?pdp_filters=category:MLA1423#searchVariation=MLA20724129&position=28&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.603,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,OFERTA DEL DÍA,#1385978703,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Harina,nan,nan,nan
"Azucar En Sobrecitos , 800 Sobres Aprox.  De 6,25 Grs",https://articulo.mercadolibre.com.ar/MLA-1586297870-azucar-en-sobrecitos-800-sobres-aprox-de-625-grs-_JM#position=47&search_layout=stack&type=item&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,13.250,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1586297870,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar Impalpable Keuken Lodiser X 5 Kg s Todo El País,https://www.mercadolibre.com.ar/azucar-impalpable-keuken-lodiser-x-5-kg-s-todo-el-pais/p/MLA29561657?pdp_filters=category:MLA1423#searchVariation=MLA29561657&position=18&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,7.407,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1411436319,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Nuevo! Azucar Rubio Mascabo Ledesma 800g S/ Tacc No Refinado,https://articulo.mercadolibre.com.ar/MLA-1383701087-nuevo-azucar-rubio-mascabo-ledesma-800g-s-tacc-no-refinado-_JM#position=48&search_layout=stack&type=item&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.799,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1383701087,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,Azucar Ledezma X 800 Comestibles,nan
Montibello brasil expresso café en grano tostado 1kg,https://www.mercadolibre.com.ar/montibello-brasil-expresso-cafe-en-grano-tostado-1kg/p/MLA24443061?pdp_filters=category:MLA1423#searchVariation=MLA24443061&position=21&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,35.096,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1760030290,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Azucar Ledesma Clásica Bulto 10 Unidades X 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-bulto-10-unidades-x-1-kilo/p/MLA21641667?pdp_filters=category:MLA1423#searchVariation=MLA21641667&position=26&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,12.159,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1429752889,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar Ledesma 1000u X 5g - Mataderos -,https://articulo.mercadolibre.com.ar/MLA-1367308461-azucar-ledesma-1000u-x-5g-mataderos--_JM#position=49&search_layout=stack&type=item&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,16.995,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1367308461,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,Azucar Ledesma,nan
