Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571?pdp_filters=category:MLA1423#searchVariation=MLA19979571&position=12&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks Blonde Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-blonde-oficial-by-nespresso-10-unidades/p/MLA19625029?pdp_filters=category:MLA1423#searchVariation=MLA19625029&position=27&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,8.784,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1397382595,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587?pdp_filters=category:MLA1423#searchVariation=MLA19937587&position=30&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,10.778,DEVOTOFERTAS,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1323493674,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Latte Macchiato,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-latte-macchiato/p/MLA16167792?pdp_filters=category:MLA1423#searchVariation=MLA16167792&position=24&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,11.999,CAPSULANDIA,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1110402568,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA1423#searchVariation=MLA20721602&position=25&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,16.800,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-170-gr/p/MLA25685697?pdp_filters=category:MLA1423#searchVariation=MLA25685697&position=18&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,7.237,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1415400439,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208?pdp_filters=category:MLA1423#searchVariation=MLA22609208&position=22&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,37.890,BARINSU,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks House Blend Lungo Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-house-blend-lungo-oficial-by-nespresso-10-unidades/p/MLA19731860?pdp_filters=category:MLA1423#searchVariation=MLA19731860&position=29&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,8.285,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581922792,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505?pdp_filters=category:MLA1423#searchVariation=MLA19944505&position=23&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,11.249,OUTLETONLINECABA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1712640256,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907?pdp_filters=category:MLA1423#searchVariation=MLA20025907&position=32&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581922774,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
