Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Fideos Spaghetti Dr. Schar 250gr. Sin Tacc,https://www.mercadolibre.com.ar/fideos-spaghetti-dr-schar-250gr-sin-tacc/p/MLA19964524?pdp_filters=category:MLA1423#searchVariation=MLA19964524&position=23&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,6.200,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1344504674,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
 Arcor fideos codito 500gr,https://www.mercadolibre.com.ar/arcor-fideos-codito-500gr/p/MLA29607813?pdp_filters=category:MLA1423#searchVariation=MLA29607813&position=26&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.399,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1711535832,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Ramen Coreano Picante 1 Pieza 140g Samyang Importado Corea,https://www.mercadolibre.com.ar/ramen-coreano-picante-1-pieza-140g-samyang-importado-corea/p/MLA19642740?pdp_filters=category:MLA1423#searchVariation=MLA19642740&position=24&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,3.643,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1391452451,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Fideos De Konjac 70 Gr - Origen China,https://www.mercadolibre.com.ar/fideos-de-konjac-70-gr-origen-china/p/MLA21233902?pdp_filters=category:MLA1423#searchVariation=MLA21233902&position=34&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.900,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400267304,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Barilla Spaghettoni Nº 7 500 Gr. ,https://www.mercadolibre.com.ar/fideos-barilla-spaghettoni-n-7-500-gr/p/MLA20719342?pdp_filters=category:MLA1423#searchVariation=MLA20719342&position=35&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,7.390,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1285499762,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Terrabusi Dedalitos X 500 Gr,https://www.mercadolibre.com.ar/fideos-terrabusi-dedalitos-x-500-gr/p/MLA20719343?pdp_filters=category:MLA1423#searchVariation=MLA20719343&position=28&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.097,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386734509,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Penne Rigate De Harina Integral X500 Gr - Apto Vegano,https://www.mercadolibre.com.ar/fideos-penne-rigate-de-harina-integral-x500-gr-apto-vegano/p/MLA21254477?pdp_filters=category:MLA1423#searchVariation=MLA21254477&position=29&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.844,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1377232956,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Fusilli Porotos Negro Makarona X 250 Gr,https://www.mercadolibre.com.ar/fideos-fusilli-porotos-negro-makarona-x-250-gr/p/MLA19964517?pdp_filters=category:MLA1423#searchVariation=MLA19964517&position=30&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.700,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1283946934,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Fusilli Dr. Schar 250gr. Sin Tacc,https://www.mercadolibre.com.ar/fideos-fusilli-dr-schar-250gr-sin-tacc/p/MLA19977143?pdp_filters=category:MLA1423#searchVariation=MLA19977143&position=32&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,5.295,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1344517359,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Nido Fettuccine Matarazzo X 500 Gr,https://www.mercadolibre.com.ar/fideos-nido-fettuccine-matarazzo-x-500-gr/p/MLA19937124?pdp_filters=category:MLA1423#searchVariation=MLA19937124&position=31&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.616,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286562768,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Super Soup Box Coreano - 10 Sopas Ramen + Palillos De Regalo,https://articulo.mercadolibre.com.ar/MLA-1774617872-super-soup-box-coreano-10-sopas-ramen-palillos-de-regalo-_JM#position=53&search_layout=stack&type=item&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,38.999,No disponible,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1774617872,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Fideo Pasta Orgánica Integral Fusilli Grun 500 Gr,https://www.mercadolibre.com.ar/fideo-pasta-organica-integral-fusilli-grun-500-gr/p/MLA35904233?pdp_filters=category:MLA1423#searchVariation=MLA35904233&position=38&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,3.435,No disponible,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1422537879,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Don Vicente Tallarín 500g,https://www.mercadolibre.com.ar/fideos-don-vicente-tallarin-500g/p/MLA28611364?pdp_filters=category:MLA1423#searchVariation=MLA28611364&position=42&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.280,No disponible,Nuevo  |  +500 vendidos,(5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1422532473,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Fusilli Porotos Y Arvejas Makarona X 250 Gr,https://www.mercadolibre.com.ar/fideos-fusilli-porotos-y-arvejas-makarona-x-250-gr/p/MLA19937128?pdp_filters=category:MLA1423#searchVariation=MLA19937128&position=47&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.600,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1272806389,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Terrabusi 3 Vegetales Mostachol Rayado 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-3-vegetales-mostachol-rayado-500g/p/MLA28571832?pdp_filters=category:MLA1423#searchVariation=MLA28571832&position=41&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.310,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1584460006,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Gnocchi Colavita 500 Gr,https://www.mercadolibre.com.ar/fideos-gnocchi-colavita-500-gr/p/MLA24819477?pdp_filters=category:MLA1423#searchVariation=MLA24819477&position=43&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,3.872,No disponible,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1469721984,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos De Arroz Vermicelli Integral Star Lion 200g. Sin Tacc,https://www.mercadolibre.com.ar/fideos-de-arroz-vermicelli-integral-star-lion-200g-sin-tacc/p/MLA21789991?pdp_filters=category:MLA1423#searchVariation=MLA21789991&position=36&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,3.725,No disponible,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1360793893,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Knorr Sopa De Vegetales Con Caracolitos Verde X 80 Gr,https://www.mercadolibre.com.ar/knorr-sopa-de-vegetales-con-caracolitos-verde-x-80-gr/p/MLA20721347?pdp_filters=category:MLA1423#searchVariation=MLA20721347&position=37&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.250,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1394220693,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Sopas y Cremas Instantáneas,nan
Pasta Fusilli Multicereal Con Chia Wakas Fideos Libre Gluten,https://www.mercadolibre.com.ar/pasta-fusilli-multicereal-con-chia-wakas-fideos-libre-gluten/p/MLA19977251?pdp_filters=category:MLA1423#searchVariation=MLA19977251&position=39&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.357,No disponible,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1288680289,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Favorita Mostachol Con Hierro X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-mostachol-con-hierro-x-500-gr/p/MLA19937145?pdp_filters=category:MLA1423#searchVariation=MLA19937145&position=40&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.071,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1419167123,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Codito Matarazzo 0% Colesterol Paquete De 500g,https://www.mercadolibre.com.ar/fideos-codito-matarazzo-0-colesterol-paquete-de-500g/p/MLA21089524?pdp_filters=category:MLA1423#searchVariation=MLA21089524&position=49&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.520,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1310586535,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Ramen Coreano Samyang Sabor Original 140g Sopa Instantánea.,https://www.mercadolibre.com.ar/ramen-coreano-samyang-sabor-original-140g-sopa-instantanea/p/MLA19809915?pdp_filters=category:MLA1423#searchVariation=MLA19809915&position=46&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.982,No disponible,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391353245,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Fideos Lucchetti Ave Maria Paquete De 500 Grs,https://www.mercadolibre.com.ar/fideos-lucchetti-ave-maria-paquete-de-500-grs/p/MLA21851917?pdp_filters=category:MLA1423#searchVariation=MLA21851917&position=50&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,1.295,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1360529700,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Pasta Proteica Wakas Arveja Y Chía Sin Tacc 250 Grs,https://www.mercadolibre.com.ar/pasta-proteica-wakas-arveja-y-chia-sin-tacc-250-grs/p/MLA20021579?pdp_filters=category:MLA1423#searchVariation=MLA20021579&position=48&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,4.863,No disponible,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279859890,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Sopa Maruchan Carne De Res Ramen 85g Instantanea Lunch Gr,https://www.mercadolibre.com.ar/sopa-maruchan-carne-de-res-ramen-85g-instantanea-lunch-gr/p/MLA19973617?pdp_filters=category:MLA1423#searchVariation=MLA19973617&position=44&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.599,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1278010893,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Sopas y Cremas Instantáneas,nan
Fideos Cup Noodles Nissin Pollo Picante 68 Gr.,https://articulo.mercadolibre.com.ar/MLA-935528733-fideos-cup-noodles-nissin-pollo-picante-68-gr-_JM#position=54&search_layout=stack&type=item&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.995,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#935528733,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Pasta Multicereal Con Amaranto Fusilli Wakas Sin Tacc 250 Gr,https://www.mercadolibre.com.ar/pasta-multicereal-con-amaranto-fusilli-wakas-sin-tacc-250-gr/p/MLA19994622?pdp_filters=category:MLA1423#searchVariation=MLA19994622&position=45&search_layout=stack&type=product&tracking_id=7741db6b-7672-4e9a-8933-f00cade01053,2.908,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1288667214,2024-06-04 17:11:35,Alimentos y Bebidas,Almacén,Pastas,nan,nan
