Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Nissin Cup Carne 68g,https://www.mercadolibre.com.ar/nissin-cup-carne-68g/p/MLA20030980?pdp_filters=category:MLA1423#searchVariation=MLA20030980&position=24&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.995,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1363102761,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos,nan
Fideos  Tallarin 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-tallarin-500-gr-staisabel/p/MLA20021901?pdp_filters=category:MLA1423#searchVariation=MLA20021901&position=18&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,980,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1394648257,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Giacomo Capelettini Queso Y Jamon 500 Grs,https://www.mercadolibre.com.ar/fideos-giacomo-capelettini-queso-y-jamon-500-grs/p/MLA19994611?pdp_filters=category:MLA1423#searchVariation=MLA19994611&position=26&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,3.332,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1287498996,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Knorr Sopa Instantanea Quick Vegetales Apio X 5 Sobres,https://www.mercadolibre.com.ar/knorr-sopa-instantanea-quick-vegetales-apio-x-5-sobres/p/MLA23915939?pdp_filters=category:MLA1423#searchVariation=MLA23915939&position=28&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.301,No disponible,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1382169121,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Sopas y Cremas Instantáneas,nan
Fideos Italianos Pasta Barilla - Spaghettini N°3 500g,https://www.mercadolibre.com.ar/fideos-italianos-pasta-barilla-spaghettini-n3-500g/p/MLA21394480?pdp_filters=category:MLA1423#searchVariation=MLA21394480&position=25&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,7.390,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1325039633,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA1423#searchVariation=MLA19943735&position=32&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.520,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286466941,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Terrabusi Codito 500g,https://www.mercadolibre.com.ar/fideos-terrabusi-codito-500g/p/MLA28571505?pdp_filters=category:MLA1423#searchVariation=MLA28571505&position=29&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.097,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1584434474,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=34&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.699,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280821337,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Verizzia Dedalito X500gr,https://articulo.mercadolibre.com.ar/MLA-1182515003-fideos-verizzia-dedalito-x500gr-_JM#position=53&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1182515003,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Mostachol Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1371175964-fideos-mostachol-verizzia-500-g-_JM#position=54&search_layout=stack&type=item&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,964,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1371175964,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,Fideos,nan
Fideos Terrabusi Tirabuzones X 500 Gr,https://www.mercadolibre.com.ar/fideos-terrabusi-tirabuzones-x-500-gr/p/MLA20719340?pdp_filters=category:MLA1423#searchVariation=MLA20719340&position=30&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.097,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286557870,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Wakas pasta quinoa fusilli multicereal 250g sin tacc,https://www.mercadolibre.com.ar/wakas-pasta-quinoa-fusilli-multicereal-250g-sin-tacc/p/MLA19994615?pdp_filters=category:MLA1423#searchVariation=MLA19994615&position=31&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.549,No disponible,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1410577598,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=33&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,980,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395499445,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos Fettuccini Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-fettuccini-don-vicente-500g/p/MLA21089521?pdp_filters=category:MLA1423#searchVariation=MLA21089521&position=35&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,2.499,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1310565992,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Fideos tirabuzón Matarazzo mix de legumbres sin tacc 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-mix-de-legumbres-sin-tacc-500g/p/MLA19977023?pdp_filters=category:MLA1423#searchVariation=MLA19977023&position=36&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,3.099,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280827948,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Sopa Maruchan Ramen Sabor Camaron 85g Fideos Instantaneos 3',https://www.mercadolibre.com.ar/sopa-maruchan-ramen-sabor-camaron-85g-fideos-instantaneos-3/p/MLA19957064?pdp_filters=category:MLA1423#searchVariation=MLA19957064&position=37&search_layout=stack&type=product&tracking_id=2e5c1b03-c0c7-4613-b49c-f0fe42eea063,1.552,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281977178,2024-06-04 17:10:48,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Sopas y Cremas Instantáneas,nan
