Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Nescafé Gold Tostado Molido Equilibrado 250gr,https://www.mercadolibre.com.ar/nescafe-gold-tostado-molido-equilibrado-250gr/p/MLA20026486#searchVariation=MLA20026486&position=23&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,11.233,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581846370,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019#searchVariation=MLA20026019&position=24&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,15.760,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mochila Matera Austral Bolso Porta Termo Hasta 1.9lts Madu Color Negro,https://www.mercadolibre.com.ar/mochila-matera-austral-bolso-porta-termo-hasta-19lts-madu-color-negro/p/MLA29472219#searchVariation=MLA29472219&position=25&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,22.950,TIENDA MADU,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1620307424,2024-05-18 15:11:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009#searchVariation=MLA19640009&position=26&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,2.744,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Combo Cafe Molido Tostado Brasil 500g Sin Azúcar Agregada X2,https://www.mercadolibre.com.ar/combo-cafe-molido-tostado-brasil-500g-sin-azucar-agregada-x2/p/MLA28565002#searchVariation=MLA28565002&position=27&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,25.870,Cafe Martinez,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1584480062,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=28&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,13.990,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Jarra Pava Eléctrica Mega Express Me-621 Cl Corte Mate Café Color Plateado,https://www.mercadolibre.com.ar/jarra-pava-electrica-mega-express-me-621-cl-corte-mate-cafe-color-plateado/p/MLA13516750#searchVariation=MLA13516750&position=29&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,20.399,GAMESTATION ARG,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1423612286,2024-05-18 15:11:15,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Jarras Eléctricas,nan
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595#searchVariation=MLA19937595&position=30&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,5.934,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295581556,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587#searchVariation=MLA19937587&position=31&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,10.144,CONFECTIONERY FINE FOODS,Nuevo  |  +5mil vendidos,(4 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286885126,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo Cebada MALTAS El Pocillo Clasico doypack 115 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-maltas-el-pocillo-clasico-doypack-115g/p/MLA35716944#searchVariation=MLA35716944&position=32&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,2.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1737764356,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728#searchVariation=MLA21766728&position=33&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,7.920,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mate Imperial Acero Inoxidable Premium Deluxe Virola Flor De Liz Negro + Bombilla Acero Inoxidable Pico De Loro The Mate Spot,https://www.mercadolibre.com.ar/mate-imperial-acero-inoxidable-premium-deluxe-virola-flor-de-liz-negro-bombilla-acero-inoxidable-pico-de-loro-the-mate-spot/p/MLA34730559#searchVariation=MLA34730559&position=34&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,26.999,The Mate Spot,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1715201626,2024-05-18 15:11:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Luggiani cafe en grano tostado italiano rosso 1kg,https://www.mercadolibre.com.ar/luggiani-cafe-en-grano-tostado-italiano-rosso-1kg/p/MLA24443058#searchVariation=MLA24443058&position=35&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,22.999,CENTRAL DECAFE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1422572205,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553#searchVariation=MLA19979553&position=36&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,10.293,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286549834,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe dolce gusto caja x 16 capsulas cafe au lait,https://www.mercadolibre.com.ar/nescafe-dolce-gusto-caja-x-16-capsulas-cafe-au-lait/p/MLA16167744#searchVariation=MLA16167744&position=37&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,14.271,01MERCADO,Nuevo  |  +250mil vendidos,(+50 disponibles),Nuevo  |  +250mil vendidos,No disponible,#916073471,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez molido tostado Moka frutado 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-250g/p/MLA20026232#searchVariation=MLA20026232&position=38&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,8.080,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339318226,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
