Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café Lavazza - Crema E Aroma Italia En Grano X 1 Kg,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-italia-en-grano-x-1-kg/p/MLA20026299#searchVariation=MLA20026299&position=8&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,48.503,DISFIT,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1726793262,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Sutil N5 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-sutil-n5-10-capsulas/p/MLA16167697#searchVariation=MLA16167697&position=33&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,4.519,Ecomodico,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1130132430,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Starbucks - Café Tostado Y Molido - House Blend X 250gr,https://www.mercadolibre.com.ar/starbucks-cafe-tostado-y-molido-house-blend-x-250gr/p/MLA19979564#searchVariation=MLA19979564&position=25&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,14.693,Nestlé,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1581885306,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Melitta Extraforte café tostado molido 500g,https://www.mercadolibre.com.ar/melitta-extraforte-cafe-tostado-molido-500g/p/MLA20026239#searchVariation=MLA20026239&position=16&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,11.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1412711381,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
3 Corações tradicional café torrado molido bolsa 500g,https://www.mercadolibre.com.ar/3-coracoes-tradicional-cafe-torrado-molido-bolsa-500g/p/MLA24753269#searchVariation=MLA24753269&position=12&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,10.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1700708472,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664#searchVariation=MLA20718664&position=28&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,29.999,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1688454620,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Equipo Matero Termo Mate Uruguayo Bombilla Latas Y Canasta,https://articulo.mercadolibre.com.ar/MLA-1256831983-equipo-matero-termo-mate-uruguayo-bombilla-latas-y-canasta-_JM#position=44&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,39.899,TIENDA DOS AMIGOS,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1256831983,2024-05-18 15:12:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Juegos de Mate
Starbucks verona roast & ground cafe molido tostado 250g sin tacc,https://www.mercadolibre.com.ar/starbucks-verona-roast-ground-cafe-molido-tostado-250g-sin-tacc/p/MLA20025907#searchVariation=MLA20025907&position=30&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,10.000,CHACOCAFE336,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1769984592,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks House Blend Lungo Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-house-blend-lungo-oficial-by-nespresso-10-unidades/p/MLA19731860#searchVariation=MLA19731860&position=23&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,8.235,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581922792,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://articulo.mercadolibre.com.ar/MLA-1112457070-la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr-_JM#position=45&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,8.616,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1112457070,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café en grano tostado Café Martinez Italiano 1kg,https://www.mercadolibre.com.ar/cafe-en-grano-tostado-cafe-martinez-italiano-1kg/p/MLA21766729#searchVariation=MLA21766729&position=34&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,48.960,Cafe Martinez,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1348143256,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Saquitos Morenita Molido Intenso 5 Gr X 20 Saquitos,https://articulo.mercadolibre.com.ar/MLA-1103459233-cafe-en-saquitos-morenita-molido-intenso-5-gr-x-20-saquitos-_JM#position=46&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,3.229,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1103459233,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Otras Presentaciones
Cafe Brasil Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-brasil-tostado-molido-cabrales-500-gr/p/MLA20604826#searchVariation=MLA20604826&position=29&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,16.672,AVFX1,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1731407382,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Infusión A Base De Café Arlistan Suave Más Aroma 170 Gr,https://www.mercadolibre.com.ar/infusion-a-base-de-cafe-arlistan-suave-mas-aroma-170-gr/p/MLA28804895#searchVariation=MLA28804895&position=31&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,4.327,ECOMODICO,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1597676658,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Venta Mayorista: Café Super Cabrales Molido Tostado 6 X 500g,https://www.mercadolibre.com.ar/venta-mayorista-cafe-super-cabrales-molido-tostado-6-x-500g/p/MLA21234656#searchVariation=MLA21234656&position=24&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,70.164,AVFX1,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1698172198,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898#searchVariation=MLA20903898&position=32&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,14.131,TUPIXIE,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1372014961,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Embolo Prensa Francesa De 800 Ml De Gran Calidad,https://www.mercadolibre.com.ar/cafetera-embolo-prensa-francesa-de-800-ml-de-gran-calidad/p/MLA24394459#searchVariation=MLA24394459&position=26&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,12.599,PETTISH BAZAR,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376666717,2024-05-18 15:12:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://articulo.mercadolibre.com.ar/MLA-1112397740-morenita-cafe-molido-tostado-colombia-x-500-gr-_JM#position=47&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,10.001,ECOMODICO,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1112397740,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Intenso En Saquitos Bonafide 18un X 5g,https://articulo.mercadolibre.com.ar/MLA-1674646898-cafe-torrado-intenso-en-saquitos-bonafide-18un-x-5g-_JM#position=48&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,3.178,BLIP,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1674646898,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe En Grano Tostado Bonafide Blanco  Expresso 1 Kg ,https://www.mercadolibre.com.ar/cafe-en-grano-tostado-bonafide-blanco-expresso-1-kg/p/MLA19979586#searchVariation=MLA19979586&position=27&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,32.300,BONAFIDE ONLINE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1552166068,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Latte Macchiato,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-latte-macchiato/p/MLA16167792#searchVariation=MLA16167792&position=37&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,13.999,CPT Oficina,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#915804494,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Grano Tostado  Super Cabrales Espresso 1kg ,https://www.mercadolibre.com.ar/cafe-grano-tostado-super-cabrales-espresso-1kg/p/MLA19996869#searchVariation=MLA19996869&position=35&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,38.506,CASAMAYOGROUP SRL,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1734009590,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Saquitos Cabrales La Planta De Café Sin Tac,https://www.mercadolibre.com.ar/cafe-en-saquitos-cabrales-la-planta-de-cafe-sin-tac/p/MLA20025865#searchVariation=MLA20025865&position=36&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,3.328,01MERCADO,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279731143,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Mocha Nescafé Dolce Gusto de 16 unidades,https://www.mercadolibre.com.ar/capsulas-mocha-nescafe-dolce-gusto-de-16-unidades/p/MLA19789974#searchVariation=MLA19789974&position=39&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,11.293,Dolce Gusto,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398778721,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido Caboclo Tradicional 500g S/ Azucar Import Brasil,https://articulo.mercadolibre.com.ar/MLA-1689640208-cafe-molido-caboclo-tradicional-500g-s-azucar-import-brasil-_JM#position=49&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,9.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1689640208,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Matera Porta Termo Canasta Eco Cuero Premium Equipo Mate,https://articulo.mercadolibre.com.ar/MLA-1389851451-matera-porta-termo-canasta-eco-cuero-premium-equipo-mate-_JM#position=50&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,6.229,GLOBAL ROSS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1389851451,2024-05-18 15:12:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Cafe Molido Segafredo Intermezzo 250g Tostado Sin Azucar,https://articulo.mercadolibre.com.ar/MLA-1116105261-cafe-molido-segafredo-intermezzo-250g-tostado-sin-azucar-_JM#position=51&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,7.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1116105261,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo Nescafe Dolca Suave 1 Kilo Sin Tacc Nestle,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-suave-1-kilo-sin-tacc-nestle/p/MLA22931619#searchVariation=MLA22931619&position=40&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,22.999,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1446916236,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Oferta Café Franja Blanca  X 1kg - Bonafide Oficial,https://articulo.mercadolibre.com.ar/MLA-790955570-oferta-cafe-franja-blanca-x-1kg-bonafide-oficial-_JM#position=52&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,27.997,BONAFIDEVILLACRESPO2010,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#790955570,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Tostado Pack 3 Kilos,https://articulo.mercadolibre.com.ar/MLA-1100935922-cafe-bonafide-tostado-pack-3-kilos-_JM#position=53&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,90.000,BONAFIDE ONLINE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Starbucks Nespresso Espresso Roast Cápsulas x 10 Unidades,https://www.mercadolibre.com.ar/starbucks-nespresso-espresso-roast-capsulas-x-10-unidades/p/MLA19625030#searchVariation=MLA19625030&position=42&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,8.613,Ecomodico,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1438402666,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Cabrales 500gr Super Molido Tostado Oferta,https://articulo.mercadolibre.com.ar/MLA-1711363774-cafe-cabrales-500gr-super-molido-tostado-oferta-_JM#position=54&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,11.199,ALEX2800,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1711363774,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Tradición Instantaneo Clasico 100% Puro Doypack 150g,https://www.mercadolibre.com.ar/nescafe-tradicion-instantaneo-clasico-100-puro-doypack-150g/p/MLA19783086#searchVariation=MLA19783086&position=38&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,6.680,BALMACEDASONIA20220306183921,Nuevo  |  +5mil vendidos,(5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1751167368,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Peru Cabrales 250g,https://www.mercadolibre.com.ar/cafe-molido-peru-cabrales-250g/p/MLA20026311#searchVariation=MLA20026311&position=41&search_layout=stack&type=product&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,9.375,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1689267058,2024-05-18 15:12:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Bombilla Pico De Loro Acero Inoxidable Filtro Pala Cuchara,https://articulo.mercadolibre.com.ar/MLA-1156364284-bombilla-pico-de-loro-acero-inoxidable-filtro-pala-cuchara-_JM#position=55&search_layout=stack&type=item&tracking_id=4ed3c24d-4d45-4d64-b524-8183f5aa4ba0,7.199,MATESUR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1156364284,2024-05-18 15:12:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bombillas para Mate
