Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Capelettini Lucchetti Lucchettinis Jamon Y Queso X 500g,https://www.mercadolibre.com.ar/capelettini-lucchetti-lucchettinis-jamon-y-queso-x-500g/p/MLA21459203?pdp_filters=category:MLA1403#searchVariation=MLA21459203&position=2&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,2.752,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1330473026,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Pastas,nan,
Barra Queso Cheddar Feteado Milkaut x 2.37 kg - 192 fetas,https://www.mercadolibre.com.ar/barra-queso-cheddar-feteado-milkaut-x-237-kg-192-fetas/p/MLA25531170?pdp_filters=category:MLA1403#searchVariation=MLA25531170&position=4&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,30.600,DISTR.TUS.AMIGOS,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1594316334,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Queso De Cabra El Rincón Caprino X 1 Kg - Pedí Tus Sabores,https://www.mercadolibre.com.ar/queso-de-cabra-el-rincon-caprino-x-1-kg-pedi-tus-sabores/p/MLA35613303?pdp_filters=category:MLA1403#searchVariation=MLA35613303&position=6&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,32.000,Hecho en Córdoba,Nuevo  |  +50 vendidos,No disponible,Nuevo  |  +50 vendidos,No disponible,#1420970711,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Vino Nicasia Red Blend Malbec 750ml,https://www.mercadolibre.com.ar/vino-nicasia-red-blend-malbec-750ml/p/MLA21837284?pdp_filters=category:MLA1403#searchVariation=MLA21837284&position=11&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,5.720,BEBINORDELIKATESSEN,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1423679145,2024-04-29 14:54:10,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos,
Muzzarella La Holandesa,https://articulo.mercadolibre.com.ar/MLA-920769817-muzzarella-la-holandesa-_JM#position=38&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,1.000,RELA3312879,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#920769817,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Arroz Preparado Sabor Queso Gallo X 240 Gr,https://www.mercadolibre.com.ar/arroz-preparado-sabor-queso-gallo-x-240-gr/p/MLA20018413?pdp_filters=category:MLA1403#searchVariation=MLA20018413&position=12&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,2.467,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1280808483,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,
Queso Feta Juan Grande Fraccionado De 400gr,https://articulo.mercadolibre.com.ar/MLA-917741133-queso-feta-juan-grande-fraccionado-de-400gr-_JM#position=39&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,11.900,PRONTO GOURMET,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#917741133,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Nuevas! Papas Fritas Sabor Queso Cheddar 63g Good Show Snack,https://www.mercadolibre.com.ar/nuevas-papas-fritas-sabor-queso-cheddar-63g-good-show-snack/p/MLA28086417?pdp_filters=category:MLA1403#searchVariation=MLA28086417&position=13&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,1.099,CAPSULANDIA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395452487,2024-04-29 14:54:10,Alimentos y Bebidas,Almacén,Snacks,Snacks Salados,
Queso Cuartirolo Ligth Veronica 1/2 Horma Solo Para Caba,https://articulo.mercadolibre.com.ar/MLA-1394022437-queso-cuartirolo-ligth-veronica-12-horma-solo-para-caba-_JM#position=40&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,19.556,Artistica Palermo,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1394022437,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Queso Cremoso Punta Del Agua X 4 Kg.,https://articulo.mercadolibre.com.ar/MLA-1553915164-queso-cremoso-punta-del-agua-x-4-kg-_JM#position=41&search_layout=stack&type=item&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,32.990,CATANZARODISTRIBUIDORA20231030,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1553915164,2024-04-29 14:54:10,Alimentos y Bebidas,Frescos,Lácteos,Quesos,
Vino Trumpeter malbec 750ml por 6 unidades,https://www.mercadolibre.com.ar/vino-trumpeter-malbec-750ml-por-6-unidades/p/MLA21826656?pdp_filters=category:MLA1403#searchVariation=MLA21826656&position=14&search_layout=stack&type=product&tracking_id=c0cf8216-743e-4eca-970a-acdfec27a8a5,40.317,MERCADOGOURMET ONLINE,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1684595622,2024-04-29 14:54:10,Alimentos y Bebidas,Bebidas,Vinos y Espumantes,Vinos,
