Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=22&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,10.950,SUPLEMENTOSNORT,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1705279530,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664#searchVariation=MLA20718664&position=23&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,21.431,Nestlé Professional,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447990142,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875#searchVariation=MLA20025875&position=25&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,10.838,LUIS MICHELUCCI,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1664899496,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571#searchVariation=MLA19979571&position=26&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Latte Macchiato,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-latte-macchiato/p/MLA16167792#searchVariation=MLA16167792&position=27&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,11.999,CAPSULANDIA,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1110402568,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Café Instantáneo Nescafé® Gold - Doypack X100gr,https://articulo.mercadolibre.com.ar/MLA-1659944572-cafe-instantaneo-nescafe-gold-doypack-x100gr-_JM#position=50&search_layout=stack&type=item&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,9.954,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1659944572,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Cabrales Prestige Tostado Molido 250gr,https://www.mercadolibre.com.ar/cafe-cabrales-prestige-tostado-molido-250gr/p/MLA26699467#searchVariation=MLA26699467&position=28&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,7.195,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1686045326,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
03 Corações Tradicional Molido café Torrado Bolsa Unidad 500g,https://www.mercadolibre.com.ar/03-coracoes-tradicional-molido-cafe-torrado-bolsa-unidad-500g/p/MLA24753269#searchVariation=MLA24753269&position=29&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,9.353,NEWAY MARKET,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1390835741,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe En Capsulas La Virginia Espresso Intenso N9 10 Capsulas,https://www.mercadolibre.com.ar/cafe-en-capsulas-la-virginia-espresso-intenso-n9-10-capsulas/p/MLA16167755#searchVariation=MLA16167755&position=30&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,5.399,CAPSULANDIA,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1142413948,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=51&search_layout=stack&type=item&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,12.365,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Kalma Espuma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-kalma-espuma-frasco-x-170-gr/p/MLA24737455#searchVariation=MLA24737455&position=31&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,7.000,Ecomodico,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381138227,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208#searchVariation=MLA22609208&position=32&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,38.317,BARINSU,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Cappuccino Oficial,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-cappuccino-oficial/p/MLA16167625#searchVariation=MLA16167625&position=33&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,11.999,CPT Oficina,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#921695731,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728#searchVariation=MLA21766728&position=34&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantáneo Liofilizado Clásico Juan Valdez Frasco 95gr,https://www.mercadolibre.com.ar/cafe-instantaneo-liofilizado-clasico-juan-valdez-frasco-95gr/p/MLA25822977#searchVariation=MLA25822977&position=35&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,31.687,BLIP,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381907757,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587#searchVariation=MLA19937587&position=36&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,11.500,CONFECTIONERY FINE FOODS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286885126,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://articulo.mercadolibre.com.ar/MLA-1395841479-difusor-saphirus-con-varillas-aromatizador-de-ambiente-_JM?searchVariation=180670362319#searchVariation=180670362319&position=52&search_layout=stack&type=item&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,3.204,FRAGANCIAS LALINDA,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1395841479,2024-04-08 14:53:46,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,nan
Cafe Molido La Virginia Torrado Equilibrado X 500 Gr,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-500-gr/p/MLA19958440#searchVariation=MLA19958440&position=37&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,6.772,Ecomodico,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1295581484,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009#searchVariation=MLA19640009&position=38&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,2.470,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
