Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=16&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,19.824,DISTRIBUIDORA BARI,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack X24 U 591ml Zetta Bebidas ,https://articulo.mercadolibre.com.ar/MLA-1363190682-agua-smart-water-sin-gas-pack-x24-u-591ml-zetta-bebidas-_JM#position=35&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,19.377,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1363190682,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  2 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-2-l/p/MLA16168863?pdp_filters=category:MLA413907#searchVariation=MLA16168863&position=22&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,8.295,ROXYRO68,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1160884909,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Ko Sin Gas Premium 500ml Reciclable Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1371784969-agua-mineral-ko-sin-gas-premium-500ml-reciclable-sin-tacc-_JM#position=36&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,799,CAPSULANDIA,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1371784969,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Con Gas Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1182269646-agua-con-gas-cellier-2lt-_JM#position=37&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,1.162,GRUPO ELNENE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1182269646,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Nestlé Pureza Vital  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-15-l/p/MLA16247029?pdp_filters=category:MLA413907#searchVariation=MLA16247029&position=25&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,1.142,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1668422918,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua De Las Misiones Natural 500 Ml S/g  X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1394342849-agua-de-las-misiones-natural-500-ml-sg-x-12-zetta-bebidas-_JM#position=38&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,4.506,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394342849,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Eco De Los Andes Sin Gas 500ml Pack X12 - Perez Tienda ,https://articulo.mercadolibre.com.ar/MLA-932197162-agua-eco-de-los-andes-sin-gas-500ml-pack-x12-perez-tienda-_JM#position=39&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,7.560,PEREZ TIENDA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#932197162,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=29&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=30&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,2.565,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223027468,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
