Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Bocaditos Integra De Chocolate Con Arandanos 20u X 26g,https://www.mercadolibre.com.ar/bocaditos-integra-de-chocolate-con-arandanos-20u-x-26g/p/MLA21724370?pdp_filters=category:MLA1423#searchVariation=MLA21724370&position=19&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,12.367,PUNTONUEZ,Nuevo  |  +1000 vendidos,(20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1348114371,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=28&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,5.690,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(61 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
20 Barras Wik Taste Quinoa Y Chocolate Kosher Vegan Sin Tacc,https://www.mercadolibre.com.ar/20-barras-wik-taste-quinoa-y-chocolate-kosher-vegan-sin-tacc/p/MLA21972238?pdp_filters=category:MLA1423#searchVariation=MLA21972238&position=23&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,11.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1366359977,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Chocolate X 500 Gr - Env A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-500-gr-env-a-todo-el-pais/p/MLA26913450?pdp_filters=category:MLA1423#searchVariation=MLA26913450&position=29&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.791,TIENDA-EL PORTUGUÉS,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1505088868,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=24&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(15 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Coco Caju + 3 Claras 40g Sin Tacc,https://articulo.mercadolibre.com.ar/MLA-1354542582-ki-bar-barrita-proteica-coco-caju-3-claras-40g-sin-tacc-_JM#position=48&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.299,CAPSULANDIA,Nuevo  |  +1000 vendidos,(282 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1354542582,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Mousse De Limón Lasfor 200 Gr,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-mousse-de-limon-lasfor-200-gr/p/MLA21827053?pdp_filters=category:MLA1423#searchVariation=MLA21827053&position=27&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.844,AEH MALL,Nuevo  |  +100 vendidos,(10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1398721243,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Flow Almendras Enteras Caja X 20un,https://www.mercadolibre.com.ar/barra-cereal-flow-almendras-enteras-caja-x-20un/p/MLA29423266?pdp_filters=category:MLA1423#searchVariation=MLA29423266&position=26&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,9.900,OPEN25HS!,Nuevo  |  +500 vendidos,(46 disponibles),Nuevo  |  +500 vendidos,No disponible,#1401011975,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Baloncitos Chocolatados Granix Bolitas De Chocolate,https://www.mercadolibre.com.ar/cereal-baloncitos-chocolatados-granix-bolitas-de-chocolate/p/MLA19937180?pdp_filters=category:MLA1423#searchVariation=MLA19937180&position=33&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.180,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1442907848,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Pasas De Uva Y Almendras,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-pasas-de-uva-y-almendras/p/MLA21266471?pdp_filters=category:MLA1423#searchVariation=MLA21266471&position=25&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,8.447,MORASHOP,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1470461404,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
