Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Barritas Protein Pont Por 12 Un.,https://articulo.mercadolibre.com.ar/MLA-1173239662-barritas-protein-pont-por-12-un-_JM#position=35&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,18.550,DAMETUMANO.TIENDA,Nuevo  |  +500 vendidos,(22 disponibles),Nuevo  |  +500 vendidos,No disponible,#1173239662,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Frutilla Lasfor 200 Gr Lasfor Almohaditas Rellenas - Frutilla - 200 g - Unidad - 1 - Bolsa,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-frutilla-lasfor-200-gr-lasfor-almohaditas-rellenas-frutilla-200-g-unidad-1-bolsa/p/MLA21960343?pdp_filters=category:MLA1423#searchVariation=MLA21960343&position=15&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.999,BLIP,Nuevo  |  +500 vendidos,(126 disponibles),Nuevo  |  +500 vendidos,No disponible,#1391723986,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 1kg - Envios A Todo El Pais,https://articulo.mercadolibre.com.ar/MLA-820988965-almohaditas-rellenas-avellana-x-1kg-envios-a-todo-el-pais-_JM#position=36&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,6.312,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(24 disponibles),Nuevo  |  +1000 vendidos,No disponible,#820988965,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Fort Chocolate Almendras Y Miel Caja De 24 Unid,https://www.mercadolibre.com.ar/barra-cereal-fort-chocolate-almendras-y-miel-caja-de-24-unid/p/MLA19566719?pdp_filters=category:MLA1423#searchVariation=MLA19566719&position=16&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,8.950,ALMACEN MINGO,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1378403748,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bolitas Nutri Chok Fortificados Nutri Foods - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1394384877-bolitas-nutri-chok-fortificados-nutri-foods-mejor-precio-_JM#position=37&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.583,MEJORPRECIO.COM.AR,Nuevo  |  +25 vendidos,(8 disponibles),Nuevo  |  +25 vendidos,No disponible,#1394384877,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Fort Manzana Y Almendras Caja 24 Unidades.,https://www.mercadolibre.com.ar/barra-cereal-fort-manzana-y-almendras-caja-24-unidades/p/MLA20027366?pdp_filters=category:MLA1423#searchVariation=MLA20027366&position=17&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,7.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1327402595,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Avena Arrollada Instan X 500 Gr,https://articulo.mercadolibre.com.ar/MLA-873082920-avena-arrollada-instan-x-500-gr-_JM#position=38&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.829,BELVEDERETIENDA,Nuevo  |  +100 vendidos,(24 disponibles),Nuevo  |  +100 vendidos,No disponible,#873082920,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Semillas Y Chocolate 27gr C/u Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-semillas-y-chocolate-27gr-cu-dw/p/MLA20731298?pdp_filters=category:MLA1423#searchVariation=MLA20731298&position=18&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,7.472,PUNTONUEZ,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1337707880,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas De Avena Y Trigo X 2 Kgs.,https://www.mercadolibre.com.ar/almohaditas-de-avena-y-trigo-x-2-kgs/p/MLA21857126?pdp_filters=category:MLA1423#searchVariation=MLA21857126&position=19&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,10.182,NEWGARDEN,Nuevo  |  +100 vendidos,(11 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381650700,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar - Barritas Proteicas  - Pack X 28 Uds- Elegí Sabores ,https://articulo.mercadolibre.com.ar/MLA-1386638008-ki-bar-barritas-proteicas-pack-x-28-uds-elegi-sabores-_JM#position=39&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,37.401,SOMOS BUHA,Nuevo  |  +500 vendidos,(93 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386638008,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos De Maíz Azucarados Grande,https://articulo.mercadolibre.com.ar/MLA-1459804490-zucaritas-copos-de-maiz-azucarados-grande-_JM#position=40&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,4.399,TAP GROCERY,Nuevo  |  +100 vendidos,(44 disponibles),Nuevo  |  +100 vendidos,No disponible,#1459804490,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Pack X 14 Barras Proteicas Post Workout Bigual - A Elección,https://articulo.mercadolibre.com.ar/MLA-1412833102-pack-x-14-barras-proteicas-post-workout-bigual-a-eleccion-_JM#position=41&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,17.058,SOMOS BUHA,Nuevo  |  +100 vendidos,(98 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412833102,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Fibra Total X 4kg Granix - Primera Calidad,https://articulo.mercadolibre.com.ar/MLA-1169105799-fibra-total-x-4kg-granix-primera-calidad-_JM#position=42&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,16.862,positiva.arg1087,Nuevo  |  +25 vendidos,(7 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169105799,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Cereal El Trebol X20,https://articulo.mercadolibre.com.ar/MLA-1109930942-barra-de-cereal-el-trebol-x20-_JM#position=43&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,24.000,MIGOLOSINERODISTRIBUIDORA,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#1109930942,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Bastoncitos De Salvado Y Fibra - 1 Kg,https://articulo.mercadolibre.com.ar/MLA-789906815-bastoncitos-de-salvado-y-fibra-1-kg-_JM#position=44&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,4.622,DIETETICA CALLLAO,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#789906815,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Oferta! Cereal Zucaritas Kellogg's Copos Maiz Azucarado 240g,https://articulo.mercadolibre.com.ar/MLA-1387356661-oferta-cereal-zucaritas-kelloggs-copos-maiz-azucarado-240g-_JM#position=45&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.999,CAPSULANDIA,Nuevo  |  +5 vendidos,(59 disponibles),Nuevo  |  +5 vendidos,No disponible,#1387356661,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barra Proteica Manzana Datiles Mani + 3 Claras 40g,https://articulo.mercadolibre.com.ar/MLA-1354485275-ki-bar-barra-proteica-manzana-datiles-mani-3-claras-40g-_JM#position=46&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.255,CAPSULANDIA,Nuevo  |  +1000 vendidos,(192 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1354485275,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Trigo Burgol Grueso X 5 Kilos,https://articulo.mercadolibre.com.ar/MLA-924032271-trigo-burgol-grueso-x-5-kilos-_JM#position=47&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,9.603,positiva.arg1087,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#924032271,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Banana Y Nuez Integra 44 Gr Caja X 10 Unidades,https://www.mercadolibre.com.ar/barra-banana-y-nuez-integra-44-gr-caja-x-10-unidades/p/MLA21622803?pdp_filters=category:MLA1423#searchVariation=MLA21622803&position=20&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,7.573,PUNTONUEZ,Nuevo  |  +1000 vendidos,(6 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1337183704,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Malta El Pocillo X 170 Gr,https://articulo.mercadolibre.com.ar/MLA-823018173-malta-el-pocillo-x-170-gr-_JM#position=48&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,2.170,NEWGARDEN,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#823018173,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=21&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,9.049,PUNTONUEZ,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Copos De Maiz Granix Tradicionales Corn Flakes ,https://articulo.mercadolibre.com.ar/MLA-1104333587-cereal-copos-de-maiz-granix-tradicionales-corn-flakes-_JM#position=49&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.674,01MERCADO.COM.AR,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#1104333587,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Avena Banana Integra 40 Gr Caja X 10 Unidades,https://www.mercadolibre.com.ar/barra-de-avena-banana-integra-40-gr-caja-x-10-unidades/p/MLA28082296?pdp_filters=category:MLA1423#searchVariation=MLA28082296&position=22&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,8.511,Integra,Nuevo  |  +100 vendidos,(26 disponibles),Nuevo  |  +100 vendidos,No disponible,#1396710175,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Chocolate Suizo Lasfor 200 Gr,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-chocolate-suizo-lasfor-200-gr/p/MLA21852202?pdp_filters=category:MLA1423#searchVariation=MLA21852202&position=23&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.999,BLIP,Nuevo  |  +100 vendidos,(126 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391573594,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Zafran Barrita De Caju Semillas De Zapallo Sin Tacc Pack X12,https://articulo.mercadolibre.com.ar/MLA-899060744-zafran-barrita-de-caju-semillas-de-zapallo-sin-tacc-pack-x12-_JM#position=50&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,9.172,BLIP,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#899060744,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos Naturales Sin Tacc-sin Azucar / Copos De Maiz X 2.5kg ,https://articulo.mercadolibre.com.ar/MLA-1268086824-copos-naturales-sin-tacc-sin-azucar-copos-de-maiz-x-25kg-_JM#position=51&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,8.616,IMPORTADORANACCATO,Nuevo  |  +100 vendidos,(39 disponibles),Nuevo  |  +100 vendidos,No disponible,#1268086824,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Dulces Chips De Chocolate Sin Tacc,https://www.mercadolibre.com.ar/galletitas-dulces-chips-de-chocolate-sin-tacc/p/MLA21830684?pdp_filters=category:MLA1423#searchVariation=MLA21830684&position=24&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.972,PURAVIDA STORE,Nuevo  |  +500 vendidos,(48 disponibles),Nuevo  |  +500 vendidos,No disponible,#1362667937,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas De Mousse De Limón Lasfor 200 Gr ,https://articulo.mercadolibre.com.ar/MLA-1268101245-almohaditas-rellenas-de-mousse-de-limon-lasfor-200-gr-_JM#position=52&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,1.999,BLIP,Nuevo  |  +100 vendidos,(30 disponibles),Nuevo  |  +100 vendidos,No disponible,#1268101245,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Fibra Total X 1 Kg Granix - Primera Calidad,https://articulo.mercadolibre.com.ar/MLA-1169086310-fibra-total-x-1-kg-granix-primera-calidad-_JM#position=53&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,6.037,positiva.arg1087,Nuevo  |  +100 vendidos,(28 disponibles),Nuevo  |  +100 vendidos,No disponible,#1169086310,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Combo Barritas Sabores Laddubar Dulces - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1380215551-combo-barritas-sabores-laddubar-dulces-mejor-precio-_JM#position=54&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,14.731,MEJORPRECIO.COM.AR,Nuevo  |  +100 vendidos,(999 disponibles),Nuevo  |  +100 vendidos,No disponible,#1380215551,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Avellana - X 500grs,https://articulo.mercadolibre.com.ar/MLA-934955671-almohaditas-rellenas-de-avellana-x-500grs-_JM#position=55&search_layout=stack&type=item&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,3.233,WARNEKE FRUTOS SECOS,Nuevo  |  +50 vendidos,(1913 disponibles),Nuevo  |  +50 vendidos,No disponible,#934955671,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Tivis Felfort X 20 U 25 G,https://www.mercadolibre.com.ar/tivis-felfort-x-20-u-25-g/p/MLA21686780?pdp_filters=category:MLA1423#searchVariation=MLA21686780&position=25&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,11.850,OPEN25HS!,Nuevo  |  +1000 vendidos,(98 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447307210,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Aritos Frutales Snuks Sin Tacc 200 Gr,https://www.mercadolibre.com.ar/aritos-frutales-snuks-sin-tacc-200-gr/p/MLA21852205?pdp_filters=category:MLA1423#searchVariation=MLA21852205&position=26&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,2.490,BLIP,Nuevo  |  +100 vendidos,(36 disponibles),Nuevo  |  +100 vendidos,No disponible,#1362112931,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra de cereal Zafran sin TACC  sabor nuez y algarroba 28 g pack x 12,https://www.mercadolibre.com.ar/barra-de-cereal-zafran-sin-tacc-sabor-nuez-y-algarroba-28g-pack-x-12/p/MLA33390252?pdp_filters=category:MLA1423#searchVariation=MLA33390252&position=4&search_layout=stack&type=product&tracking_id=726e394c-7bd0-4b0d-8f2d-e57b446adb99,9.172,BLIP,Nuevo  |  +5 vendidos,(21 disponibles),Nuevo  |  +5 vendidos,No disponible,#1409878589,2024-02-28 11:26:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
