Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208#searchVariation=MLA22609208&position=38&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,36.581,BARINSU,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Brasil Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-brasil-tostado-molido-cabrales-500-gr/p/MLA20604826#searchVariation=MLA20604826&position=39&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,16.349,ALEX2800,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1731389302,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo Nescafe Dolca Suave + Aroma Frasco X 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-suave-aroma-frasco-x-170-gr/p/MLA19766270#searchVariation=MLA19766270&position=40&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,5.380,GOLOSINAS DULSISA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1428213752,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado selecto 250g sin azúcar agregada	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-selecto-250g-sin-azucar-agregada/p/MLA20026219#searchVariation=MLA20026219&position=41&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,10.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282492756,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks Blonde Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-blonde-oficial-by-nespresso-10-unidades/p/MLA19625029#searchVariation=MLA19625029&position=42&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,8.784,Nestlé,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1397382595,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907#searchVariation=MLA20025907&position=43&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581922774,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Prensa Francesa Manual Plateada 600 Ml,https://www.mercadolibre.com.ar/cafetera-prensa-francesa-manual-plateada-600-ml/p/MLA25912421#searchVariation=MLA25912421&position=44&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,8.449,PATAGONIA HOME,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1478576826,2024-04-29 10:35:25,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan
Combo Cafe Molido Italiano Y Brasil 500g S/azucar Agregada,https://www.mercadolibre.com.ar/combo-cafe-molido-italiano-y-brasil-500g-sazucar-agregada/p/MLA27998803#searchVariation=MLA27998803&position=45&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,32.965,Cafe Martinez,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394850335,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo Nescafe Dolca Suave 1 Kilo Sin Tacc Nestle,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-suave-1-kilo-sin-tacc-nestle/p/MLA22931619#searchVariation=MLA22931619&position=46&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,21.500,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1670376866,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido 250g Combo Brasil Colombia Moka Select Italiano,https://www.mercadolibre.com.ar/cafe-molido-250g-combo-brasil-colombia-moka-select-italiano/p/MLA26539673#searchVariation=MLA26539673&position=47&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,50.815,Cafe Martinez,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1482882680,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas De Café Combo X80 Compatible Con Máquina Nespresso,https://www.mercadolibre.com.ar/capsulas-de-cafe-combo-x80-compatible-con-maquina-nespresso/p/MLA27457096#searchVariation=MLA27457096&position=48&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,75.240,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1528890146,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898#searchVariation=MLA20903898&position=49&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581833482,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo CEBADA Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=1&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=54&search_layout=stack&type=item&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,12.972,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Paraíso X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BxbxvQkOmnSUgemvvbTJUrBlhr8PazlXUEzJyqaXJGJG1Jc7LE6gYOeKpHoG5NjK9Q9NpU0KyE2%2B21L6B%2BaWRg9feV3VKFEFSFhehsdzGJR1KezWjggzgASfGhe5Q7rwWPwZ5ovBrTyuOKQGRm435OayGVls0ScFCIj37p7gEqtcAUgfxZveBjAz%2FDN%2FKzhCmIiIIwAr5P9k0L45GvUjr%2FWXLot46GusZjg3gulbMQv6%2FuWeQgeQgMigJ%2BjLstDTaeFVG%2B6u4Q7pv1MEKV7x3WEr%2BivgvQnm4cNUmfWhpPRpT4hQhBOARuZtcfBjh4YyRt3nhvkvYHJtBYwuxUj19kukYRk3%2FqHcsMH0KZi98Qbo9eeXzztSYepJYv4juneHzpwOXTTYJTuke2Tn5fRe0RxitSpiWHFAdvNvxs5CCLuEVpEkmjnOppZP41avsudlVhCjIu5MfbF8s7BnOD%2FMx3qw%2BJMkOvLiylQ%2F0HMAmsaC0%2BEvBCHM0V0esaPFgmmJMZkSMHGm2qGTqib6bAtlyeJkkJnT%2BOmiLULVVGMJKfEif27TAG%2Bof6dtnVQmX11U8v7mXoECcs3YMAoF1H85TERtIrW8mUgXGfBRPp94NuaHxPmvX%2FRnD5eNdAN1PfSnSj4WAhXZC42UTVrnv4PTT3twNPZPR69hmSQVFWkKGwLMSASVCnKhYPUF00NfIe6kw5mleKMWOtXhUDVEmQXJP4Jq3esB4ZE%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124389709,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MESviJTWtJ1V8tHs83J%2FX72iDx90s6MWQaZDclWHg9njAa7lB%2FlKI8vOWvad%2BobQjkJNr%2BjHYqA3qq%2BlrY2xHg5oPiARsC41bHs4iDXBG4Jw6z3BGitWU3FhjRU5zJyVaYjkGNoX0hlMlrc5YLrZ%2B5tYbsLKO8nl%2BUbPeiEBimSDVkWna1z4SFxTbhO1L%2FGzv1V7QYNAN%2BnHs%2FIbXjyYISerWgmdimntMjY5WQHOqIUvcApF5Js%2Bp%2Bjqf3ssaYNT0tHxIYRKgrReiFZdRxCGSgL8iqVUk%2F1XNWjZMNRwzt8DI8nrl2HkjuK6NFrxVmQJ2e4BdsTuAd9qOy1W%2F9Bl3g1zHyelxY5sCj1JefYE1eNlQumRgQleZyyuXnPtMi%2B8NiLSbmd%2F6xJJZrD%2FANaiKcHSahDgZxQjK%2BfZq2NHKbiAadpOpdO4veCenETGe1cfEcNYeX3m91D4z3nChjh4SHGOcMVxI2cXC5V7fxBJhJXZlx6rKc4xvQQzKA5cVW%2BT25lJhQiE7P1ZM2k9bKFjSKflf0QdFps5pUgOnYsED3AD38cQN%2FVj%2B%2FZ7mGupEkZ%2BGo54FWAFj6vrGdMeM40pTZKQtDVCzeYoO6lM03pRGwTTUl9IFMm3coL3yB%2FNAQg%2FP9rKgylnuzF0CjWCmnOI%2FtU%2F7aU2lzCupY5iDBbBMc22bBLr%2BESPoK5UX2dB1SEhoLQnEDA0a2hMa92fm9iWVb7BQEPuQ4E%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café En Grano Colombia X 1 Kg - Cafe Fundador ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=fjpLzlnzob8zyI7GKpVspdCxYoiXOO5Ef0Em9xgXpwyC0YhOlVLiuITO%2FpuXoxmAUt83iGa9aGoZ1tKF8uPHO%2Fx1U5ejA2dLFSi6L91fA8EdkOdD0j0tTGN5%2FkIKJThDZvKjnnkfCJgJ38vXxgOd3x09bZ8dceckHNmPnOP8tnr6EsV3BrtJakVnFyRU3WSX38J5KdGDCu5AwXQpjc%2FWiZp7RFeqtmrra4qXhXkOA1x9V%2FqFbilbzcWbjWqSvsj2p7WkkndD3IG8GD6pELeoKLz6r7hQUE8ypqghkJWFTXoqVpeGL1C1YCyJ57hvRLGuPfPPLjWJDy96HLevG9j3Sv5EWum125OA8BMCKgRGAezxugiRSF667c3kZQTsRBCl9eAHTDFE6M6XACAwKsLPxfbNXlKkiDZJhul8NOhwLmFlatuqrYaf1hUDgpL9O%2BhF9Qd71teiHx2%2F8y10ZL%2F7NzHIN34ns86peUgeOzkDzz64yB6nJYzzEUoUvTrCjKb%2Fn7G8HQDAVA0o4Pp1seERSgZLYBTOhLRka6MY1Lgr1x5i967AIKDrlC5tH7r0XWSpnKxnpS3SVXjZdgxkhO3uxWfcjDirRttj1A2c%2F6OxlZCejB35PgCoZOGZ4yLsR8l3EyFn%2BEKYGoQ3OrquJUlMlsd%2FyXUKr6WX8EDsg5CbM937ujQUsKo4%2FWerzPcHisJliI%2Ba%2Bybcn%2Fw6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,41.990,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1127183872,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez tostado molido Brasil 250g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-tostado-molido-brasil-250g-sin-azucar-agregada/p/MLA20026339#searchVariation=MLA20026339&position=5&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282331780,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mochila Matera Porta Notebook Equipo Para Termo Stanley Madu,https://articulo.mercadolibre.com.ar/MLA-880376207-mochila-matera-porta-notebook-equipo-para-termo-stanley-madu-_JM#position=41&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,27.432,TIENDA MADU,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#880376207,2024-04-29 10:36:19,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=6&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,31.890,SILMAR BAZAR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402975247,2024-04-29 10:36:19,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Café Melitta 500g. Tradicional. Extraforte. Fazenda. Brasil.,https://www.mercadolibre.com.ar/cafe-melitta-500g-tradicional-extraforte-fazenda-brasil/p/MLA20026239#searchVariation=MLA20026239&position=7&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,11.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1412711381,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café instantáneo malta descafeinado El Pocillo CEBADA Instantanea Malta intensa doypack 100 g,https://www.mercadolibre.com.ar/cafe-instantaneo-malta-descafeinado-el-pocillo-cebada-instantanea-malta-intensa-doypack-100g/p/MLA34586845#searchVariation=MLA34586845&position=8&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,2.399,CAPSULANDIA,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1713273386,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Fundador Elite X Kg En Grano,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2B9%2B3ZxGE%2BrTRgxUdMnRGoOOphCi21mCeX6HvQmnzZRpbLAy%2FDbLQ7sYJJCgNSneQ5FbRNcMt0ifaKCkAgz8h9eA%2Bxyrk0ZrRoHQBrKI8Tps4h8jv0AJ7JmhgyMXwkwzm3bQx%2Bs%2BKcWVfyPWFaw7RkA91vGijB51bT%2FXXd5jkqJ64C%2BvDePfd7b4QAfGtlp566yoIc3pg6O6B3HyNop4ujhzgYuKW7l8db8VwVwu3c4CrfU675d0IYlQBwusPHFdKo%2FqVA20GKLgWtM16KlKoodMlp4B1zPvVhlTMpD1sNKUvGxTFSTkvl7zHoFOMaHpncwpAxkaiws%2FaHIpksKq8a0Lj%2FS4h%2BF9iMrZ9k4nMD9S0NEwI7aIrDFChdesugN9eruqdLbXWdHjtqkBaDhvIwZWSATXRH5z8a9p5u%2FOYEfSVqRdsvw7uySEPNFdGW9QRR1RSiDF83eaSUNOgLMPGrBcZe1v%2F5vXNxky68nD07%2F5FFJNyNRygI%2F9Tto%2FdWS7tQR23Dtm1AO4Wtc%2BF4YNIpZW8f5WsNLz4zeJtlTZost88bjPIj5PAbtt%2B%2BsphSvloociGiyD%2BrK9MfidDpAuP%2BgkzyBCAFlg97MasFqoOs%2FBlxSWM8CnaomInHbHRsvEZpEa3ZRbtP1ktyHLkZeDvnkJLh4Wi20xkBaJc2FZp8gKIewhX6xMtFOaqTTs%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,33.021,TIENDA.FUNDADOR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#877916585,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Rosa Amarela X 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UpWTVCYYPIAXZSavXe9aQxAO8sxNgGmJWOYFl22U6imL4WduyKxsf6O0py9iEQA5TP4yhl%2BoAifADSSCxiMzLuHIaMaUr1gEQCdd6nD2v2kk8%2FErgtK9qCqQC%2BD8U7w%2BSmUpBXqnXkYyN6Cuus3dBjrYBSZmwllUnLoLmufb5XBRiuNlWNb1nCebmgZ9WkCI37OiWaPnZNhbdJ26y8QMrO46I0p%2FrI7u5bJk9q02TjQINoPEvTZhqcK35saHujIKU4BH3w9QOGO%2BYD3nGBSfueFtnTAQUCKPcPotfoLA5XyPmj9uqs5lAFPWcDtrGh1suuVBIZUahWTb3yksFKlR2vsS4lmVovRndg60lesvAfccMFfCTLToXZb%2BVc%2FtENWfln9wfCIu622i4X8tetyzZVXVCKtMtYa6aHuUReDYH6Fmnu8WiA4BCG0Z9Y6fAW02Qt%2BaJR%2FRouItN3X%2F3lj49c4kVzwPPC2WRXrBOirNyFwKUhnKePujKAiYpxn0RoH4BEMiTu5xDXg0%2F%2BGTNc0Key%2BSBPD%2F6IWyv8HH3Cn5dsWKQfTiRkoBTFu06LE94vNbsFe2V36PKxo3dN3zHT4U5xzCJj5dqsvxEagXWzPsFOwAY3yJl2weniWCZTM6LMROJB3Km46mpuuL%2FP7gezAbrCzARnQJknSzS2tQGUNY1ZdAvBF3DmrqSLhzhsRsB22j%2FpB6HDVxqoMG7GKyhF54JmaRFjpo5A%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1124396366,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café En Granos Los 5 Hispanos Tostado Paquete 500 Gr,https://articulo.mercadolibre.com.ar/MLA-1389221811-cafe-en-granos-los-5-hispanos-tostado-paquete-500-gr-_JM#position=42&search_layout=stack&type=item&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,18.499,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1389221811,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Capsulas Starbucks  Pike Place Oficial By Nespresso 10 Unidades,https://www.mercadolibre.com.ar/capsulas-starbucks-pike-place-oficial-by-nespresso-10-unidades/p/MLA19606446#searchVariation=MLA19606446&position=11&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,8.784,Nestlé,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581910050,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Martinez molido tostado Moka frutado 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-moka-frutado-250g/p/MLA20026232#searchVariation=MLA20026232&position=12&search_layout=stack&type=product&tracking_id=00907daf-d6de-495e-a8b3-d39329ce1e63,8.692,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339318226,2024-04-29 10:36:19,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
