Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Té Té Guaraní plan 30 días en saquitos Natural 180 g 60 u,https://www.mercadolibre.com.ar/te-te-guarani-plan-30-dias-en-saquitos-natural-180g-60u/p/MLA21722196#searchVariation=MLA21722196&position=11&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,13.699,LEPOTMARKET,Nuevo  |  +5mil vendidos,(4 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1344524922,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te Inti Zen Herbal Mix Tisanas Blend Saquitos,https://www.mercadolibre.com.ar/te-inti-zen-herbal-mix-tisanas-blend-saquitos/p/MLA19566711#searchVariation=MLA19566711&position=8&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,2.900,TIENDA.ANDALHUE,Nuevo  |  +1000 vendidos,(11 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1468966528,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
"Infusión Saint Gottard Grosella, Mora Y Arándanos X 20 Saq",https://www.mercadolibre.com.ar/infusion-saint-gottard-grosella-mora-y-arandanos-x-20-saq/p/MLA20722755#searchVariation=MLA20722755&position=18&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.555,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(54 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293218256,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Escalera De Aluminio Articulada 12 Escalones + Caja Gratis,https://articulo.mercadolibre.com.ar/MLA-1515175684-escalera-de-aluminio-articulada-12-escalones-caja-gratis-_JM#position=41&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,87.886,Garden Life,Nuevo  |  +5mil vendidos,(867 disponibles),Nuevo  |  +5mil vendidos,OFERTA DEL DÍA,#1515175684,2024-03-17 21:59:41,Construcción,Accesorios de Construcción,Escaleras,,,
Te Twinings Frutilla Y Mango Infusion - Caja X10 Sobres,https://www.mercadolibre.com.ar/te-twinings-frutilla-y-mango-infusion-caja-x10-sobres/p/MLA19536012#searchVariation=MLA19536012&position=14&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,5.288,TAP GROCERY,Nuevo  |  +1000 vendidos,(34 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1159026517,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Té Negro Dilmah Earl Grey Importado 10 saquitos,https://www.mercadolibre.com.ar/te-negro-dilmah-earl-grey-importado-10-saquitos/p/MLA19543792#searchVariation=MLA19543792&position=22&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.220,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(44 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1158583219,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Mate Clasico De Acero Inoxidable Uso Extremo Thermio Termico,https://articulo.mercadolibre.com.ar/MLA-1120511695-mate-clasico-de-acero-inoxidable-uso-extremo-thermio-termico-_JM#position=42&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,16.559,ROMAIMTRADINGSRL,Nuevo  |  +10mil vendidos,(169 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1120511695,2024-03-17 21:59:41,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates,
Organikal Superfoods Curcuma X 50g,https://articulo.mercadolibre.com.ar/MLA-929288047-organikal-superfoods-curcuma-x-50g-_JM#position=43&search_layout=stack&type=item&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.966,BLIP,Nuevo  |  +500 vendidos,(7 disponibles),Nuevo  |  +500 vendidos,No disponible,#929288047,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Te English Breakfast Dilmah - 10 Saquitos Origen Sri. Lanka,https://www.mercadolibre.com.ar/te-english-breakfast-dilmah-10-saquitos-origen-sri-lanka/p/MLA19543798#searchVariation=MLA19543798&position=24&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,2.999,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(14 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1160010112,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
Té Saint Gottard Arándano Y Frambuesa,https://www.mercadolibre.com.ar/te-saint-gottard-arandano-y-frambuesa/p/MLA20007439#searchVariation=MLA20007439&position=25&search_layout=stack&type=product&tracking_id=d67c3220-06ac-44bd-a26e-ca0695b3dc53,3.160,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(28 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293250602,2024-03-17 21:59:41,Alimentos y Bebidas,Almacén,Infusiones,Té,,
