Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=9&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(28 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=22&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(86 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Galletitas,nan
Cereal Fibra Total 4 Fibras Granix Trigo Avena Arroz Maiz,https://www.mercadolibre.com.ar/cereal-fibra-total-4-fibras-granix-trigo-avena-arroz-maiz/p/MLA19943734?pdp_filters=category:MLA1423#searchVariation=MLA19943734&position=25&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,2.297,01MERCADO,Nuevo  |  +500 vendidos,(14 disponibles),Nuevo  |  +500 vendidos,No disponible,#1271750839,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Baston De Salvado X 1kg,https://www.mercadolibre.com.ar/baston-de-salvado-x-1kg/p/MLA26209010?pdp_filters=category:MLA1423#searchVariation=MLA26209010&position=27&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,4.025,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1383969061,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra de cereal Wik Taste sin TACC  sabor quinoa/chocolate 20 g de 20 u,https://www.mercadolibre.com.ar/barra-de-cereal-wik-taste-sin-tacc-sabor-quinoachocolate-20g-de-20u/p/MLA23221511?pdp_filters=category:MLA1423#searchVariation=MLA23221511&position=19&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,10.734,MIALMACENAMIGO,Nuevo  |  +1000 vendidos,(188 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1700750754,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Con Miel X 1kg - A Todo El País,https://www.mercadolibre.com.ar/aritos-con-miel-x-1kg-a-todo-el-pais/p/MLA27047199?pdp_filters=category:MLA1423#searchVariation=MLA27047199&position=23&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,3.990,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399276653,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=21&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,8.908,PUNTONUEZ,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereal Sabor Chocolate Zucaritas Kelloggs 240g,https://www.mercadolibre.com.ar/cereal-sabor-chocolate-zucaritas-kelloggs-240g/p/MLA28055227?pdp_filters=category:MLA1423#searchVariation=MLA28055227&position=29&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,1.243,AEH MALL,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#1398695853,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Girasol Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-girasol-y-arandanos-integra-x-10-unidades/p/MLA21645852?pdp_filters=category:MLA1423#searchVariation=MLA21645852&position=33&search_layout=stack&type=product&tracking_id=3542a445-8f4e-4953-a02c-eaadd4fd3798,7.149,Integra,Nuevo  |  +1000 vendidos,(66 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1380274893,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Chocolate X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9DugVmcxrrJbbqbDP2jx9VDCyI5gJhfWwhEwdx6LeQ81B%2BgnmtlKgtNHjghWsB18rh%2FKwqFvGKQsIU1KWORr0fY5ENJ6eWLLlBfg5p57Abug%2F2PoQBLIvjt9nggdLTo8e2udr%2FkSVEMJNvV4Mat0ppUARjSNGIm0nXN7e6FU2%2Fm0dNMJ0b5N6KxAT59IcuCHfdswIJQgVlSd6HWUKFGbleG5u1FzOnMJmlSjIOm3y07CN7DOAOCC9AE%2FboypXKg4TBWOEUGOBML66HxoroIdZxFMiDtIxEbneLGsbUR8MsuCc9YhE9nYTYCBnGa%2Bz5ChIEOUocZ7PGsbvNroNGhAERvA7be2y6PRMkafnUzCYrZPpSb0OsCnYgDpLwib7CV7f5YEMdqNaBagO8aMEh3FrW1L0Z%2Bj5m7ayidqWS3VytrbzQXqtpZecWQJKZ388fT9nNlVA4W9MZuBf2D6yDA%2B0GDCXHSJb%2FmpLT6chnfSRQzLY435Bv5dY1M3HNjuf6w5Vkqfvs8jPKP4YueyjdCNzOYnSpraZoabSkYgF5GD7dI2yiBaSbX4uEWuLzTysQMq%2F%2Fm5uSWqnVGTrlr5qK4%2BrFotNTmUvvkTiIZBfRu7RK1Orc4TPB5WegoSCa1KDwTkYT%2B77yUWa%2FzBHrJ7v%2F%2Fu%2FfHs9rnQcyOX2oeolzkZ3%2FD6D4oHyQJUAPGDCmlLr172Sj346PdCOMYuRMT8DRqozhU%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.620,POSITIVA,Nuevo  |  +25 vendidos,(9 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169054699,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Frutilla X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FcmzmwgfS%2FuiQarTm7noY1QQJ7rif6eakynnD74xcfgSCItXRpipQmMwZe8PUkFjQCDcEk5Kf9Knt1sqmyolZ1A6KG9MgNQVlGfBoIK3PjBfKf8H296d669O6yZ2PYUPOFYOK8GkLpy6rBAVuQC%2Bk2tLJydjjvs7CuWxTEycCsO3NikEtUuMH0k18x4iMwdt3mvzlWplC2RHbhSZAUqWJad5hA9rpxbxAf0X9hAjVdJzxqlJKe6iZmw0Mv5h6xfuKsIOQOZQfhK6GK7762cZWS6bvdCx1WeYsUv9fpYNrR4Hc7HDUy7Tk3SUl%2B%2B7bBONcNZ%2FBFo1fHnfRHrQmjE52MAxZn2aqJ90UgMX1no5vOBHa67dhAnaYzzlWfeosDBHfQCnNhMvyddD2ssf78lRJ7QAXR6hfxDfweFk1smg%2BNe9LvGPhviJLPE%2FIZg2nI7SuHxrGd6oe2rzSPhTrVfnUQlEH7bOX3w6wSps%2FXQ3WX08xgrp9wDUfxbJjMBxXH3ywdXIgcbWgaWp8U63QVeDESRQo6%2FP8gtfI7%2B0OK6QcXrP4xcJJJiPzYM%2FxRWZ%2Fxluk%2Bx8AMFOfEZWS72ZsLdBURETZ%2BHjlzFa%2BSmnxRoDrieniYVzn5QqP0dZEK1o4A9YczBevPXcY7zY02jTMM0soOMqd%2BLprlAaT1t%2FxjJa2EDG3Yv%2BSLYY%2BBC4YBc7F9L16yRBBcgp7%2BfJfidzsHxCOig%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.106,POSITIVA,Nuevo  |  +50 vendidos,(15 disponibles),Nuevo  |  +50 vendidos,No disponible,#1169112498,2024-03-29 01:11:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
