Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=23&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,658,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=24&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,20.868,DISTRIBUIDORA BARI,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=25&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,5.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1408976220,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Ko Sin Gas Libre De Sodio Premium Pack X12 Unid,https://www.mercadolibre.com.ar/agua-mineral-ko-sin-gas-libre-de-sodio-premium-pack-x12-unid/p/MLA22241414?pdp_filters=category:MLA413907#searchVariation=MLA22241414&position=26&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,10.499,CAPSULANDIA,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1427573730,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=42&search_layout=stack&type=item&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,31.176,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=27&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,1.002,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1695027816,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Soda Sierra De Los Padres Sifón X  1,75 Litros",https://www.mercadolibre.com.ar/soda-sierra-de-los-padres-sifon-x-175-litros/p/MLA19737990?pdp_filters=category:MLA413907#searchVariation=MLA19737990&position=28&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,1.615,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397225087,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Palau Hipertermal Grande X6 - 01mercado,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-palau-hipertermal-grande-x6-01mercado/p/MLA28714390?pdp_filters=category:MLA413907#searchVariation=MLA28714390&position=29&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,6.840,01MERCADO,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1398773973,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=30&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,5.523,FULL 7X24,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1368027825,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-898613883-villavicencio-500ml-agua-sin-gas-pack-x-12-zetta-bebidas-_JM#position=43&search_layout=stack&type=item&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
