Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Bolso Matero Matera Un Buen Mate Porta Mate Termo Original  ,https://articulo.mercadolibre.com.ar/MLA-1198279849-bolso-matero-matera-un-buen-mate-porta-mate-termo-original-_JM#position=37&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,9.891,TIENDA MADU,Nuevo  |  +1000 vendidos,(170 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1198279849,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,
Matcha En Saquitos Con Menta Y Limon,https://www.mercadolibre.com.ar/matcha-en-saquitos-con-menta-y-limon/p/MLA20007121#searchVariation=MLA20007121&position=10&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.357,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(52 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293250792,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Té Saint Gottard Rooibos Sabor Avellana Caramelizada,https://www.mercadolibre.com.ar/te-saint-gottard-rooibos-sabor-avellana-caramelizada/p/MLA20007408#searchVariation=MLA20007408&position=11&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.357,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(47 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279222335,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
"Infusión Saint Gottard Limón, Lima, Jengibr Y Menta X 20saq",https://www.mercadolibre.com.ar/infusion-saint-gottard-limon-lima-jengibr-y-menta-x-20saq/p/MLA20722757#searchVariation=MLA20722757&position=8&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.357,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(34 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1347165799,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Mate Clasico De Acero Inoxidable Uso Extremo Thermio Termico,https://articulo.mercadolibre.com.ar/MLA-1120511695-mate-clasico-de-acero-inoxidable-uso-extremo-thermio-termico-_JM#position=38&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,16.559,ROMAIMTRADINGSRL,Nuevo  |  +10mil vendidos,(266 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1120511695,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates,
Té Taragui S/e F.diamantado X 100saq,https://www.mercadolibre.com.ar/te-taragui-se-fdiamantado-x-100saq/p/MLA19735161#searchVariation=MLA19735161&position=14&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.820,TAP GROCERY,Nuevo  |  +1000 vendidos,(117 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1224491961,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Escalera De Aluminio Articulada 12 Escalones + Caja Gratis,https://articulo.mercadolibre.com.ar/MLA-1515175684-escalera-de-aluminio-articulada-12-escalones-caja-gratis-_JM#position=39&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,87.355,Garden Life,Nuevo  |  +5mil vendidos,(732 disponibles),Nuevo  |  +5mil vendidos,OFERTA DEL DÍA,#1515175684,2024-02-28 11:14:08,Construcción,Accesorios de Construcción,Escaleras,na,nan,
Infusion Saint Gottard 5 Variedades Frutales X 20 Saquitos,https://www.mercadolibre.com.ar/infusion-saint-gottard-5-variedades-frutales-x-20-saquitos/p/MLA19791701#searchVariation=MLA19791701&position=18&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.357,CONFECTIONERY FINE FOODS,Nuevo  |  +1000 vendidos,(27 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1248647015,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Hibiscus En Flor Premium Deshidratado 1kg | Sir Neko,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=aWr2khy9WDBg9C34tw%2BAEQRbTphnJHimOaJjAde9Nv7KfWlR2SJwAXB10boinIM61ii6xEqzmg3NNUhOvhqvOiQ9p3s3JxVyIr57eitQYBrSPEHiJjoxYpX4Wcs1cTY5figBaEXWFA5XePAYA1%2Bny4X4zk0k86rmZsEjHq9BZctEIPniWeeY6PEl%2F46YmsYlYU7rM07dIYdmKtQ3pd45Zx92fxs5f2ElrcHFudQmCt0RZi1WGymsd55OEjPbJkrWxFlJofsNe9JOcUEfTAQXAjwneh%2FfDZpKbw2DXY6mRHot354vsPyWfUCUrGMQxsbxpPqyzZWv5w9hJEH5rpyAPOtnZSlnh2qqxdmUZP%2Fe6GSl4BvRRX7FxEo8qyI4uOd36HwcIAOt8TmuedDMGfg%2BkWLNB1uaEUevaewdhMRJL6iTbvYygHOPK1kUsEZjUfID1uZNOsJNTpK54pixULs7ToVR1KzD7F0RZ%2FDmcBd9J1m5JW8ECAU6ynw5DA%2Ba7ED9niL3q6L9snJbH13CAYl81Mq0ItxZTkvKZDG09sc6Uogtdxs%2FszeG5wOTQihGtzVeNReROwktVQlWg04D3MskttwJJWh0PXo8s9yg%2BtolNUGa62aCCwYKFf%2Bm1AmWo4hbqCd%2FpTLs1JiKAGtGp6G7OP3sK3QkMEQ20kgzCC226wJVwyrBMl%2BfBbNWpzBo4O3w3zrQMAeVSUt7v4SxPQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,32.688,SIR NEKO,Nuevo  |  +100 vendidos,(16 disponibles),Nuevo  |  +100 vendidos,No disponible,#918534304,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Remera Lisa Algodón Jersey Peinado Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=XzMyAY25aRmkBpLGMZf6GkQ5bHPg%2B4xnvuANNkRT8igJNPMCPLJks%2Fu7aNo3cAUgxON44dxuUgg8%2BuMjHshiV%2B3%2Bxf6aORHy2Bi2hL9J6ubELqi6CNATFX%2FgvIgGn7UhgI%2FvO%2BfJ2iMtvSubroUdPRt4SBTasSgXzP8m603hVuJocjQ5RR%2FTx1GwGpOaVL%2FLqPZQm5ahjnWh3bydcGx9SSXTZyW3khodG1e%2B7Jla69kHuSBpE%2FqoOWM6avxaFBqM%2BBetAwx1pVrcWW2ddWX8BLqCqkHLiUhJtq3zEImHzvyDQ0SEj6fe0Fxr5Dc3nIwSDK0dRj5lv8%2FFwvL83MwGwyx%2FlXuMt9SvWx%2FYkLeWqAG%2BlzidmRa26GwlAlq6NHukBBHbVUFDu%2FjomTBOONxudDMT2BKotKxc7bmkRiqgLwVF4Zj2HvA6N7WNIRQloMOrKGGoXim7h1wpgZFOjA41qr3y7iYp1bR7ICo0ozow3v0oe77CXzaq6Z9RwTntwoBdqc7fdCgk%2FsVYU5TGLpmGybXp4XYadvs2e2YZuAdljDRKMqrsVAruWYkaW8CbuvOFEBkYt6wl4QnIZ84ej2YRDczJZxkc%2FRAHyXzHk3OGEpTqeFx3GtroLz1VFvExGNWKv1Ur4LKEDbKbVur6JwWIg4Mgo71X9NWiuB9MUaBkA9mhGKgYqTYu63%2B3%2FZ7zWwN8chgRlvSB&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.850,TEES FACTORY,Nuevo  |  +100mil vendidos,(714 disponibles),Nuevo  |  +100mil vendidos,No disponible,#619208970,2024-02-28 11:14:08,Ropa y Accesorios,"Remeras, Musculosas y Chombas",nan,na,nan,
"Te Noche Descanso Heredia 25 Saquitos Ensobrados X 37,5 Gr",https://www.mercadolibre.com.ar/te-noche-descanso-heredia-25-saquitos-ensobrados-x-375-gr/p/MLA19900658#searchVariation=MLA19900658&position=6&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.683,GREENANDML,Nuevo  |  +500 vendidos,(11 disponibles),Nuevo  |  +500 vendidos,No disponible,#1378580510,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Té Surtido Línea Bienestar Heredia Caja X20 Saquitos De 30gr,https://articulo.mercadolibre.com.ar/MLA-1324058940-te-surtido-linea-bienestar-heredia-caja-x20-saquitos-de-30gr-_JM#position=40&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,1.762,GREENANDML,Nuevo  |  +100 vendidos,(9 disponibles),Nuevo  |  +100 vendidos,OFERTA DEL DÍA,#1324058940,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Mate Imperial Uruguayo De Acero Inoxidable Deluxe + Bombilla,https://articulo.mercadolibre.com.ar/MLA-1298860341-mate-imperial-uruguayo-de-acero-inoxidable-deluxe-bombilla-_JM#position=41&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,24.990,The Mate Spot,Nuevo  |  +1000 vendidos,(94 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1298860341,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates,
Capsulas Nespresso Recargables Ecologicas X 12 - Caffettino ,https://www.mercadolibre.com.ar/capsulas-nespresso-recargables-ecologicas-x-12-caffettino/p/MLA19815010#searchVariation=MLA19815010&position=21&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,19.458,BLIP,Nuevo  |  +1000 vendidos,(30 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1262820502,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan,
Oferta! Te Green Hills Clásico 100 Saquitos En Sobres,https://www.mercadolibre.com.ar/oferta-te-green-hills-clasico-100-saquitos-en-sobres/p/MLA19878263#searchVariation=MLA19878263&position=16&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,4.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(183 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1258819032,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Hierbas En Saquitos La Virginia Boldo X 50 Sobres,https://www.mercadolibre.com.ar/hierbas-en-saquitos-la-virginia-boldo-x-50-sobres/p/MLA19855753#searchVariation=MLA19855753&position=15&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.923,Ecomodico,Nuevo  |  +500 vendidos,(15 disponibles),Nuevo  |  +500 vendidos,No disponible,#1257926140,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Te Blanco En Hebras Delhi Tea Premium 40g,https://www.mercadolibre.com.ar/te-blanco-en-hebras-delhi-tea-premium-40g/p/MLA26709695#searchVariation=MLA26709695&position=17&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,5.700,MR.TÉ,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#1388714949,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Mochila Matera Porta Notebook Equipo Para Termo Stanley Madu,https://articulo.mercadolibre.com.ar/MLA-880376207-mochila-matera-porta-notebook-equipo-para-termo-stanley-madu-_JM#position=42&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,27.432,TIENDA MADU,Nuevo  |  +5mil vendidos,(94 disponibles),Nuevo  |  +5mil vendidos,No disponible,#880376207,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,
Inti Zen Te Patagonia Rooibos Caja X15 Saquitos Frutos Rojos,https://www.mercadolibre.com.ar/inti-zen-te-patagonia-rooibos-caja-x15-saquitos-frutos-rojos/p/MLA19538456#searchVariation=MLA19538456&position=13&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.755,Cafe Martinez,Nuevo  |  +1000 vendidos,(27 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1158144248,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Canasta Uruguaya Matera Portatermo Cuero Premium Legítimo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rWFouU710tysPSmMRey16IOq6D8NLd6T3OqQnoRbbakCyrih0CIBEVkw8lZNYppH45q7Pg9kjEkQDzNreKTiaXmK1pvJ%2BJHEACeHE9xSeqFgb5O4dNEj1W1jlXgYHWyMfaABmY7mUo2fnRdg11wRllRkim1yaSFbmnBeeb%2ByI9bHQajmALSJ4rTorsv1SAqLmo%2FrdmCXCA2%2FIAJBq6w%2FmUuSjAuyC35YFPlKk2spQmxkkvAHy0MyVmdJkF4MRdnUDyHI1UpJqumnVoGyrcLzISKp8vqc6QX17XQIkDOFiOTlsJEhAn5oA9sfphfGk%2FOEUwvp2X%2BL6PHSjutZEd5AMIhZaK9DR2AR9rhATwx9I5e%2Br94Qjo83az71qZy5a41%2BpGWPur2VD3Kzo0lhLtjn1IJvfzDrJ4I7RdB%2FxN1RUAGFy%2BpCk2i%2FfFtWmA0vXBVn6xfu9U7GqGkucD2xnu1S9DQYOy4PgIF%2BGtTaFDmsRnmMAduIKV%2BEEB%2FeMmMPVSvdAJob2q%2BGZLB6rsiVcF%2FECpEwTkUavcJ7yudJjQ4oZcCZBLGxHOC50A%2B5SLlGZ1MfUK3lMQhahYE%2BANJyldjKPx65FjTSRqMniScWSNKJxDsoACIndZJQTELDewmPX2pInGGOnW3amvTJb7EUlCR2Wwwo14ZRTwDDw%2BjEjTUYp4iyT6Tk69VLwMLPRCDz%2BQi7yIIh7TCTSCvQuCQV%2FQ3gX23mvH8%2BqLv4&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.999,MATESUR,Nuevo  |  +1000 vendidos,(62 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1161508299,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Bolsos Materos,
Laso Téa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LuvaS1PcKAxSOOxBgTFXaQdTdZOtNPLZvIRL%2FJBLi3YFxMcD5pzx6Kl5VpYDN%2FAZKRmSF6YuFnXiatbGBlkT5YKgv1q9wu5GsAhsWkKw1qJupUeu3Ea6qJFjMsjE67B6DhuHbiqkgfXojdfXvPXt8uCt2qx2jz1aCbR3bRZp4J3NmnObgmdGwmFBRku8KIhM2Ap%2BfvT5yVoQtvVhwBv5LygTBkzMd51TH7QTjrGvGOfuPdIGl37JcIurcY2TodArv%2FkctFmF4kCJYFqQ7a%2BbdHeGhbzLcNTNGCPBaEvRA3kbHv8mtHSFbn9Ul77%2B9lmJlIH7JbwUhe2Cv9jqjO4rCkBQZPEXf4jlqHv%2Bc%2BjCV20gLTGTCZTqhwrAohVDdU3t9SNkvLlwrEQzp2OzT0f90%2Bm3DAkkYA56vnN1W2kVGYoF%2FytyksHdlTAplkQuhFxNaKZncm%2FEOJe5jwBMJ4S%2BMrgxkZvn26265ic%2Fa8pVxhrWm25RSt2opltP4T2XqD15Xe73i8btDW2kp2pXpUiksc2VOQJOn9j8ROkQhBR6KS3HWGox0tfAaOf1wg4E1%2BJzAUUVIJ8kAt435CUnFcrX0czkG1SJoRvANjBbzGK7lrEunKLTAW8a0lGscpjBbJUN44bPxkvsJ6b21QBRUKQN5xB8jUCQ7PU%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,38.500,ORTIGOZAMARTINEZMARGARITA,Nuevo  |  +5 vendidos,(9 disponibles),Nuevo  |  +5 vendidos,No disponible,#1515172790,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Bomba Presurizadora Vasser 9mts 1-2 Baños Calefon 120 Watts,https://www.mercadolibre.com.ar/bomba-presurizadora-vasser-9mts-1-2-banos-calefon-120-watts/p/MLA19686540#searchVariation=MLA19686540&position=33&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,55.520,FERYMAR_BYH,Nuevo  |  +10mil vendidos,(278 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1297525614,2024-02-28 11:14:08,Construcción,Plomería,Bombas,Bombas Presurizadoras,nan,
Infusión Frutal Saint Gottard Durazno y Maracuyá x 20 Saquitos 40 g,https://www.mercadolibre.com.ar/infusion-frutal-saint-gottard-durazno-y-maracuya-x-20-saquitos-40-g/p/MLA21096789#searchVariation=MLA21096789&position=23&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.160,CONFECTIONERY FINE FOODS,Nuevo  |  +500 vendidos,(74 disponibles),Nuevo  |  +500 vendidos,No disponible,#1447408280,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Te Hojas De Malbec Organico De Mi Campo 15 Un,https://www.mercadolibre.com.ar/te-hojas-de-malbec-organico-de-mi-campo-15-un/p/MLA20883783#searchVariation=MLA20883783&position=25&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.533,MERCADOGOURMET.ONLINE,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1542112202,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Blends Té En Hebras - Pack X 5 Bolsas De Aprox 50g Cada Una,https://articulo.mercadolibre.com.ar/MLA-816275879-blends-te-en-hebras-pack-x-5-bolsas-de-aprox-50g-cada-una-_JM#position=43&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,16.500,M.S.ALVAREZ,Nuevo  |  +1000 vendidos,(2494 disponibles),Nuevo  |  +1000 vendidos,No disponible,#816275879,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Pack X6: Te Inti Zen Y Chamana -  A Elección 100% Natural,https://articulo.mercadolibre.com.ar/MLA-686987897-pack-x6-te-inti-zen-y-chamana-a-eleccion-100-natural-_JM#position=44&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,16.530,TIENDA.ANDALHUE,Nuevo  |  +5mil vendidos,(10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#686987897,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Te Verde Matcha Delhi Tea En Polvo X 50 Gr,https://www.mercadolibre.com.ar/te-verde-matcha-delhi-tea-en-polvo-x-50-gr/p/MLA20007706#searchVariation=MLA20007706&position=22&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,6.200,BLIP,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1372436321,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Mate Termico De Acero Inoxidable Con Bombilla De Regalo,https://articulo.mercadolibre.com.ar/MLA-930381968-mate-termico-de-acero-inoxidable-con-bombilla-de-regalo-_JM#position=45&search_layout=stack&type=item&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,6.629,FULLVENTAS-,Nuevo  |  +5mil vendidos,(40 disponibles),Nuevo  |  +5mil vendidos,No disponible,#930381968,2024-02-28 11:14:08,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates,
Té Inti Zen negro en saquitos Ceylon caja de 15 unidades,https://www.mercadolibre.com.ar/te-inti-zen-negro-en-saquitos-ceylon-caja-de-15-unidades/p/MLA16030076#searchVariation=MLA16030076&position=28&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,2.755,Cafe Martinez,Nuevo  |  +5mil vendidos,(73 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1146700773,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Hibiscus En Flores Para Infusion X 1 Kg,https://www.mercadolibre.com.ar/hibiscus-en-flores-para-infusion-x-1-kg/p/MLA21238782#searchVariation=MLA21238782&position=32&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,37.620,NEWGARDEN,Nuevo  |  +5mil vendidos,(41 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1339185707,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Te Granulado Instantaneo De Frutos Del Bosque Ekland 350 Gr,https://www.mercadolibre.com.ar/te-granulado-instantaneo-de-frutos-del-bosque-ekland-350-gr/p/MLA21848759#searchVariation=MLA21848759&position=26&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,7.076,NEWGARDEN,Nuevo  |  +500 vendidos,(14 disponibles),Nuevo  |  +500 vendidos,No disponible,#1362319242,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
Tisana Detox Saint Gottard 20 Unidades,https://www.mercadolibre.com.ar/tisana-detox-saint-gottard-20-unidades/p/MLA21089021#searchVariation=MLA21089021&position=29&search_layout=stack&type=product&tracking_id=63dcf520-7314-42ad-993a-555554d1c282,3.094,DIETETICA CALLLAO,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1313221095,2024-02-28 11:14:08,Alimentos y Bebidas,Almacén,Infusiones,Té,nan,
