Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=31&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(65 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Galletitas,nan
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=32&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,1.727,Mayorista Masivos,Nuevo  |  +100 vendidos,(6 disponibles),Nuevo  |  +100 vendidos,No disponible,#1504974324,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=34&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,8.908,PUNTONUEZ,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Germen De Trigo Yin Yang X 500 Gr,https://www.mercadolibre.com.ar/germen-de-trigo-yin-yang-x-500-gr/p/MLA21262845?pdp_filters=category:MLA1423#searchVariation=MLA21262845&position=37&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,1.700,NEWGARDEN,Nuevo  |  +100 vendidos,(9 disponibles),Nuevo  |  +100 vendidos,No disponible,#1392308264,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos de Maíz Granix Tradicionales Corn Flakes,https://www.mercadolibre.com.ar/copos-de-maiz-granix-tradicionales-corn-flakes/p/MLA25374445?pdp_filters=category:MLA1423#searchVariation=MLA25374445&position=46&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,2.526,01MERCADO,Nuevo  |  +1000 vendidos,(37 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1462638992,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Con Marroc Feeling Felfort Caja Por 30 Unidades,https://www.mercadolibre.com.ar/cereal-con-marroc-feeling-felfort-caja-por-30-unidades/p/MLA19974685?pdp_filters=category:MLA1423#searchVariation=MLA19974685&position=48&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,15.577,MAYORISTALA20221121100650,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1372971916,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas
Cereal Fibra Total 4 Fibras Granix Trigo Avena Arroz Maiz,https://www.mercadolibre.com.ar/cereal-fibra-total-4-fibras-granix-trigo-avena-arroz-maiz/p/MLA19943734?pdp_filters=category:MLA1423#searchVariation=MLA19943734&position=44&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,2.418,01MERCADO,Nuevo  |  +500 vendidos,(14 disponibles),Nuevo  |  +500 vendidos,No disponible,#1271750839,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra de cereal Wik Taste sin TACC  sabor quinoa/chocolate 20 g de 20 u,https://www.mercadolibre.com.ar/barra-de-cereal-wik-taste-sin-tacc-sabor-quinoachocolate-20g-de-20u/p/MLA23221511?pdp_filters=category:MLA1423#searchVariation=MLA23221511&position=41&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,11.800,CAPSULANDIA,Nuevo  |  +1000 vendidos,(23 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1565616118,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Limón X 1kg - s A Todo El País,https://www.mercadolibre.com.ar/almohaditas-rellenas-de-limon-x-1kg-s-a-todo-el-pais/p/MLA27047201?pdp_filters=category:MLA1423#searchVariation=MLA27047201&position=45&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,6.312,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388634041,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Hogareñas Mix Cereales Tripack Mediano,https://www.mercadolibre.com.ar/galletitas-hogarenas-mix-cereales-tripack-mediano/p/MLA20941266?pdp_filters=category:MLA1423#searchVariation=MLA20941266&position=6&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,2.811,TAP GROCERY,Nuevo  |  +1000 vendidos,(26 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297602625,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Galletitas,nan
Copos de maíz 3kg Granix,https://www.mercadolibre.com.ar/copos-de-maiz-3kg-granix/p/MLA20723711?pdp_filters=category:MLA1423#searchVariation=MLA20723711&position=23&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,10.000,M A S Papel,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1369973079,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Granola De Avena Y 4 Nueces X 1kg,https://www.mercadolibre.com.ar/granola-de-avena-y-4-nueces-x-1kg/p/MLA26329385?pdp_filters=category:MLA1423#searchVariation=MLA26329385&position=29&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,5.235,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(16 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480313010,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Granola
