Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664?pdp_filters=category:MLA409407#searchVariation=MLA20718664&position=17&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,21.431,Nestlé Professional,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447990142,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728?pdp_filters=category:MLA409407#searchVariation=MLA21766728&position=8&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,8.970,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Lavazza - Crema E Aroma Italia En Grano X 1 Kg,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-italia-en-grano-x-1-kg/p/MLA20026299?pdp_filters=category:MLA409407#searchVariation=MLA20026299&position=28&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,53.500,GABY FRAD,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1361324978,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Sensacion Intensa 500 Gramos.,https://www.mercadolibre.com.ar/cafe-bonafide-sensacion-intensa-500-gramos/p/MLA19944516?pdp_filters=category:MLA409407#searchVariation=MLA19944516&position=21&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,6.359,BLIP,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1455051362,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 100 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-100-gr/p/MLA24699607?pdp_filters=category:MLA409407#searchVariation=MLA24699607&position=22&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,4.590,Ecomodico,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381087301,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875?pdp_filters=category:MLA409407#searchVariation=MLA20025875&position=31&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,13.028,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1389191696,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898?pdp_filters=category:MLA409407#searchVariation=MLA20903898&position=35&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581833482,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907?pdp_filters=category:MLA409407#searchVariation=MLA20025907&position=38&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581922774,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cappuccino Instantaneo Light Dp Sin Tacc 100 Grs,https://www.mercadolibre.com.ar/la-virginia-cappuccino-instantaneo-light-dp-sin-tacc-100-grs/p/MLA20018573?pdp_filters=category:MLA409407#searchVariation=MLA20018573&position=42&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,2.611,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281953271,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507?pdp_filters=category:MLA409407#searchVariation=MLA19944507&position=26&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,17.712,DVL,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1400266057,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
