Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate Arpillera La Obereña 1kg - Orgánica Certificada,https://www.mercadolibre.com.ar/yerba-mate-arpillera-la-oberena-1kg-organica-certificada/p/MLA24405124?pdp_filters=category:MLA409408#searchVariation=MLA24405124&position=23&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,8.740,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447362924,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Playadito suave 1000g,https://www.mercadolibre.com.ar/yerba-mate-playadito-suave-1000g/p/MLA21017193?pdp_filters=category:MLA409408#searchVariation=MLA21017193&position=24&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,4.850,OUTLETONLINECABA,Nuevo  |  +50mil vendidos,(2 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1415204099,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Tradicional Sin Tacc Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-tradicional-sin-tacc-cruz-de-malta-x-1kg/p/MLA20068481?pdp_filters=category:MLA409408#searchVariation=MLA20068481&position=25&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.857,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1286549848,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orembaé 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-orembae-1-kg-estacionamiento-natural/p/MLA21361703?pdp_filters=category:MLA409408#searchVariation=MLA21361703&position=16&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,4.576,Alma Nativa,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1325370687,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tradicional Canarias 250 G,https://www.mercadolibre.com.ar/yerba-mate-tradicional-canarias-250-g/p/MLA21941317?pdp_filters=category:MLA409408#searchVariation=MLA21941317&position=49&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,2.199,OPEN25HS ,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362298986,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Kalena Despalada X 10 Kgrs.,https://www.mercadolibre.com.ar/yerba-kalena-despalada-x-10-kgrs/p/MLA20008480?pdp_filters=category:MLA409408#searchVariation=MLA20008480&position=45&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,74.322,NATURAL MIA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1390165706,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sinceridad Suave 1kg,https://www.mercadolibre.com.ar/yerba-mate-sinceridad-suave-1kg/p/MLA20729899?pdp_filters=category:MLA409408#searchVariation=MLA20729899&position=46&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,4.384,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308284717,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Despalada 500g Suave Tradicional Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-despalada-500g-suave-tradicional-sin-tacc/p/MLA19991743?pdp_filters=category:MLA409408#searchVariation=MLA19991743&position=48&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.590,YERBASJM,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1421832696,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Verdeflor Menta Y Jengibre Paquete X 500g,https://www.mercadolibre.com.ar/yerba-mate-verdeflor-menta-y-jengibre-paquete-x-500g/p/MLA25833897?pdp_filters=category:MLA409408#searchVariation=MLA25833897&position=31&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,1.749,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1470379028,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Con Palo 500g Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-con-palo-500g-sin-tacc/p/MLA20951288?pdp_filters=category:MLA409408#searchVariation=MLA20951288&position=27&search_layout=stack&type=product&tracking_id=8579ca93-f628-4050-8f74-8877f9b0a328,3.400,DIETETICANUEVAVIDA,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1338781204,2024-04-16 13:41:28,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
