Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba Mate La Tranquera Liviana 1 Kg Suave Premium Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-liviana-1-kg-suave-premium-sin-tacc/p/MLA23602865?pdp_filters=category:MLA409408#searchVariation=MLA23602865&position=27&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.900,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428208104,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Verde Suave Ka-a X 500 Gr.,https://www.mercadolibre.com.ar/yerba-verde-suave-ka-a-x-500-gr/p/MLA20008477?pdp_filters=category:MLA409408#searchVariation=MLA20008477&position=31&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.250,DIETETICANUEVAVIDA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1281241150,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Selección Especial Cruz De Malta X 1kg,https://www.mercadolibre.com.ar/yerba-mate-seleccion-especial-cruz-de-malta-x-1kg/p/MLA19956984?pdp_filters=category:MLA409408#searchVariation=MLA19956984&position=19&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,4.270,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1283549385,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Canarias Para Mate Sabor Tradicional 1 Kg Original,https://articulo.mercadolibre.com.ar/MLA-1194000912-yerba-canarias-para-mate-sabor-tradicional-1-kg-original-_JM#position=54&search_layout=stack&type=item&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,7.557,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1194000912,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Merced Campo & Monte 500g Las Marias X1 Paquet,https://www.mercadolibre.com.ar/yerba-mate-la-merced-campo-monte-500g-las-marias-x1-paquet/p/MLA19956925?pdp_filters=category:MLA409408#searchVariation=MLA19956925&position=17&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.610,OPEN25HS ,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1650812822,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba orembae 500g,https://www.mercadolibre.com.ar/yerba-orembae-500g/p/MLA22667960?pdp_filters=category:MLA409408#searchVariation=MLA22667960&position=20&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.380,Alma Nativa,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1403897362,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Baldo Uruguaya 1 Kg,https://www.mercadolibre.com.ar/yerba-baldo-uruguaya-1-kg/p/MLA20008483?pdp_filters=category:MLA409408#searchVariation=MLA20008483&position=26&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,11.999,YDLB,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315901058,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Rosamote Seleccion Especial 1 Kilo,https://www.mercadolibre.com.ar/yerba-rosamote-seleccion-especial-1-kilo/p/MLA20729890?pdp_filters=category:MLA409408#searchVariation=MLA20729890&position=14&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,7.262,DISTRI ELECTRO,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1285414060,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Tranquera Suave Seleccion Especial 1kg S/ Tacc,https://www.mercadolibre.com.ar/yerba-mate-la-tranquera-suave-seleccion-especial-1kg-s-tacc/p/MLA26540592?pdp_filters=category:MLA409408#searchVariation=MLA26540592&position=23&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,6.331,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856536,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cbse Etiqueta Negra Hierbas Serranas Caja 500g S/ Tacc,https://www.mercadolibre.com.ar/yerba-cbse-etiqueta-negra-hierbas-serranas-caja-500g-s-tacc/p/MLA19973285?pdp_filters=category:MLA409408#searchVariation=MLA19973285&position=16&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.599,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1279221012,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias Tradicional 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-tradicional-1-kg/p/MLA21719961?pdp_filters=category:MLA409408#searchVariation=MLA21719961&position=13&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,6.480,WOWCO-SA,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1528040378,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate orgánica La Obereña Premium 500g,https://www.mercadolibre.com.ar/yerba-mate-organica-la-oberena-premium-500g/p/MLA22186832?pdp_filters=category:MLA409408#searchVariation=MLA22186832&position=24&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,20.999,MULTIORGANICA,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372024296,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orgánica Anna Park 500g Certificada X 10 Uni,https://www.mercadolibre.com.ar/yerba-mate-organica-anna-park-500g-certificada-x-10-uni/p/MLA22961705?pdp_filters=category:MLA409408#searchVariation=MLA22961705&position=15&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,57.000,HERRAJESONLINEDISTRIBUIDORA,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1646357172,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Adelgamate Guarana + Hierbas 500g Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-adelgamate-guarana-hierbas-500g-sin-tacc/p/MLA26168279?pdp_filters=category:MLA409408#searchVariation=MLA26168279&position=21&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1477293262,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Molida Arapeguá Biodinámica Ecológica - Sello Caa,https://www.mercadolibre.com.ar/yerba-mate-molida-arapegua-biodinamica-ecologica-sello-caa/p/MLA29606361?pdp_filters=category:MLA409408#searchVariation=MLA29606361&position=18&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,7.200,TIENDA ANDALHUE,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1626822320,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Con Palo 500g Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-con-palo-500g-sin-tacc/p/MLA20951288?pdp_filters=category:MLA409408#searchVariation=MLA20951288&position=28&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.500,YERBAMATEORGANICA.,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1375912480,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Denaro Seleccion Especial sabor sin sabor sin TACC en bolsa 500 g,https://www.mercadolibre.com.ar/yerba-mate-denaro-seleccion-especial-sabor-sin-sabor-sin-tacc-en-bolsa-500g/p/MLA34297568?pdp_filters=category:MLA409408#searchVariation=MLA34297568&position=29&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,1.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1701644506,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Taragui 4flex X 1kg X 2 Unidades,https://www.mercadolibre.com.ar/yerba-mate-taragui-4flex-x-1kg-x-2-unidades/p/MLA29363264?pdp_filters=category:MLA409408#searchVariation=MLA29363264&position=38&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,9.162,TAP GROCERY,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1614631408,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Tucanguá Paquete De 10 Kg,https://www.mercadolibre.com.ar/yerba-mate-tucangua-paquete-de-10-kg/p/MLA22884612?pdp_filters=category:MLA409408#searchVariation=MLA22884612&position=41&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,53.390,MULTIORGANICA,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1459705386,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Orgánica Certificada Roapipo X 1 Kg. Suave Con Palo.,https://www.mercadolibre.com.ar/yerba-organica-certificada-roapipo-x-1-kg-suave-con-palo/p/MLA20008479?pdp_filters=category:MLA409408#searchVariation=MLA20008479&position=35&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,7.363,NEWGARDEN,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381638595,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orgánica La Obereña 1/2 Kg - Envase Económico,https://articulo.mercadolibre.com.ar/MLA-1101306315-yerba-mate-organica-la-oberena-12-kg-envase-economico-_JM#position=55&search_layout=stack&type=item&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.960,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1101306315,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Laska yerba mate premium 6 x 500 gr suave sin acidez,https://www.mercadolibre.com.ar/laska-yerba-mate-premium-6-x-500-gr-suave-sin-acidez/p/MLA24076108?pdp_filters=category:MLA409408#searchVariation=MLA24076108&position=43&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,15.862,LASKA,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1570984016,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Unión 4flex 1kg,https://www.mercadolibre.com.ar/yerba-mate-union-4flex-1kg/p/MLA19973269?pdp_filters=category:MLA409408#searchVariation=MLA19973269&position=36&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,4.401,A.JUGAR,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1640273914,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Arapeguá Canchada Orgánica 500gr,https://www.mercadolibre.com.ar/yerba-mate-arapegua-canchada-organica-500gr/p/MLA20008474?pdp_filters=category:MLA409408#searchVariation=MLA20008474&position=37&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,7.055,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381184061,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Taragui 4flex Sin Palo X 1kg,https://www.mercadolibre.com.ar/yerba-mate-taragui-4flex-sin-palo-x-1kg/p/MLA22252900?pdp_filters=category:MLA409408#searchVariation=MLA22252900&position=39&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,6.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1437398284,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Canarias Uruguaya Sabor Tradicional 500 GR,https://www.mercadolibre.com.ar/yerba-mate-canarias-uruguaya-sabor-tradicional-500-gr/p/MLA28742438?pdp_filters=category:MLA409408#searchVariation=MLA28742438&position=40&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.690,TIENDABLUARGENTINA,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1701850184,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Naranja Verdeflor Pack X 500g Anti Actidez Poleo,https://www.mercadolibre.com.ar/yerba-mate-naranja-verdeflor-pack-x-500g-anti-actidez-poleo/p/MLA20008572?pdp_filters=category:MLA409408#searchVariation=MLA20008572&position=42&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,1.749,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1280666330,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Titrayju barbacuá sin TACC 1kg,https://www.mercadolibre.com.ar/yerba-mate-titrayju-barbacua-sin-tacc-1kg/p/MLA20008367?pdp_filters=category:MLA409408#searchVariation=MLA20008367&position=44&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,7.590,YERBASJM,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1333258286,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Verde Flor Boldo 1 Kg ,https://www.mercadolibre.com.ar/yerba-mate-verde-flor-boldo-1-kg/p/MLA20595383?pdp_filters=category:MLA409408#searchVariation=MLA20595383&position=45&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.391,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1376250689,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Cbsé 500 Gramos Elige El Sabor Regulas,https://www.mercadolibre.com.ar/yerba-mate-cbse-500-gramos-elige-el-sabor-regulas/p/MLA23907598?pdp_filters=category:MLA409408#searchVariation=MLA23907598&position=46&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.199,CAPSULANDIA,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380427527,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cachamate Hierbas Serranas Menta Peperina 1kg Rinde +,https://www.mercadolibre.com.ar/yerba-cachamate-hierbas-serranas-menta-peperina-1kg-rinde-/p/MLA21088074?pdp_filters=category:MLA409408#searchVariation=MLA21088074&position=47&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,2.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1308281266,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Kalena Despalada 500g Suave Tradicional Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-kalena-despalada-500g-suave-tradicional-sin-tacc/p/MLA19991743?pdp_filters=category:MLA409408#searchVariation=MLA19991743&position=48&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,4.250,YERBAMATEORGANICA.,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1376025672,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate La Cumbrecita Burrito Sabor Seleccion Con Burrito Sin Tacc En Bolsa 500 g,https://www.mercadolibre.com.ar/yerba-mate-la-cumbrecita-burrito-sabor-seleccion-con-burrito-sin-tacc-en-bolsa-500g/p/MLA34384194?pdp_filters=category:MLA409408#searchVariation=MLA34384194&position=52&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.499,CAPSULANDIA,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1415302797,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate La Buena 1kg,https://www.mercadolibre.com.ar/yerba-mate-la-buena-1kg/p/MLA22186828?pdp_filters=category:MLA409408#searchVariation=MLA22186828&position=49&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,39.999,ATDIGITAL,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411200003,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate De Monte La Merced 500g C/ Palo Original Sin Tacc,https://www.mercadolibre.com.ar/yerba-mate-de-monte-la-merced-500g-c-palo-original-sin-tacc/p/MLA19956938?pdp_filters=category:MLA409408#searchVariation=MLA19956938&position=50&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.610,OPEN25HS ,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1650864682,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Un Mate - 500 Grs,https://www.mercadolibre.com.ar/yerba-un-mate-500-grs/p/MLA34061655?pdp_filters=category:MLA409408#searchVariation=MLA34061655&position=51&search_layout=stack&type=product&tracking_id=d4d170df-9901-42ca-97c5-028192eb0023,3.958,ECODISTRITO,Nuevo  |  +500 vendidos,(+10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1416000661,2024-04-09 13:38:59,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
