Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Yerba mate Verdeflor hierbas serranas 1kg,https://www.mercadolibre.com.ar/yerba-mate-verdeflor-hierbas-serranas-1kg/p/MLA21305066?pdp_filters=category:MLA409408#searchVariation=MLA21305066&position=22&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372229447,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Kalena Despalada X 10 Kgrs.,https://www.mercadolibre.com.ar/yerba-kalena-despalada-x-10-kgrs/p/MLA20008480?pdp_filters=category:MLA409408#searchVariation=MLA20008480&position=23&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,77.381,DIETETICA CALLLAO,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1438761688,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Orembaé 1 Kg. Estacionamiento Natural,https://www.mercadolibre.com.ar/yerba-mate-orembae-1-kg-estacionamiento-natural/p/MLA21361703?pdp_filters=category:MLA409408#searchVariation=MLA21361703&position=17&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.576,Alma Nativa,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1325370687,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Cruz De Malta Selección Especial X 500g,https://www.mercadolibre.com.ar/yerba-cruz-de-malta-seleccion-especial-x-500g/p/MLA20887325?pdp_filters=category:MLA409408#searchVariation=MLA20887325&position=32&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.127,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1292453170,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Sinceridad Suave 1kg,https://www.mercadolibre.com.ar/yerba-mate-sinceridad-suave-1kg/p/MLA20729899?pdp_filters=category:MLA409408#searchVariation=MLA20729899&position=35&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.384,TIENDA ANDALHUE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308284717,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Origen 500g Barbacua Premium Artesanal Misiones,https://www.mercadolibre.com.ar/yerba-mate-origen-500g-barbacua-premium-artesanal-misiones/p/MLA19973289?pdp_filters=category:MLA409408#searchVariation=MLA19973289&position=38&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1278905302,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Union Suave Original 4 Flex Libre De Gluten,https://www.mercadolibre.com.ar/yerba-mate-union-suave-original-4-flex-libre-de-gluten/p/MLA20008336?pdp_filters=category:MLA409408#searchVariation=MLA20008336&position=39&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,2.340,OPEN25HS ,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1640311260,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Isondú Secanza Barbacuá 5 X 500 Gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=PT0T6Q2etUy8XuHlScbxX8XZo3B6kAg%2Fx81v5n1VsWSQcwyYFCE5G1etco9FPqlbMshJRfOctlNpDpbgo9l2YSdYYQLRifLLnXkqmNTu3LkV5MNfjIUY%2FOgeUiCNFfGGN%2BHjaZ0qIBql1KTiNDVG2a9gYbHPvX3QTbIhbWu9K0KIM8OZUP878QWfmJ0ChT0mfbnpDzXcbVnSYP6S3xqeOSTfaMY2MdznCz%2FU%2FWmgXEb1nixVHERjU2SdkvNuzp0TbTW4OPiypqb5YSq0exIUV5WXRYTppjMWtL0WWXo8Q0D3cqJ5xLxlsA4tc1h%2FHXaRWtd%2BbgAleYhH3lM0LcpBOgC%2F59ThFtb424lV3OciWyjSH9icjKjNJzcz9YLibFOP539rLiuZR0zTDbUDuRn51qbwUcJ4RtpxnBeo0xZ6lpxvOyW51AOgS3fnNp4%2B1W20zDzG1OF3dEHTvbx0yPr6BmbNjcN45okgLyadhPbitau4bXH3gvyRJGA9SGyfKFBjTuQLfO%2BK83Xf2CH3D9A723%2F%2B9PyIkbLaeW4EhLt20UJcX5DNgh%2B6aDL8CAQcZGnwNbTF9PLQnjDtz0zPFZcKKSO1yFDYUENdnxgUeGxVlm1Rd%2FDa4ZzL%2BZG4%2FOQrkLkTB2rpgO7hwF9TrutHxa9XoVu1JeHCEqKuJbFjkXpOimvGdU3vL1qUjyssMJOKLj1EQ1%2Fj4mU8UsV8xw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,26.047,SEMILLA VIVA,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#911030546,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Verdeflor Hierbas Serranas Pack X 24 Uni. De 500g,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tzwj8WrqobXdrLMsPnYfeOEP1JghQX9mfXdcXbD5JHm5Zdb2TL9ImOz%2FXIZ1sBKH0s7GVJKPqV%2BSRvFTNNbGfTr7PMHejaFhDpjVWfyxY5zt85em%2FJdrNS%2BSSGMsQH2APeH0amXNVB2GmC8%2BgagEvEAlU3iKfrE6x%2FrykGF2lRlAa0LXvkslYbVp%2BbO7s0TBpnv1%2BdUrERW4nUjkr3hkh%2BzsQz2MyR8NW0lRlP7lk%2FutTYp8ku7Mj9qvLaNTOHtbSToU4SSFDCpHnRcrxs3J5GlPxM6sxvBq7xIM96gH5kyOfhVttiH%2F%2FafL31UGVvh%2F%2BpYx3btzaNE9hHRjj1E2wxNGzqW6Je%2FeGn91nekmhMuzL7SgLJRI1xUZwCB2fMiIvmreY5IY%2BaAryRs%2FxXm5fL0Tc%2F27cW4lcgMnoKLYuVWiqWJGoTsWqQeVEX7PqI2TCPFD2r%2BlqulITL1mpQ5cHgBnjWFTgxUoT4QYoxX8HZa19GGh4gPkJCu4UA2XffXrj%2BBvFqa1OQh94LvbORRdTGGSgCJAvY43quyFdUmk0AQpym5GB3GS4dtEKHR%2FeIHzi50LAhJaJqzPKCaGRKzGw%2BtRQXQt1buCL8hsVOrHTQnp5PLN7GX1xKGRMJJzteVzlbyJrIMrgOWH61LPvxg9FDAnB2WdWRklgCqqdRmAP6YheTPYK8T3iPYCTxsAzuff903TM8TlGNHNZ%2B2zrZEYooxf2frx4yzp%2BQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,40.815,YERBA VERDEFLOR,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#1403347727,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Selección Nobleza Gaucha X 1 Kg,https://www.mercadolibre.com.ar/yerba-mate-seleccion-nobleza-gaucha-x-1-kg/p/MLA19973293?pdp_filters=category:MLA409408#searchVariation=MLA19973293&position=26&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,3.618,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286511123,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Las Tunas yerba mate estacionamiento natural 1kg,https://www.mercadolibre.com.ar/las-tunas-yerba-mate-estacionamiento-natural-1kg/p/MLA20641267?pdp_filters=category:MLA409408#searchVariation=MLA20641267&position=29&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,4.690,YERBASJM,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1295329125,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba Mate Nobleza Gaucha Suave Sin Tacc X 500 Gr,https://www.mercadolibre.com.ar/yerba-mate-nobleza-gaucha-suave-sin-tacc-x-500-gr/p/MLA21774520?pdp_filters=category:MLA409408#searchVariation=MLA21774520&position=33&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,1.624,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1359580817,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
Yerba mate Canarias tradicional 1kg,https://www.mercadolibre.com.ar/yerba-mate-canarias-tradicional-1kg/p/MLA21186915?pdp_filters=category:MLA409408#searchVariation=MLA21186915&position=27&search_layout=stack&type=product&tracking_id=7092d527-b356-4aeb-abe9-121116b33d65,6.679,TIENDABLUARGENTINA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1414375695,2024-04-09 13:37:42,Alimentos y Bebidas,Almacén,Infusiones,Yerba Mate
