Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Trix cereales 330gr,https://www.mercadolibre.com.ar/trix-cereales-330gr/p/MLA22307876?pdp_filters=category:MLA1423#searchVariation=MLA22307876&position=24&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.581,ECOMODICO,Nuevo  |  +100 vendidos,(18 disponibles),Nuevo  |  +100 vendidos,No disponible,#1658566926,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletas De Arroz Integral Grano Entero Arrocitas 3 Cereales,https://www.mercadolibre.com.ar/galletas-de-arroz-integral-grano-entero-arrocitas-3-cereales/p/MLA21237442?pdp_filters=category:MLA1423#searchVariation=MLA21237442&position=25&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(146 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1318175903,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Galletitas,nan
Aritos Frutales Granix Cereal Bajo En Sodio,https://www.mercadolibre.com.ar/aritos-frutales-granix-cereal-bajo-en-sodio/p/MLA25677571?pdp_filters=category:MLA1423#searchVariation=MLA25677571&position=26&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.146,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1467791944,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Cereal Caju Y Arandanos Integra X 10 Unidades,https://www.mercadolibre.com.ar/barra-cereal-caju-y-arandanos-integra-x-10-unidades/p/MLA34021088?pdp_filters=category:MLA1423#searchVariation=MLA34021088&position=27&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,8.490,Integra,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1332893241,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=28&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,3.696,AEH MALL,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=29&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,8.908,PUNTONUEZ,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
"Copos De Maíz Natural Bolsa 3,5kg 3 Arroyos",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=sjTxvWpqE2C8QmLRkzhUueezJFrbL164i84BXUIZCSqtKG6%2F6YJmJ8PN%2BobvsHX4LWdqACh7sUd1ksSXF0fVklM2Q0Q5gizppVG3FAT09d6zsdfExdWdtuSQ6UQuV1IYV%2BswKfrcRVk2aBGETDZzByrf%2B6S9WKBudnse6ti1dhWVNaTDR7l098riaGXzwzoL6GSgM9sRMIY56%2FTpz5he12%2FyN9kA3zk1KyDGfi%2Fi%2B5O7axhkGByljNzgeCxPjeWRDZ6hjs0A4v4u%2BUgxqKSuIFJY2MDCxgUnXUAKxAMK7a6kt2Z%2BtfU1Kc7XiuJHuqdAAz5Hl%2Bn6dEs2NNZPUru4hPQW2FovyrpbLsVQN3SIoDrPm3HRK3jtb%2FRkBNC3QQEE9om6JB14xCWmUJGVii2AXTOjUuItgiC3HMhwvgRj7uyitmM7%2FcASDsUf2W0yrWy39GyW%2BbAXPIoZYH2nrORxaF5%2BhxhxFM6u5fFR4C7waa%2F12KxGNbZCfgOnIRJI33br4FUQNH7YEKYA9aHKLPGrZTNVaUZOjB5%2FEX6GO2Py6l4C2Bh02GLuNywbTtubxKXeMifn8vO0V1Cbn4RUCcV%2Fb0uXiaaPjj97bX9znQYFcvVe9iUJLTePcT4LnwtsdCZggDJSOCXbNldhqDjxE1GP%2BAyUuUzvOdCaEuLDl1u5sJqdbVCT%2BmgFPeyF4Vd4EJinyUOwiFp3AOc%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,8.760,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(27 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123803513,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos De Maíz Natural 1kg 3 Arroyos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LtETckkdqLFxhNj1%2BNGoG8r4k8oUHfEFGjXQVvAi8i1fF40m7kdCcBLL4H5Bwr%2BRshaSHW%2FfgKZBSX644hhuVH4ws4J2YvwMZkmuSPdXrMaOyLxaAU%2BzZW9XOSd1O1yVMfmqCU2iehdVA%2Bh97B60mFPpop3FTmQO%2FPeM%2BzlauFLi9dYADAlTTGr2INTRSNDNHSBXUMtpRvoj%2BOgyGeGaNgFby1roHogj%2FAf0E%2FpVk6P0vSz1Ki3q3eX%2FoBsDTjxwakDMEZ9tF9Xc1lu1lEQcRUgxFzlv%2BQzx34V%2B3dCQa4Nmz7gh8dg5RysBs3xb%2FrnKTl55mAoK%2BIXoYAqTp1p6ABZeRHJTe2VWqTzZ6ZmGB%2FjkQu4soj5NTUu%2BkH%2BLdEBUMQUsud8vmItxps2cVNfDyeSDlJilQJkHPXumnR5mJbcbcbYHb8zdNmKKQwsLya%2BrPmERpgIRlSJP5luqKmrRCzZTgrmhK%2FAZ7Iy2SYPi69ONgyRgQ9V27yKy%2FdXsTFkYbNzSGIN%2FzjwtTRsFJn8GNcEjBsM0Jq87QtGYCQ95E3p0ISdKXLe8iec0Skpg2jap%2FzYiIoN%2BH49Q%2Fa2TzYNq3Wlm8D28cOfTkCCISzlVSMA5WetFyi0lKgWRvbj7FzJHuUd5BH4gXGfNFUkq8K4dbcPs3RBXcORFSh5F7cM2zRrfYfpTOYSX41wxQfCUqQPB7u0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,3.823,PUERTOGOURMETSRL,Nuevo  |  +100 vendidos,(454 disponibles),Nuevo  |  +100 vendidos,No disponible,#1123799734,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereal Fibra Total 4 Fibras Granix Trigo Avena Arroz Maiz,https://www.mercadolibre.com.ar/cereal-fibra-total-4-fibras-granix-trigo-avena-arroz-maiz/p/MLA19943734?pdp_filters=category:MLA1423#searchVariation=MLA19943734&position=32&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,2.297,01MERCADO,Nuevo  |  +500 vendidos,(10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1271750839,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barrita de Cereal Muecas sabor pasas y arandano sin Azucar 45g,https://www.mercadolibre.com.ar/barrita-de-cereal-muecas-sabor-pasas-y-arandano-sin-azucar-45g/p/MLA19735181?pdp_filters=category:MLA1423#searchVariation=MLA19735181&position=33&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,10.990,DAMETUMANO.TIENDA,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1511640634,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
