Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Bonafide Sensacion Intensa 500 Gramos.,https://www.mercadolibre.com.ar/cafe-bonafide-sensacion-intensa-500-gramos/p/MLA19944516?pdp_filters=category:MLA409407#searchVariation=MLA19944516&position=22&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,6.325,Tienda Rodelu,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1542005418,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo Nescafe Dolca Suave 1 Kilo Sin Tacc Nestle,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-dolca-suave-1-kilo-sin-tacc-nestle/p/MLA22931619?pdp_filters=category:MLA409407#searchVariation=MLA22931619&position=23&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,21.500,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1670376866,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Luggiani cafe en grano tostado italiano rosso 1 Kg,https://www.mercadolibre.com.ar/luggiani-cafe-en-grano-tostado-italiano-rosso-1-kg/p/MLA24443058?pdp_filters=category:MLA409407#searchVariation=MLA24443058&position=24&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,22.999,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1705218054,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
 Starbucks Roast & Ground molido tostado 250 g,https://www.mercadolibre.com.ar/starbucks-roast-ground-molido-tostado-250-g/p/MLA20025907?pdp_filters=category:MLA409407#searchVariation=MLA20025907&position=25&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581922774,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887?pdp_filters=category:MLA409407#searchVariation=MLA20025887&position=29&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,7.499,MERCADOGOURMET ONLINE,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1321017171,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
5 hispanos café en grano tostado premium natural gastrónomica 1kg,https://www.mercadolibre.com.ar/5-hispanos-cafe-en-grano-tostado-premium-natural-gastronomica-1kg/p/MLA22609208?pdp_filters=category:MLA409407#searchVariation=MLA22609208&position=31&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,38.664,BARINSU,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1404619304,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664?pdp_filters=category:MLA409407#searchVariation=MLA20718664&position=32&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,20.691,DRJOHNSONS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1737705784,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Starbucks Colombia café tostado y molido libre de gluten 250g,https://www.mercadolibre.com.ar/starbucks-colombia-cafe-tostado-y-molido-libre-de-gluten-250g/p/MLA20903898?pdp_filters=category:MLA409407#searchVariation=MLA20903898&position=26&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,15.672,Nestlé,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1581833482,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonaf Fundador Tostado Pack 1 Kilos,https://www.mercadolibre.com.ar/cafe-bonaf-fundador-tostado-pack-1-kilos/p/MLA27764820?pdp_filters=category:MLA409407#searchVariation=MLA27764820&position=30&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,27.500,CAFEXPEND,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1552531646,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido La Virginia Torrado Equilibrado X 1 Kg,https://www.mercadolibre.com.ar/cafe-molido-la-virginia-torrado-equilibrado-x-1-kg/p/MLA19979553?pdp_filters=category:MLA409407#searchVariation=MLA19979553&position=27&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,11.779,SUPLEMENTOSNORT,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1684464224,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Seleccion Tostado Frasco 170 Gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-seleccion-tostado-frasco-170-gr/p/MLA25685697?pdp_filters=category:MLA409407#searchVariation=MLA25685697&position=28&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,7.237,SUPLEMENTOSNORT,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1415400439,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Lavazza - Crema E Aroma Italia En Grano X 1 Kg,https://www.mercadolibre.com.ar/cafe-lavazza-crema-e-aroma-italia-en-grano-x-1-kg/p/MLA20026299?pdp_filters=category:MLA409407#searchVariation=MLA20026299&position=34&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,51.200,GOGO20240327112448,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1731409670,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez Molido Tostado Tipo Italiano Fuerte 250g,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-250g/p/MLA21766728?pdp_filters=category:MLA409407#searchVariation=MLA21766728&position=46&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,8.521,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1406139580,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875?pdp_filters=category:MLA409407#searchVariation=MLA20025875&position=47&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,13.028,LUIS MICHELUCCI,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1664899496,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Cafe Molido Italiano Y Brasil 500g S/azucar Agregada,https://www.mercadolibre.com.ar/combo-cafe-molido-italiano-y-brasil-500g-sazucar-agregada/p/MLA27998803?pdp_filters=category:MLA409407#searchVariation=MLA27998803&position=48&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,32.965,Cafe Martinez,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1394850335,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instataneo Morenita Intenso Frasco Sin Tacc X 170 Gr,https://www.mercadolibre.com.ar/cafe-instataneo-morenita-intenso-frasco-sin-tacc-x-170-gr/p/MLA25822976?pdp_filters=category:MLA409407#searchVariation=MLA25822976&position=49&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,4.634,Ecomodico,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1381829339,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
